Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(113, 35), (35, 46)]",1.242038,matmul_linear_1,1.2275711,1.1784979297736764
matmul,linear,"[(126, 63), (63, 67)]",1.3000399999999999,matmul_linear_2,1.2431161000000002,4.579129817399974
matmul,linear,"[(60, 126), (126, 49)]",1.250324,matmul_linear_3,1.1304375999999998,10.605308952922318
matmul,linear,"[(45, 126), (126, 118)]",1.239276,matmul_linear_4,1.1262858000000002,10.032107303492577
matmul,linear,"[(101, 107), (107, 43)]",1.233752,matmul_linear_5,1.2039822,2.4726113060475443
matmul,linear,"[(86, 35), (35, 36)]",1.214418,matmul_linear_6,1.2261518,-0.9569614463723021
matmul,linear,"[(43, 61), (61, 59)]",1.233752,matmul_linear_7,1.1054465000000002,11.60666753207864
matmul,linear,"[(96, 35), (35, 109)]",1.3801379999999999,matmul_linear_8,1.2453124,10.826648799128627
matmul,linear,"[(103, 123), (123, 57)]",1.2724199999999999,matmul_linear_9,1.1345624,12.150728774371492
matmul,linear,"[(115, 101), (101, 121)]",1.432616,matmul_linear_10,1.3914197,2.9607385895140026
matmul,linear,"[(85, 89), (89, 60)]",1.280706,matmul_linear_11,1.1291429999999998,13.422834840228399
matmul,linear,"[(107, 32), (32, 67)]",1.3000399999999999,matmul_linear_12,1.2259733999999998,6.04145244913145
matmul,linear,"[(52, 86), (86, 121)]",1.25861,matmul_linear_13,1.1485802,9.579635797308708
matmul,linear,"[(75, 51), (51, 67)]",1.3000399999999999,matmul_linear_14,1.2319912,5.523481011877351
matmul,linear,"[(59, 45), (45, 75)]",1.277944,matmul_linear_15,1.2515623999999999,2.1078933020039687
matmul,linear,"[(43, 44), (44, 80)]",1.233752,matmul_linear_16,1.165866,5.822796101781842
matmul,linear,"[(77, 109), (109, 76)]",1.324898,matmul_linear_17,1.2365534999999999,7.144413889087699
matmul,linear,"[(65, 125), (125, 37)]",1.21718,matmul_linear_18,1.0741517,13.315465590195489
matmul,linear,"[(90, 47), (47, 100)]",1.363566,matmul_linear_19,1.2904464,5.666225269023189
matmul,linear,"[(80, 102), (102, 42)]",1.23099,matmul_linear_20,1.1037322,11.529771442746707
matmul,linear,"[(69, 111), (111, 112)]",1.305564,matmul_linear_21,1.1717235000000001,11.422532705028088
