Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(37, 51), (51, 229)]",1.00003,matmul_linear_1,1.1835893,-15.508698836665724
matmul,linear,"[(42, 85), (85, 212)]",0.9939100000000001,matmul_linear_2,1.2168573,-18.32156490329638
matmul,linear,"[(96, 139), (139, 59)]",1.09759,matmul_linear_3,1.2702768,-13.594422884838952
matmul,linear,"[(650, 36), (36, 69)]",1.1515900000000001,matmul_linear_4,1.5264376,-24.557020870030968
matmul,linear,"[(673, 59), (59, 42)]",1.1598700000000002,matmul_linear_5,1.4872770000000002,-22.013854850172493
matmul,linear,"[(98, 33), (33, 540)]",1.11199,matmul_linear_6,1.7227056,-35.45095575239321
matmul,linear,"[(132, 73), (73, 221)]",1.15015,matmul_linear_7,1.3852323,-16.970604858116577
matmul,linear,"[(137, 39), (39, 406)]",1.3474300000000001,matmul_linear_8,1.6471694,-18.197241886596473
matmul,linear,"[(934, 41), (41, 61)]",1.25383,matmul_linear_9,1.7156964,-26.92005415410325
matmul,linear,"[(1076, 40), (40, 55)]",30.01665666,matmul_linear_10,1.6435625999999999,1726.316603943166
matmul,linear,"[(529, 59), (59, 80)]",1.10803,matmul_linear_11,1.6219822000000002,-31.686673256956826
matmul,linear,"[(595, 99), (99, 53)]",1.13179,matmul_linear_12,1.6177236000000002,-30.038110342211738
matmul,linear,"[(330, 95), (95, 100)]",1.03639,matmul_linear_13,1.6617145,-37.63128383365494
matmul,linear,"[(1509, 47), (47, 47)]",30.10423957,matmul_linear_14,1.7692768,1601.499707111968
matmul,linear,"[(187, 55), (55, 390)]",1.3359100000000002,matmul_linear_15,1.8670357,-28.447538523232303
matmul,linear,"[(109, 36), (36, 1080)]",30.017465740000002,matmul_linear_16,2.102393,1327.7761455636505
matmul,linear,"[(33, 156), (156, 1276)]",30.39247432,matmul_linear_17,1.8798660999999999,1516.7361239186132
matmul,linear,"[(109, 34), (34, 1838)]",30.1707864,matmul_linear_18,2.7398748,1001.1739076544666
matmul,linear,"[(709, 42), (42, 244)]",1.56559,matmul_linear_19,2.3382946,-33.045647883718324
matmul,linear,"[(451, 42), (42, 454)]",1.9795900000000002,matmul_linear_20,2.7635446000000004,-28.367720209762492
matmul,linear,"[(1075, 38), (38, 213)]",30.31116178,matmul_linear_21,3.0308482999999997,900.0883838363009
matmul,linear,"[(1239, 63), (63, 114)]",30.049626670000002,matmul_linear_22,2.2751249000000002,1220.7901979359463
matmul,linear,"[(63, 188), (188, 869)]",1.68079,matmul_linear_23,1.9447139999999998,-13.571352908448226
matmul,linear,"[(36, 321), (321, 906)]",2.17111,matmul_linear_24,2.2236963000000003,-2.3648148355510683
matmul,linear,"[(3373, 32), (32, 100)]",30.48127085,matmul_linear_25,3.7542857999999995,711.9059782289353
matmul,linear,"[(75, 337), (337, 435)]",1.66243,matmul_linear_26,1.9252765999999997,-13.65240713983641
matmul,linear,"[(1729, 32), (32, 222)]",30.57573094,matmul_linear_27,3.8878570999999993,686.4417377891798
matmul,linear,"[(165, 77), (77, 980)]",1.76071,matmul_linear_28,2.6537053999999998,-33.65088679399001
matmul,linear,"[(1228, 68), (68, 165)]",30.3730564,matmul_linear_29,2.8644019,960.362946973328
matmul,linear,"[(812, 71), (71, 243)]",1.63975,matmul_linear_30,2.5776874000000003,-36.38677831920194
matmul,linear,"[(1154, 34), (34, 414)]",30.96449388,matmul_linear_31,4.7968482,545.5174854188631
matmul,linear,"[(849, 45), (45, 429)]",2.5527100000000003,matmul_linear_32,4.1851251000000005,-39.0051685671236
matmul,linear,"[(218, 83), (83, 935)]",1.72831,matmul_linear_33,3.0784376,-43.85755943209633
matmul,linear,"[(281, 32), (32, 1993)]",31.16292075,matmul_linear_34,5.1272948,507.7848449439655
matmul,linear,"[(2480, 32), (32, 246)]",30.87954048,matmul_linear_35,5.7981519,432.5755691222922
matmul,linear,"[(232, 32), (32, 2805)]",31.01101598,matmul_linear_36,5.5861339999999995,455.1427155166705
matmul,linear,"[(498, 32), (32, 1445)]",31.19993616,matmul_linear_37,6.233437499999999,400.5253707926005
matmul,linear,"[(414, 32), (32, 2090)]",31.72179276,matmul_linear_38,7.4834553999999995,323.89232065176736
matmul,linear,"[(179, 66), (66, 2561)]",30.91230822,matmul_linear_39,5.1690000000000005,498.03266047591404
matmul,linear,"[(322, 108), (108, 969)]",2.2391500000000004,matmul_linear_40,4.034142600000001,-44.49502107337505
matmul,linear,"[(2126, 32), (32, 505)]",31.75091964,matmul_linear_41,8.608892999999998,268.8153591872963
matmul,linear,"[(183, 441), (441, 549)]",3.4613500000000004,matmul_linear_42,4.0322679,-14.158729384027275
matmul,linear,"[(1835, 60), (60, 440)]",31.515477360000002,matmul_linear_43,7.1351431000000005,341.6936972154069
matmul,linear,"[(1305, 32), (32, 1180)]",33.1340419,matmul_linear_44,11.8928569,178.6045622057388
matmul,linear,"[(2820, 32), (32, 605)]",32.9600897,matmul_linear_45,11.960750200000001,175.56874902378613
matmul,linear,"[(2102, 32), (32, 860)]",33.23881776,matmul_linear_46,12.3825894,168.43188194546775
matmul,linear,"[(1545, 32), (32, 1199)]",33.6194899,matmul_linear_47,14.3012766,135.0803417087954
matmul,linear,"[(751, 32), (32, 2676)]",33.43299696,matmul_linear_48,14.8885714,124.55476796114901
matmul,linear,"[(2503, 32), (32, 836)]",33.80658965,matmul_linear_49,13.674874699999998,147.2168147178709
matmul,linear,"[(1903, 387), (387, 94)]",31.5704948,matmul_linear_50,6.164562399999999,412.12872466016404
matmul,linear,"[(1716, 552), (552, 80)]",31.843559300000003,matmul_linear_51,5.7104464,457.63695286589154
matmul,linear,"[(2778, 35), (35, 839)]",34.1959594,matmul_linear_52,17.0155627,100.96872494260798
matmul,linear,"[(345, 80), (80, 3011)]",31.78065333,matmul_linear_53,9.098285700000002,249.30375213431682
matmul,linear,"[(3107, 32), (32, 1124)]",36.073227270000004,matmul_linear_54,26.019142800000004,38.64110569392009
matmul,linear,"[(2314, 32), (32, 1530)]",36.26558604,matmul_linear_55,22.3574107,62.20834570972927
matmul,linear,"[(1065, 32), (32, 3451)]",36.69945519,matmul_linear_56,22.959026799999997,59.84760813119486
matmul,linear,"[(1337, 32), (32, 2884)]",36.98849902,matmul_linear_57,23.946589299999996,54.46249382996686
matmul,linear,"[(1427, 32), (32, 2968)]",37.853001,matmul_linear_58,25.596991300000003,47.88066517802034
matmul,linear,"[(645, 300), (300, 705)]",7.43503,matmul_linear_59,7.426142899999999,0.11967316168937193
matmul,linear,"[(1506, 32), (32, 3150)]",38.29475868,matmul_linear_60,29.6107231,29.32733371850686
matmul,linear,"[(733, 76), (76, 2730)]",33.49853244,matmul_linear_61,15.763830399999998,112.50249203391584
matmul,linear,"[(2810, 32), (32, 1826)]",39.4064346,matmul_linear_62,33.11299989999999,19.005933376637397
matmul,linear,"[(88, 1740), (1740, 1105)]",33.93260386,matmul_linear_63,11.3490182,198.99153620178353
matmul,linear,"[(1877, 48), (48, 1905)]",36.57566595,matmul_linear_64,23.0764194,58.49801182760616
matmul,linear,"[(2910, 32), (32, 1890)]",39.7098396,matmul_linear_65,32.9285536,20.593938265177858
matmul,linear,"[(2836, 32), (32, 2046)]",40.136224760000005,matmul_linear_66,34.6804371,15.73160004952765
matmul,linear,"[(3479, 54), (54, 1181)]",37.5313917,matmul_linear_67,26.441259000000002,41.942528909081055
matmul,linear,"[(1825, 32), (32, 4091)]",43.29305265,matmul_linear_68,41.6035891,4.0608601001686155
matmul,linear,"[(2806, 32), (32, 2681)]",43.26331896,matmul_linear_69,46.310124900000005,-6.579135656790261
matmul,linear,"[(2959, 32), (32, 2694)]",44.58899654,matmul_linear_70,46.7101516,-4.5411007828970655
matmul,linear,"[(1414, 58), (58, 3483)]",39.1030296,matmul_linear_71,31.5984196,23.74995362109819
matmul,linear,"[(2750, 32), (32, 3277)]",46.004077460000005,matmul_linear_72,56.7875536,-18.989154236078935
matmul,linear,"[(3630, 32), (32, 2979)]",49.19792076,matmul_linear_73,62.21898219999999,-20.927795633403967
matmul,linear,"[(134, 878), (878, 3069)]",39.49421978,matmul_linear_74,17.0159913,132.10061102934392
matmul,linear,"[(2456, 38), (38, 3888)]",46.995605,matmul_linear_75,55.2961518,-15.01107496597982
matmul,linear,"[(3273, 32), (32, 3914)]",52.314496919999996,matmul_linear_76,72.03457159999999,-27.375847793616913
matmul,linear,"[(1057, 1154), (1154, 369)]",38.4537429,matmul_linear_77,23.323544700000003,64.8709207567407
matmul,linear,"[(664, 2012), (2012, 338)]",39.87731916,matmul_linear_78,16.2694196,145.10597268018094
matmul,linear,"[(3948, 57), (57, 2097)]",44.6108417,matmul_linear_79,49.6161517,-10.08806573767389
matmul,linear,"[(4015, 48), (48, 3591)]",55.43754572,matmul_linear_80,85.3920001,-35.07875953827202
matmul,linear,"[(3823, 77), (77, 3335)]",52.2768747,matmul_linear_81,76.6124466,-31.764514749226137
matmul,linear,"[(2716, 211), (211, 2069)]",51.027250640000005,matmul_linear_82,76.5544554,-33.3451588501536
matmul,linear,"[(1711, 196), (196, 3599)]",52.26837936,matmul_linear_83,53.100401899999994,-1.5668855794479346
matmul,linear,"[(3396, 323), (323, 1193)]",52.6470288,matmul_linear_84,53.2234107,-1.0829480719468458
matmul,linear,"[(1425, 3404), (3404, 488)]",69.19595112,matmul_linear_85,69.9984109,-1.1463971391384722
matmul,linear,"[(1116, 814), (814, 2699)]",68.98296081000001,matmul_linear_86,117.97613390000001,-41.528037468601944
matmul,linear,"[(3981, 805), (805, 824)]",72.96444349000001,matmul_linear_87,62.9100002,15.982265550843234
matmul,linear,"[(2683, 849), (849, 1402)]",77.45847835000001,matmul_linear_88,84.133848,-7.934226008538197
matmul,linear,"[(4049, 1906), (1906, 655)]",110.3850003,matmul_linear_89,206.3825625,-46.514376523452654
matmul,linear,"[(3547, 682), (682, 2883)]",139.39294554,matmul_linear_90,165.4191428,-15.73348574987296
matmul,linear,"[(1778, 1472), (1472, 2842)]",139.27765164,matmul_linear_91,312.87687500000004,-55.48483676206496
matmul,linear,"[(1522, 3607), (3607, 1600)]",169.23464772,matmul_linear_92,327.45501780000006,-48.31819989902748
matmul,linear,"[(605, 3945), (3945, 3682)]",157.1356654,matmul_linear_93,169.6562857,-7.379991992834261
matmul,linear,"[(707, 4096), (4096, 3915)]",196.59935148,matmul_linear_94,178.5415893,10.114036875552781
matmul,linear,"[(3357, 3134), (3134, 1684)]",294.42238249999997,matmul_linear_95,257.21530359999997,14.465344160805213
matmul,linear,"[(3965, 1531), (1531, 3544)]",325.13141844,matmul_linear_96,833.2791069000001,-60.98169079870879
matmul,linear,"[(3917, 2180), (2180, 2659)]",358.41494694,matmul_linear_97,528.6328483999998,-32.19964517437654
matmul,linear,"[(3462, 2449), (2449, 2785)]",371.8331342,matmul_linear_98,589.3966786,-36.912923384091826
matmul,linear,"[(4094, 1519), (1519, 3956)]",366.51586044,matmul_linear_99,505.4105799,-27.481561523203883
matmul,linear,"[(4037, 2646), (2646, 3837)]",592.8353589000001,matmul_linear_100,886.8984375,-33.15634194022356
