kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"binary_step_(16,16,16)",1.233442,1.174286,1.502857,0.105693,20,4096
"binary_step_(16,16,32)",1.228094,1.205803,1.378572,0.045752,20,8192
"binary_step_(32,16,16)",1.219938,1.18,1.409911,0.067368,20,8192
"binary_step_(24,16,16)",1.213848,1.174285,1.400089,0.072572,20,6144
"binary_step_(16,16,24)",1.210277,1.172857,1.404285,0.067186,20,6144
"binary_step_(32,32,8)",1.209871,1.178661,1.397232,0.055801,20,8192
"binary_step_(32,8,32)",1.208911,1.174286,1.411518,0.065723,20,8192
"binary_step_(16,24,16)",1.20725,1.172767,1.408571,0.070803,20,6144
"binary_step_(8,32,32)",1.195982,1.175715,1.387143,0.052845,20,8192
"binary_step_(16,32,16)",1.193875,1.175714,1.337232,0.038575,20,8192
"binary_step_(32,24,8)",1.161902,1.101339,1.344196,0.091475,20,6144
"binary_step_(24,8,32)",1.142719,1.077143,1.307232,0.089469,20,6144
"binary_step_(40,8,24)",1.138509,1.091428,1.301339,0.070805,20,7680
"binary_step_(8,24,40)",1.138219,1.084286,1.29991,0.084595,20,7680
"binary_step_(32,8,24)",1.137424,1.081339,1.394286,0.091526,20,6144
"binary_step_(24,32,8)",1.134428,1.095714,1.302857,0.069282,20,6144
"binary_step_(24,40,8)",1.133504,1.084196,1.351429,0.088069,20,7680
"binary_step_(24,24,8)",1.127272,1.094285,1.282768,0.058682,20,4608
"binary_step_(24,8,40)",1.126514,1.091518,1.32,0.063944,20,7680
"binary_step_(40,24,8)",1.124509,1.095804,1.305714,0.061785,20,7680
"binary_step_(8,24,32)",1.119951,1.08009,1.322857,0.060678,20,6144
"binary_step_(8,40,24)",1.115143,1.077053,1.24,0.05429,20,7680
"binary_step_(8,24,24)",1.115134,1.094197,1.307143,0.050655,20,4608
"binary_step_(24,8,24)",1.112442,1.087143,1.298571,0.053463,20,4608
"binary_step_(8,32,24)",1.105375,1.087054,1.261428,0.045189,20,6144
"binary_step_(32,16,8)",1.095732,1.03,1.26866,0.090458,20,4096
"binary_step_(32,8,16)",1.08708,1.031339,1.204286,0.073583,20,4096
"binary_step_(8,16,56)",1.06529,1.041428,1.245714,0.057272,20,7168
"binary_step_(8,32,16)",1.064067,1.004286,1.235625,0.082294,20,4096
"binary_step_(16,48,8)",1.063143,1.008572,1.218572,0.075633,20,6144
"binary_step_(8,16,48)",1.059799,1.004285,1.208661,0.071285,20,6144
"binary_step_(16,64,8)",1.05142,0.997232,1.228572,0.070325,20,8192
"binary_step_(48,16,8)",1.049853,1.002947,1.244196,0.08204,20,6144
"binary_step_(16,8,16)",1.047281,1.000089,1.245715,0.0724,20,2048
"binary_step_(8,48,16)",1.04554,1.011428,1.215625,0.056324,20,6144
"binary_step_(56,8,16)",1.045304,1.014286,1.211339,0.056907,20,7168
"binary_step_(16,8,48)",1.043652,1.001429,1.202857,0.069831,20,6144
"binary_step_(56,16,8)",1.042857,1.001428,1.261339,0.080504,20,7168
"binary_step_(8,24,16)",1.041295,1.005714,1.202947,0.065711,20,3072
"binary_step_(64,16,8)",1.040281,1.001339,1.244375,0.071748,20,8192
"binary_step_(8,16,32)",1.040072,1.00009,1.171429,0.06449,20,4096
"binary_step_(8,16,64)",1.039357,1.000089,1.229911,0.071437,20,8192
"binary_step_(8,56,16)",1.038857,1.005625,1.222857,0.067761,20,7168
"binary_step_(16,8,24)",1.038652,1.005714,1.237232,0.065319,20,3072
"binary_step_(48,8,16)",1.038576,1.004196,1.234286,0.071562,20,6144
"binary_step_(16,40,8)",1.037125,0.998572,1.228571,0.077401,20,5120
"binary_step_(24,8,16)",1.036424,1.002946,1.274285,0.076954,20,3072
"binary_step_(16,8,64)",1.035567,1.004196,1.221429,0.059876,20,8192
"binary_step_(8,40,16)",1.035446,1.005803,1.248571,0.066529,20,5120
"binary_step_(40,8,16)",1.034344,1.005714,1.242858,0.058807,20,5120
"binary_step_(16,32,8)",1.033848,1.002857,1.308661,0.07605,20,4096
"binary_step_(16,8,32)",1.033152,1.005714,1.192857,0.058805,20,4096
"binary_step_(8,16,24)",1.031518,1.004285,1.145714,0.045062,20,3072
"binary_step_(16,56,8)",1.030098,1.008571,1.218571,0.060013,20,7168
"binary_step_(64,8,16)",1.028063,1.005715,1.222947,0.060165,20,8192
"binary_step_(8,64,16)",1.027915,1.001428,1.221518,0.058688,20,8192
"binary_step_(24,16,8)",1.023995,1.011339,1.197053,0.041214,20,3072
"binary_step_(16,16,8)",1.020518,1.005803,1.104375,0.0283,20,2048
"binary_step_(16,8,56)",1.020361,1.002946,1.17866,0.041217,20,7168
"binary_step_(40,16,8)",1.015951,1.008571,1.084286,0.01617,20,5120
"binary_step_(16,24,8)",1.015728,1.004285,1.16,0.034068,20,3072
"binary_step_(8,16,16)",1.013799,1.001429,1.027143,0.004673,20,2048
"binary_step_(8,16,40)",1.013295,1.01,1.017143,0.001858,20,5120
"binary_step_(16,8,40)",1.012384,1.002857,1.095714,0.019876,20,5120
"binary_step_(8,24,8)",0.984183,0.922857,1.145714,0.091145,20,1536
"binary_step_(224,32)",0.983223,0.925804,1.154286,0.072732,20,7168
"binary_step_(40,8,8)",0.983139,0.959911,1.138572,0.054714,20,2560
"binary_step_(128,64)",0.977223,0.957142,1.15,0.055148,20,8192
"binary_step_(160,32)",0.976942,0.927143,1.138571,0.06442,20,5120
"binary_step_(7936,)",0.975572,0.921429,1.152768,0.084444,20,7936
"binary_step_(192,32)",0.974071,0.927143,1.15,0.079634,20,6144
"binary_step_(6528,)",0.972183,0.931429,1.151518,0.080754,20,6528
"binary_step_(64,96)",0.969005,0.922857,1.151339,0.078457,20,6144
"binary_step_(7040,)",0.965786,0.925714,1.144197,0.077422,20,7040
"binary_step_(6016,)",0.964728,0.904286,1.127143,0.087786,20,6016
"binary_step_(6784,)",0.964361,0.935714,1.118571,0.062779,20,6784
"binary_step_(8,80,8)",0.962701,0.925625,1.155625,0.070659,20,5120
"binary_step_(16,8,8)",0.962299,0.927232,1.164286,0.074043,20,1024
"binary_step_(8,8,88)",0.961786,0.925714,1.149911,0.067703,20,5632
"binary_step_(128,8,8)",0.961656,0.922768,1.132768,0.075163,20,8192
"binary_step_(8,112,8)",0.959862,0.925804,1.075804,0.051941,20,7168
"binary_step_(88,8,8)",0.958563,0.925714,1.102857,0.063027,20,5632
"binary_step_(7680,)",0.957772,0.928571,1.105715,0.056134,20,7680
"binary_step_(8,8,32)",0.95754,0.927053,1.092857,0.059718,20,2048
"binary_step_(8064,)",0.957482,0.928571,1.144285,0.05689,20,8064
"binary_step_(6272,)",0.957174,0.928661,1.150089,0.061412,20,6272
"binary_step_(8,8,16)",0.956973,0.927054,1.105714,0.058009,20,1024
"binary_step_(4608,)",0.956366,0.91,1.131429,0.07892,20,4608
"binary_step_(8,8,128)",0.956125,0.925714,1.118571,0.062538,20,8192
"binary_step_(8,64,8)",0.956062,0.924196,1.137232,0.062342,20,4096
"binary_step_(48,8,8)",0.95596,0.925714,1.14134,0.05641,20,3072
"binary_step_(8,88,8)",0.955513,0.925714,1.145803,0.065009,20,5632
"binary_step_(8,8,80)",0.955442,0.924375,1.127143,0.061618,20,5120
"binary_step_(6656,)",0.95542,0.925715,1.101429,0.051564,20,6656
"binary_step_(8,8,120)",0.955009,0.925715,1.141429,0.063825,20,7680
"binary_step_(8,8,72)",0.954692,0.922857,1.202768,0.073583,20,4608
"binary_step_(7552,)",0.954563,0.927232,1.125625,0.061864,20,7552
"binary_step_(104,8,8)",0.954406,0.924285,1.18,0.070552,20,6656
"binary_step_(8,8,104)",0.953719,0.922857,1.151339,0.071799,20,6656
"binary_step_(120,8,8)",0.953433,0.928571,1.102768,0.052784,20,7680
"binary_step_(8,48,8)",0.952862,0.921429,1.124286,0.064279,20,3072
"binary_step_(7808,)",0.952562,0.927143,1.108571,0.053145,20,7808
"binary_step_(8,8,64)",0.952089,0.920089,1.118661,0.063973,20,4096
"binary_step_(7424,)",0.951991,0.927143,1.127232,0.056942,20,7424
"binary_step_(8,8,24)",0.951933,0.925714,1.128571,0.059972,20,1536
"binary_step_(7168,)",0.95179,0.922857,1.109911,0.058865,20,7168
"binary_step_(32,8,8)",0.951482,0.918572,1.177053,0.065974,20,2048
"binary_step_(8,104,8)",0.949214,0.925714,1.105715,0.052942,20,6656
"binary_step_(256,32)",0.94829,0.922857,1.168571,0.062362,20,8192
"binary_step_(6400,)",0.948143,0.925803,1.114286,0.053743,20,6400
"binary_step_(8,8,40)",0.947308,0.922946,1.091428,0.054934,20,2560
"binary_step_(112,8,8)",0.947156,0.93,1.137142,0.050562,20,7168
"binary_step_(96,64)",0.946371,0.921429,1.111429,0.049928,20,6144
"binary_step_(8,56,8)",0.945705,0.928571,1.129911,0.049647,20,3584
"binary_step_(32,256)",0.945643,0.928661,1.135714,0.046248,20,8192
"binary_step_(8,40,8)",0.94529,0.928572,1.064285,0.035957,20,2560
"binary_step_(5632,)",0.945156,0.902768,1.12,0.07664,20,5632
"binary_step_(24,8,8)",0.945147,0.920089,1.154285,0.05813,20,1536
"binary_step_(72,8,8)",0.94513,0.927143,1.05,0.034901,20,4608
"binary_step_(4224,)",0.944638,0.909911,1.145715,0.058189,20,4224
"binary_step_(6912,)",0.944299,0.930089,1.060089,0.032979,20,6912
"binary_step_(32,224)",0.944259,0.925714,1.077143,0.04151,20,7168
