kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"elu_(16,16,16)",1.38062,1.324286,1.568571,0.082959,20,4096
"elu_(24,16,16)",1.36908,1.294197,1.507143,0.087975,20,6144
"elu_(16,16,32)",1.348786,1.308661,1.535714,0.075102,20,8192
"elu_(16,24,16)",1.339219,1.305714,1.508571,0.054702,20,6144
"elu_(32,8,32)",1.328089,1.295714,1.501518,0.05755,20,8192
"elu_(16,32,16)",1.323902,1.297143,1.514286,0.061,20,8192
"elu_(32,32,8)",1.321205,1.277143,1.552857,0.087302,20,8192
"elu_(16,16,24)",1.319714,1.298571,1.438571,0.039118,20,6144
"elu_(8,32,32)",1.31879,1.29,1.502857,0.056173,20,8192
"elu_(32,16,16)",1.317647,1.282857,1.504285,0.06544,20,8192
"elu_(24,32,8)",1.241933,1.188661,1.400089,0.078595,20,6144
"elu_(32,24,8)",1.239514,1.185715,1.412946,0.082506,20,6144
"elu_(8,32,24)",1.237509,1.19,1.39866,0.075704,20,6144
"elu_(40,24,8)",1.235147,1.172857,1.42134,0.090145,20,7680
"elu_(8,24,32)",1.218004,1.18134,1.515714,0.086222,20,6144
"elu_(24,8,32)",1.217594,1.179911,1.402857,0.072768,20,6144
"elu_(8,24,24)",1.213862,1.187054,1.375714,0.056445,20,4608
"elu_(40,8,24)",1.211656,1.172857,1.391429,0.067459,20,7680
"elu_(8,24,40)",1.21129,1.177232,1.444285,0.067826,20,7680
"elu_(24,8,40)",1.206906,1.19134,1.38,0.043584,20,7680
"elu_(24,24,8)",1.205723,1.177142,1.455625,0.067371,20,4608
"elu_(24,8,24)",1.20438,1.187232,1.451518,0.058349,20,4608
"elu_(32,8,24)",1.197134,1.180089,1.371429,0.043666,20,6144
"elu_(24,40,8)",1.195415,1.191517,1.198572,0.001876,20,7680
"elu_(8,40,24)",1.190857,1.174285,1.284286,0.028896,20,7680
"elu_(8,16,64)",1.143505,1.08,1.315715,0.091694,20,8192
"elu_(24,8,16)",1.132754,1.068571,1.305625,0.083143,20,3072
"elu_(16,40,8)",1.127348,1.070089,1.339911,0.098064,20,5120
"elu_(32,8,16)",1.123928,1.074375,1.275804,0.076729,20,4096
"elu_(16,8,40)",1.11979,1.068571,1.314197,0.090147,20,5120
"elu_(8,40,16)",1.119335,1.074285,1.308572,0.08116,20,5120
"elu_(48,16,8)",1.118446,1.068661,1.267232,0.063214,20,6144
"elu_(16,8,32)",1.115996,1.068571,1.307053,0.082564,20,4096
"elu_(24,16,8)",1.112402,1.078571,1.29134,0.060208,20,3072
