kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"leaky_relu_(16,24,16)",1.367286,1.292946,1.549911,0.095865,20,6144
"leaky_relu_(16,16,16)",1.342928,1.277232,1.53,0.083868,20,4096
"leaky_relu_(16,16,24)",1.340723,1.284286,1.498661,0.074636,20,6144
"leaky_relu_(16,16,32)",1.323053,1.297054,1.46991,0.052882,20,8192
"leaky_relu_(32,16,16)",1.319138,1.278483,1.488572,0.070189,20,8192
"leaky_relu_(8,32,32)",1.311268,1.262857,1.491428,0.068881,20,8192
"leaky_relu_(32,32,8)",1.31071,1.274197,1.55,0.073353,20,8192
"leaky_relu_(24,16,16)",1.309429,1.277142,1.497143,0.064321,20,6144
"leaky_relu_(16,32,16)",1.305,1.275625,1.484285,0.052571,20,8192
"leaky_relu_(32,8,32)",1.287464,1.271428,1.477232,0.046441,20,8192
"leaky_relu_(24,24,8)",1.220156,1.158661,1.404286,0.088382,20,4608
"leaky_relu_(24,8,32)",1.218911,1.157143,1.48,0.096422,20,6144
"leaky_relu_(8,32,24)",1.217268,1.168571,1.374375,0.078421,20,6144
"leaky_relu_(24,8,24)",1.200661,1.167232,1.444375,0.070437,20,4608
"leaky_relu_(8,40,24)",1.200634,1.165804,1.455715,0.083115,20,7680
"leaky_relu_(24,32,8)",1.193143,1.162857,1.42009,0.063786,20,6144
"leaky_relu_(24,40,8)",1.192272,1.161429,1.438571,0.066624,20,7680
"leaky_relu_(40,24,8)",1.191946,1.164375,1.378661,0.059812,20,7680
"leaky_relu_(32,8,24)",1.189594,1.151428,1.390089,0.07822,20,6144
"leaky_relu_(32,24,8)",1.18579,1.167143,1.362858,0.046371,20,6144
"leaky_relu_(24,8,40)",1.184741,1.158571,1.332857,0.045549,20,7680
"leaky_relu_(40,8,24)",1.181884,1.164375,1.319911,0.044878,20,7680
"leaky_relu_(8,24,40)",1.178852,1.161428,1.277143,0.03512,20,7680
"leaky_relu_(8,24,32)",1.177201,1.161339,1.335714,0.043048,20,6144
"leaky_relu_(8,24,24)",1.168357,1.152857,1.248482,0.03257,20,4608
"leaky_relu_(48,8,16)",1.138437,1.054285,1.302857,0.105413,20,6144
"leaky_relu_(24,16,8)",1.121424,1.060089,1.292857,0.083928,20,3072
"leaky_relu_(8,16,48)",1.120612,1.064286,1.285715,0.079114,20,6144
"leaky_relu_(16,48,8)",1.118509,1.064285,1.291429,0.079676,20,6144
"leaky_relu_(8,16,32)",1.118304,1.060089,1.274286,0.062878,20,4096
"leaky_relu_(56,16,8)",1.117946,1.088572,1.284285,0.053897,20,7168
"leaky_relu_(8,16,56)",1.117875,1.091518,1.245714,0.052765,20,7168
"leaky_relu_(8,32,16)",1.115652,1.057143,1.287232,0.074221,20,4096
"leaky_relu_(16,64,8)",1.113732,1.07,1.284375,0.077696,20,8192
"leaky_relu_(40,16,8)",1.11029,1.059911,1.352768,0.097041,20,5120
"leaky_relu_(16,8,56)",1.108955,1.094285,1.25,0.03823,20,7168
"leaky_relu_(16,8,48)",1.105022,1.067143,1.24,0.052577,20,6144
"leaky_relu_(24,8,16)",1.101062,1.062857,1.282857,0.074158,20,3072
"leaky_relu_(16,8,24)",1.098862,1.06,1.25991,0.059839,20,3072
"leaky_relu_(16,16,8)",1.098361,1.060089,1.28,0.066581,20,2048
"leaky_relu_(8,16,64)",1.097643,1.061429,1.295803,0.072009,20,8192
"leaky_relu_(16,8,16)",1.096982,1.061429,1.288661,0.066426,20,2048
"leaky_relu_(40,8,16)",1.09442,1.057232,1.259911,0.068276,20,5120
"leaky_relu_(32,8,16)",1.092018,1.05,1.271429,0.0635,20,4096
"leaky_relu_(16,56,8)",1.090911,1.065625,1.272857,0.054906,20,7168
"leaky_relu_(16,40,8)",1.090634,1.060089,1.29,0.068308,20,5120
"leaky_relu_(16,24,8)",1.090147,1.064286,1.291339,0.059928,20,3072
"leaky_relu_(16,8,40)",1.089924,1.062857,1.202767,0.041705,20,5120
"leaky_relu_(8,40,16)",1.089509,1.057232,1.277143,0.064539,20,5120
"leaky_relu_(8,64,16)",1.088714,1.059911,1.237143,0.050144,20,8192
"leaky_relu_(56,8,16)",1.088201,1.054375,1.314286,0.061121,20,7168
"leaky_relu_(16,8,64)",1.087652,1.067143,1.205714,0.038212,20,8192
"leaky_relu_(8,16,16)",1.087647,1.06,1.261339,0.056982,20,2048
"leaky_relu_(48,16,8)",1.08758,1.062947,1.208571,0.045184,20,6144
"leaky_relu_(16,8,32)",1.082848,1.064286,1.361428,0.065701,20,4096
"leaky_relu_(8,16,24)",1.080456,1.054375,1.207143,0.043372,20,3072
"leaky_relu_(16,32,8)",1.08029,1.060089,1.288572,0.053561,20,4096
"leaky_relu_(64,16,8)",1.080152,1.055715,1.275803,0.066425,20,8192
"leaky_relu_(8,24,16)",1.079799,1.060089,1.241518,0.044962,20,3072
"leaky_relu_(8,48,16)",1.078915,1.057143,1.202768,0.042866,20,6144
"leaky_relu_(8,56,16)",1.077866,1.06,1.237143,0.045979,20,7168
"leaky_relu_(64,8,16)",1.076741,1.05134,1.29,0.059456,20,8192
"leaky_relu_(32,16,8)",1.07563,1.058482,1.208572,0.036779,20,4096
"leaky_relu_(8,16,40)",1.073585,1.060089,1.182857,0.034572,20,5120
"leaky_relu_(6656,)",1.024344,0.954375,1.222857,0.097104,20,6656
"leaky_relu_(8,8,32)",1.002129,0.954286,1.155714,0.072253,20,2048
"leaky_relu_(6528,)",1.000866,0.951517,1.152768,0.077621,20,6528
"leaky_relu_(96,64)",1.000714,0.957054,1.187143,0.064665,20,6144
"leaky_relu_(64,8,8)",0.999835,0.945803,1.174286,0.08124,20,4096
"leaky_relu_(8,8,120)",0.999701,0.957232,1.201428,0.067366,20,7680
"leaky_relu_(8,8,88)",0.996866,0.954197,1.125803,0.05647,20,5632
"leaky_relu_(8,24,8)",0.99579,0.952857,1.147053,0.065128,20,1536
"leaky_relu_(112,8,8)",0.995697,0.948572,1.171429,0.075239,20,7168
"leaky_relu_(8,8,40)",0.995058,0.954375,1.148571,0.067137,20,2560
"leaky_relu_(8,8,96)",0.994701,0.955715,1.177054,0.0664,20,6144
"leaky_relu_(8,56,8)",0.994567,0.954285,1.214286,0.081061,20,3584
"leaky_relu_(24,8,8)",0.993995,0.954375,1.161339,0.06654,20,1536
"leaky_relu_(8,48,8)",0.993759,0.954197,1.207232,0.07849,20,3072
"leaky_relu_(120,8,8)",0.99325,0.954285,1.121518,0.062958,20,7680
"leaky_relu_(256,32)",0.991986,0.951429,1.164285,0.070326,20,8192
"leaky_relu_(7936,)",0.991732,0.947232,1.174375,0.07359,20,7936
"leaky_relu_(6784,)",0.991701,0.947143,1.14134,0.063233,20,6784
"leaky_relu_(32,256)",0.991674,0.945715,1.187232,0.07189,20,8192
"leaky_relu_(56,8,8)",0.990505,0.948661,1.158571,0.069931,20,3584
"leaky_relu_(8,8,8)",0.990009,0.955714,1.171428,0.068129,20,512
"leaky_relu_(8,72,8)",0.989835,0.954375,1.149911,0.061336,20,4608
"leaky_relu_(7040,)",0.989496,0.947232,1.134196,0.061559,20,7040
"leaky_relu_(64,128)",0.989147,0.954375,1.192857,0.076289,20,8192
"leaky_relu_(8,88,8)",0.988652,0.952946,1.212857,0.072647,20,5632
"leaky_relu_(8,16,8)",0.987335,0.957233,1.155625,0.061431,20,1024
"leaky_relu_(40,8,8)",0.98558,0.947143,1.165715,0.071151,20,2560
"leaky_relu_(7168,)",0.984366,0.951518,1.2,0.073432,20,7168
"leaky_relu_(8,120,8)",0.984259,0.954196,1.177143,0.065379,20,7680
"leaky_relu_(8,8,64)",0.983701,0.952857,1.171518,0.070497,20,4096
"leaky_relu_(6272,)",0.983344,0.951429,1.167053,0.058177,20,6272
"leaky_relu_(8,8,112)",0.982478,0.957143,1.152857,0.056407,20,7168
"leaky_relu_(32,8,8)",0.981415,0.954285,1.218571,0.063494,20,2048
"leaky_relu_(7296,)",0.981339,0.942946,1.145714,0.06894,20,7296
"leaky_relu_(8,8,24)",0.980545,0.952857,1.171429,0.055662,20,1536
"leaky_relu_(6912,)",0.98042,0.954286,1.172857,0.060976,20,6912
"leaky_relu_(16,8,8)",0.980344,0.952946,1.157143,0.060218,20,1024
"leaky_relu_(104,8,8)",0.980067,0.945803,1.162857,0.071772,20,6656
"leaky_relu_(8,104,8)",0.979888,0.954197,1.159911,0.055669,20,6656
"leaky_relu_(160,32)",0.978812,0.951517,1.142857,0.061063,20,5120
"leaky_relu_(8,112,8)",0.978652,0.951518,1.148482,0.0576,20,7168
"leaky_relu_(64,96)",0.97754,0.949911,1.138482,0.053384,20,6144
"leaky_relu_(8,96,8)",0.976973,0.954286,1.214286,0.060728,20,6144
"leaky_relu_(64,64)",0.976875,0.952857,1.135714,0.052698,20,4096
"leaky_relu_(128,64)",0.976839,0.955714,1.101517,0.041782,20,8192
"leaky_relu_(5888,)",0.97608,0.925714,1.162857,0.089709,20,5888
"leaky_relu_(192,32)",0.976,0.948571,1.188571,0.058294,20,6144
"leaky_relu_(8,128,8)",0.975036,0.952768,1.091518,0.044207,20,8192
"leaky_relu_(88,8,8)",0.974928,0.945804,1.182947,0.061703,20,5632
"leaky_relu_(72,8,8)",0.974839,0.947143,1.141429,0.060453,20,4608
