kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"linear_(32,8,32)",1.335473,1.264196,1.505715,0.09015,20,8192
"linear_(16,16,24)",1.331379,1.284375,1.531517,0.06884,20,6144
"linear_(16,16,32)",1.317339,1.262857,1.497054,0.0821,20,8192
"linear_(16,32,16)",1.314701,1.267143,1.488661,0.078998,20,8192
"linear_(24,16,16)",1.312594,1.284375,1.527143,0.061117,20,6144
"linear_(16,24,16)",1.311513,1.264285,1.568661,0.088961,20,6144
"linear_(8,32,32)",1.30829,1.264375,1.477232,0.070035,20,8192
"linear_(32,16,16)",1.304898,1.268661,1.45,0.059318,20,8192
"linear_(32,32,8)",1.298786,1.265803,1.527143,0.066055,20,8192
"linear_(16,16,16)",1.282451,1.26,1.488572,0.053104,20,4096
"linear_(40,8,24)",1.222496,1.17,1.454286,0.081583,20,7680
"linear_(8,24,24)",1.217772,1.162947,1.391428,0.081637,20,4608
"linear_(24,8,24)",1.216482,1.158482,1.382768,0.087135,20,4608
"linear_(24,32,8)",1.213643,1.161339,1.457053,0.088641,20,6144
"linear_(8,40,24)",1.211697,1.187143,1.392768,0.060574,20,7680
"linear_(8,24,32)",1.206638,1.162857,1.38866,0.068296,20,6144
"linear_(32,24,8)",1.204522,1.155714,1.385714,0.078784,20,6144
"linear_(32,8,24)",1.201786,1.174286,1.375715,0.059362,20,6144
"linear_(8,24,40)",1.198375,1.162857,1.371518,0.06379,20,7680
"linear_(24,8,40)",1.195991,1.165714,1.372768,0.066055,20,7680
"linear_(8,32,24)",1.193147,1.161428,1.397143,0.065489,20,6144
"linear_(40,24,8)",1.192648,1.16,1.432768,0.075847,20,7680
"linear_(24,24,8)",1.19029,1.157054,1.38,0.059969,20,4608
"linear_(24,8,32)",1.189429,1.164197,1.355714,0.05708,20,6144
"linear_(24,40,8)",1.184304,1.155803,1.368571,0.05454,20,7680
"linear_(8,32,16)",1.145986,1.1,1.342857,0.076985,20,4096
"linear_(8,64,16)",1.120505,1.055715,1.32,0.093663,20,8192
"linear_(8,48,16)",1.112152,1.062857,1.314286,0.086525,20,6144
"linear_(8,16,64)",1.110964,1.09009,1.268661,0.050422,20,8192
"linear_(16,8,64)",1.110634,1.08,1.265625,0.04798,20,8192
"linear_(56,16,8)",1.108295,1.061428,1.32,0.092072,20,7168
"linear_(8,24,16)",1.105929,1.064375,1.332947,0.076862,20,3072
"linear_(16,64,8)",1.10192,1.058571,1.278571,0.079003,20,8192
"linear_(24,8,16)",1.100786,1.057143,1.297232,0.072461,20,3072
"linear_(48,8,16)",1.098491,1.058661,1.295804,0.072213,20,6144
"linear_(16,56,8)",1.098058,1.058571,1.299911,0.073109,20,7168
"linear_(56,8,16)",1.097594,1.062857,1.271428,0.065929,20,7168
"linear_(16,8,32)",1.097571,1.082857,1.29,0.045515,20,4096
"linear_(64,8,16)",1.095228,1.062857,1.308661,0.070254,20,8192
"linear_(8,16,32)",1.094205,1.067142,1.268483,0.054314,20,4096
"linear_(16,24,8)",1.093652,1.06,1.269911,0.063573,20,3072
"linear_(8,40,16)",1.092652,1.060089,1.271429,0.062036,20,5120
"linear_(8,16,48)",1.092165,1.067232,1.214286,0.043434,20,6144
"linear_(16,40,8)",1.091786,1.06,1.295714,0.075078,20,5120
"linear_(64,16,8)",1.091304,1.06,1.272768,0.062455,20,8192
"linear_(48,16,8)",1.089205,1.055803,1.257053,0.062351,20,6144
"linear_(16,8,56)",1.089013,1.05866,1.230089,0.05586,20,7168
"linear_(16,8,24)",1.088799,1.05134,1.262768,0.071088,20,3072
"linear_(16,32,8)",1.088147,1.055803,1.239911,0.060798,20,4096
"linear_(16,8,16)",1.087495,1.057142,1.234286,0.054888,20,2048
"linear_(40,8,16)",1.087299,1.057232,1.228572,0.058016,20,5120
"linear_(24,16,8)",1.083009,1.055714,1.285714,0.055844,20,3072
"linear_(8,16,56)",1.082987,1.057143,1.285714,0.055908,20,7168
"linear_(8,56,16)",1.081098,1.052947,1.232767,0.047303,20,7168
"linear_(8,16,40)",1.080362,1.055715,1.265714,0.053963,20,5120
"linear_(32,16,8)",1.079571,1.058661,1.325804,0.060239,20,4096
"linear_(16,8,40)",1.07742,1.052947,1.231429,0.048344,20,5120
"linear_(8,16,16)",1.075411,1.06,1.185714,0.032085,20,2048
"linear_(16,8,48)",1.073947,1.057143,1.26,0.045582,20,6144
"linear_(32,8,16)",1.073129,1.06,1.172857,0.026783,20,4096
"linear_(16,48,8)",1.06892,1.05866,1.205714,0.032252,20,6144
"linear_(16,16,8)",1.067446,1.052857,1.267143,0.047214,20,2048
"linear_(8,16,24)",1.066353,1.054285,1.141339,0.024522,20,3072
"linear_(40,16,8)",1.06438,1.057143,1.111429,0.011236,20,5120
"linear_(128,8,8)",1.026893,0.957232,1.222857,0.096718,20,8192
