kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"parametric_relu_(16,24,16)",1.337911,1.294286,1.505714,0.066451,20,6144
"parametric_relu_(32,32,8)",1.337781,1.294286,1.527053,0.068591,20,8192
"parametric_relu_(16,32,16)",1.334728,1.284196,1.534286,0.070621,20,8192
"parametric_relu_(16,16,24)",1.327299,1.285804,1.514286,0.07602,20,6144
"parametric_relu_(32,8,32)",1.325821,1.287143,1.557053,0.071292,20,8192
"parametric_relu_(32,16,16)",1.325357,1.291429,1.468571,0.057595,20,8192
"parametric_relu_(8,32,32)",1.32146,1.288571,1.518571,0.065621,20,8192
"parametric_relu_(16,16,16)",1.319973,1.292857,1.575715,0.076157,20,4096
"parametric_relu_(24,16,16)",1.307585,1.287143,1.414286,0.033621,20,6144
"parametric_relu_(16,16,32)",1.292188,1.287143,1.3,0.003042,20,8192
"parametric_relu_(24,40,8)",1.260442,1.215803,1.450089,0.079052,20,7680
"parametric_relu_(32,24,8)",1.250067,1.180089,1.484286,0.11282,20,6144
"parametric_relu_(8,32,24)",1.245571,1.182857,1.394286,0.085033,20,6144
"parametric_relu_(32,8,24)",1.231353,1.211339,1.36,0.040331,20,6144
"parametric_relu_(40,24,8)",1.230054,1.18,1.487053,0.095036,20,7680
"parametric_relu_(24,8,32)",1.227223,1.165714,1.462947,0.099486,20,6144
"parametric_relu_(24,8,24)",1.226661,1.177232,1.437054,0.078362,20,4608
"parametric_relu_(8,24,24)",1.225696,1.177143,1.491428,0.093187,20,4608
"parametric_relu_(24,32,8)",1.207152,1.175714,1.391518,0.066025,20,6144
"parametric_relu_(40,8,24)",1.205558,1.168571,1.361518,0.063535,20,7680
"parametric_relu_(8,24,40)",1.204067,1.177232,1.404375,0.055605,20,7680
"parametric_relu_(8,24,32)",1.199714,1.17866,1.351429,0.047328,20,6144
"parametric_relu_(8,40,24)",1.19962,1.174286,1.4,0.055101,20,7680
"parametric_relu_(24,24,8)",1.198429,1.174285,1.344196,0.043742,20,4608
"parametric_relu_(24,8,40)",1.192223,1.171429,1.364375,0.051242,20,7680
