kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"relu_(8,32,32)",1.335772,1.264197,1.56,0.103414,20,8192
"relu_(16,24,16)",1.317125,1.267143,1.495714,0.077688,20,6144
"relu_(24,16,16)",1.316915,1.272768,1.528483,0.074251,20,6144
"relu_(16,16,24)",1.314893,1.265803,1.507053,0.079146,20,6144
"relu_(16,16,32)",1.311643,1.267054,1.481428,0.070661,20,8192
"relu_(16,32,16)",1.310201,1.268483,1.481429,0.075992,20,8192
"relu_(32,32,8)",1.304821,1.27,1.478661,0.066336,20,8192
"relu_(32,8,32)",1.299946,1.260089,1.455714,0.067587,20,8192
"relu_(32,16,16)",1.298272,1.264286,1.508571,0.065432,20,8192
"relu_(16,16,16)",1.29737,1.27,1.437232,0.046864,20,4096
"relu_(24,24,8)",1.252929,1.194286,1.388483,0.078221,20,4608
"relu_(8,24,32)",1.209295,1.161429,1.388572,0.077947,20,6144
"relu_(24,40,8)",1.205004,1.18,1.362768,0.051786,20,7680
"relu_(24,32,8)",1.20313,1.158482,1.405714,0.075519,20,6144
"relu_(8,40,24)",1.199871,1.16009,1.385714,0.07087,20,7680
"relu_(40,24,8)",1.199054,1.168572,1.428571,0.067646,20,7680
"relu_(8,24,24)",1.196777,1.157143,1.377054,0.072612,20,4608
"relu_(24,8,40)",1.189656,1.151517,1.377054,0.075343,20,7680
"relu_(24,8,24)",1.187852,1.15,1.372767,0.064915,20,4608
"relu_(40,8,24)",1.182214,1.155714,1.319911,0.047841,20,7680
"relu_(32,8,24)",1.176013,1.157233,1.384286,0.050249,20,6144
"relu_(24,8,32)",1.174705,1.161429,1.245714,0.024034,20,6144
"relu_(8,24,40)",1.174585,1.155625,1.408571,0.05897,20,7680
"relu_(8,32,24)",1.163076,1.155715,1.252857,0.021496,20,6144
"relu_(32,24,8)",1.160487,1.152946,1.248572,0.020792,20,6144
"relu_(16,8,24)",1.136844,1.098482,1.287143,0.063225,20,3072
"relu_(16,64,8)",1.119567,1.098572,1.304286,0.059626,20,8192
"relu_(48,8,16)",1.113138,1.06,1.269911,0.078407,20,6144
"relu_(16,40,8)",1.113072,1.06,1.284286,0.072882,20,5120
"relu_(40,16,8)",1.111714,1.057233,1.328572,0.092484,20,5120
"relu_(24,8,16)",1.107433,1.058571,1.277054,0.083274,20,3072
"relu_(8,16,48)",1.102764,1.052768,1.285625,0.080928,20,6144
"relu_(56,16,8)",1.102437,1.082946,1.312946,0.053048,20,7168
"relu_(48,16,8)",1.102433,1.055625,1.245714,0.056115,20,6144
"relu_(16,48,8)",1.101643,1.077232,1.311339,0.062365,20,6144
"relu_(8,16,16)",1.100777,1.051428,1.307143,0.074654,20,2048
"relu_(40,8,16)",1.100469,1.058482,1.292768,0.080931,20,5120
"relu_(24,16,8)",1.100362,1.052857,1.265714,0.078622,20,3072
"relu_(16,8,40)",1.09667,1.06,1.308661,0.070309,20,5120
"relu_(16,8,48)",1.096562,1.055625,1.335714,0.092158,20,6144
"relu_(16,8,64)",1.095326,1.055714,1.248482,0.060374,20,8192
"relu_(56,8,16)",1.09463,1.057232,1.268482,0.067799,20,7168
"relu_(8,64,16)",1.092304,1.058482,1.268571,0.066576,20,8192
"relu_(16,8,56)",1.092152,1.051518,1.301339,0.07307,20,7168
"relu_(8,48,16)",1.090924,1.06009,1.33991,0.068057,20,6144
"relu_(16,24,8)",1.090214,1.057232,1.287143,0.065567,20,3072
"relu_(8,24,16)",1.087777,1.057143,1.34,0.077588,20,3072
"relu_(8,16,40)",1.085996,1.052767,1.247143,0.058796,20,5120
"relu_(16,8,32)",1.085781,1.05,1.262858,0.059033,20,4096
"relu_(16,32,8)",1.085723,1.057232,1.292858,0.071167,20,4096
"relu_(8,40,16)",1.085415,1.054286,1.235714,0.061072,20,5120
"relu_(64,16,8)",1.083987,1.051518,1.295625,0.069488,20,8192
"relu_(16,56,8)",1.08212,1.051429,1.298572,0.061091,20,7168
"relu_(16,8,16)",1.080808,1.055714,1.287143,0.056676,20,2048
"relu_(8,56,16)",1.080759,1.055714,1.225714,0.046931,20,7168
"relu_(8,16,24)",1.077705,1.051518,1.26,0.050895,20,3072
"relu_(8,16,32)",1.076362,1.048661,1.270089,0.062686,20,4096
"relu_(32,16,8)",1.072875,1.057143,1.160089,0.02843,20,4096
"relu_(64,8,16)",1.071772,1.05991,1.249911,0.041988,20,8192
"relu_(16,16,8)",1.071357,1.055714,1.182857,0.033411,20,2048
"relu_(32,8,16)",1.070558,1.054285,1.285714,0.05093,20,4096
"relu_(8,16,56)",1.067665,1.049911,1.129911,0.022089,20,7168
"relu_(8,16,64)",1.064295,1.057143,1.102946,0.009462,20,8192
"relu_(8,32,16)",1.05371,1.049911,1.055804,0.00164,20,4096
"relu_(256,32)",1.012348,0.944285,1.181429,0.09035,20,8192
"relu_(8,32,8)",1.009639,0.949911,1.209911,0.08589,20,2048
"relu_(224,32)",1.000634,0.945625,1.16991,0.079941,20,7168
"relu_(4352,)",0.999781,0.928572,1.125625,0.082893,20,4352
"relu_(8,8,88)",0.994419,0.951339,1.182946,0.072892,20,5632
"relu_(7424,)",0.993857,0.948571,1.147143,0.071451,20,7424
"relu_(88,8,8)",0.991098,0.94866,1.134285,0.06247,20,5632
"relu_(96,64)",0.99071,0.94866,1.181339,0.07425,20,6144
"relu_(8,8,96)",0.990576,0.957143,1.151518,0.062279,20,6144
"relu_(56,8,8)",0.990482,0.95,1.174375,0.072144,20,3584
"relu_(16,8,8)",0.989286,0.947143,1.17134,0.078691,20,1024
"relu_(64,64)",0.988786,0.951429,1.168661,0.066747,20,4096
"relu_(8,128,8)",0.988625,0.951428,1.142768,0.066892,20,8192
"relu_(8,8,56)",0.988295,0.950089,1.162857,0.068987,20,3584
"relu_(8,72,8)",0.988219,0.951518,1.171429,0.073612,20,4608
"relu_(8,8,72)",0.988004,0.951518,1.149911,0.063794,20,4608
"relu_(7296,)",0.987786,0.948571,1.147054,0.06579,20,7296
"relu_(8,8,64)",0.986295,0.95,1.171517,0.066999,20,4096
"relu_(32,8,8)",0.986063,0.952857,1.2,0.07357,20,2048
"relu_(8,64,8)",0.986004,0.951517,1.162768,0.073564,20,4096
"relu_(24,8,8)",0.985928,0.95,1.161518,0.066017,20,1536
"relu_(7552,)",0.985924,0.954286,1.147232,0.055493,20,7552
"relu_(64,96)",0.985638,0.952947,1.172858,0.059675,20,6144
"relu_(120,8,8)",0.985111,0.954285,1.165714,0.068395,20,7680
"relu_(32,160)",0.985067,0.945804,1.167054,0.068097,20,5120
"relu_(32,192)",0.984714,0.944196,1.17,0.079355,20,6144
"relu_(6912,)",0.983112,0.95,1.13,0.059147,20,6912
"relu_(6400,)",0.981986,0.954285,1.127232,0.061566,20,6400
"relu_(8,8,112)",0.981853,0.95,1.187143,0.066736,20,7168
"relu_(7168,)",0.981764,0.951429,1.142768,0.060886,20,7168
"relu_(7680,)",0.980705,0.945714,1.147143,0.068436,20,7680
"relu_(8,16,8)",0.979933,0.951429,1.195714,0.065701,20,1024
"relu_(8192,)",0.979348,0.948661,1.168482,0.067426,20,8192
"relu_(8,8,104)",0.978085,0.951518,1.132857,0.053677,20,6656
"relu_(64,128)",0.977866,0.945715,1.157143,0.068197,20,8192
"relu_(192,32)",0.977719,0.942857,1.141429,0.058976,20,6144
"relu_(104,8,8)",0.976223,0.948571,1.168571,0.06398,20,6656
