kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"selu_(16,16,32)",1.377915,1.334286,1.544196,0.075336,20,8192
"selu_(16,24,16)",1.360866,1.321428,1.625625,0.079316,20,6144
"selu_(16,32,16)",1.357987,1.305715,1.551429,0.085606,20,8192
"selu_(24,16,16)",1.351714,1.314285,1.534196,0.067483,20,6144
"selu_(16,16,24)",1.350652,1.311428,1.542767,0.077437,20,6144
"selu_(16,16,16)",1.337335,1.314375,1.545715,0.05663,20,4096
"selu_(32,32,8)",1.334545,1.3,1.52,0.064825,20,8192
"selu_(32,16,16)",1.329986,1.297232,1.514197,0.064823,20,8192
"selu_(8,32,32)",1.320991,1.308571,1.5,0.042202,20,8192
"selu_(32,8,32)",1.316277,1.305714,1.474285,0.037233,20,8192
"selu_(32,8,24)",1.254219,1.244286,1.397142,0.033685,20,6144
"selu_(8,24,24)",1.243937,1.231517,1.362857,0.03149,20,4608
"selu_(8,40,24)",1.241482,1.194286,1.458571,0.089886,20,7680
"selu_(24,8,32)",1.230794,1.194375,1.45866,0.079972,20,6144
"selu_(8,24,32)",1.227223,1.194286,1.487232,0.071207,20,6144
"selu_(24,24,8)",1.220362,1.187054,1.442857,0.064605,20,4608
"selu_(24,8,24)",1.220214,1.20009,1.334286,0.037975,20,4608
"selu_(24,40,8)",1.217491,1.197053,1.39,0.044271,20,7680
"selu_(24,8,40)",1.216576,1.197142,1.417143,0.054662,20,7680
"selu_(40,24,8)",1.212951,1.188571,1.415715,0.055847,20,7680
"selu_(8,24,40)",1.211522,1.192947,1.422858,0.053432,20,7680
"selu_(40,8,24)",1.210299,1.19,1.397053,0.049571,20,7680
"selu_(8,32,24)",1.208429,1.188661,1.395625,0.048965,20,6144
"selu_(32,24,8)",1.199951,1.185803,1.344375,0.035928,20,6144
"selu_(24,32,8)",1.195933,1.191339,1.225714,0.00933,20,6144
"selu_(24,16,8)",1.144589,1.084286,1.384286,0.097377,20,3072
"selu_(32,16,8)",1.129915,1.088482,1.291429,0.065243,20,4096
"selu_(8,40,16)",1.128754,1.078482,1.321339,0.076931,20,5120
"selu_(8,16,16)",1.127647,1.084196,1.348571,0.081056,20,2048
"selu_(40,8,16)",1.126987,1.078571,1.328661,0.085434,20,5120
"selu_(8,56,16)",1.125777,1.077053,1.35,0.090755,20,7168
"selu_(8,64,16)",1.12458,1.077142,1.335715,0.080308,20,8192
"selu_(16,8,16)",1.120576,1.080089,1.315715,0.062795,20,2048
