kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"sigmoid_(16,16,32)",1.506866,1.437143,1.654375,0.082968,20,8192
"sigmoid_(32,32,8)",1.485411,1.422858,1.644285,0.08186,20,8192
"sigmoid_(16,16,16)",1.468991,1.408661,1.594196,0.070606,20,4096
"sigmoid_(16,24,16)",1.468906,1.414375,1.617143,0.065662,20,6144
"sigmoid_(16,32,16)",1.453946,1.395804,1.698571,0.092357,20,8192
"sigmoid_(8,32,32)",1.450263,1.404196,1.724286,0.086565,20,8192
"sigmoid_(32,16,16)",1.437933,1.402768,1.650089,0.068118,20,8192
"sigmoid_(32,8,32)",1.437071,1.408661,1.682857,0.065916,20,8192
"sigmoid_(24,16,16)",1.426513,1.407143,1.588571,0.040687,20,6144
"sigmoid_(16,16,24)",1.409496,1.397143,1.484196,0.023117,20,6144
"sigmoid_(32,24,8)",1.308013,1.241429,1.508661,0.094383,20,6144
"sigmoid_(40,24,8)",1.290563,1.251339,1.49,0.075839,20,7680
"sigmoid_(24,32,8)",1.288004,1.251428,1.467143,0.072234,20,6144
"sigmoid_(32,8,24)",1.287219,1.251517,1.502947,0.067505,20,6144
"sigmoid_(8,24,40)",1.282134,1.248482,1.452857,0.057999,20,7680
"sigmoid_(24,40,8)",1.281629,1.248571,1.464196,0.067774,20,7680
"sigmoid_(24,8,24)",1.281125,1.244286,1.468482,0.062371,20,4608
"sigmoid_(8,40,24)",1.280406,1.244197,1.475714,0.073151,20,7680
"sigmoid_(24,8,40)",1.279089,1.249911,1.467053,0.065161,20,7680
"sigmoid_(8,24,32)",1.277795,1.244197,1.462857,0.067594,20,6144
"sigmoid_(40,8,24)",1.271295,1.237143,1.461517,0.065758,20,7680
"sigmoid_(24,8,32)",1.26758,1.244375,1.435715,0.050298,20,6144
"sigmoid_(24,24,8)",1.26638,1.245714,1.464375,0.054142,20,4608
"sigmoid_(8,24,24)",1.263027,1.242946,1.427054,0.043497,20,4608
"sigmoid_(8,32,24)",1.260777,1.244286,1.462768,0.047714,20,6144
"sigmoid_(8,24,16)",1.212482,1.132857,1.345715,0.091455,20,3072
"sigmoid_(8,40,16)",1.209795,1.158482,1.335804,0.067884,20,5120
"sigmoid_(32,16,8)",1.193076,1.137143,1.368482,0.074575,20,4096
"sigmoid_(16,56,8)",1.183643,1.128571,1.448571,0.091701,20,7168
"sigmoid_(8,16,40)",1.178,1.131429,1.387143,0.084091,20,5120
"sigmoid_(8,48,16)",1.17704,1.131428,1.397054,0.075865,20,6144
"sigmoid_(16,8,56)",1.176933,1.122946,1.38009,0.082149,20,7168
"sigmoid_(40,16,8)",1.176371,1.127232,1.381429,0.088311,20,5120
"sigmoid_(8,16,64)",1.175205,1.135714,1.339911,0.070779,20,8192
"sigmoid_(8,16,56)",1.174737,1.162947,1.274375,0.026097,20,7168
"sigmoid_(16,48,8)",1.171987,1.132857,1.347143,0.070938,20,6144
"sigmoid_(32,8,16)",1.17038,1.128661,1.350089,0.075803,20,4096
"sigmoid_(56,8,16)",1.168634,1.165625,1.171428,0.001419,20,7168
"sigmoid_(40,8,16)",1.167357,1.127143,1.331429,0.071416,20,5120
"sigmoid_(8,16,32)",1.167067,1.127143,1.331518,0.075186,20,4096
"sigmoid_(64,8,16)",1.166281,1.128571,1.397142,0.077462,20,8192
"sigmoid_(56,16,8)",1.165897,1.131339,1.372768,0.07962,20,7168
"sigmoid_(24,16,8)",1.165125,1.125803,1.384286,0.07437,20,3072
"sigmoid_(16,40,8)",1.164928,1.132946,1.347054,0.062903,20,5120
"sigmoid_(16,16,8)",1.159411,1.128571,1.324285,0.060024,20,2048
"sigmoid_(16,32,8)",1.159286,1.127053,1.342857,0.062291,20,4096
"sigmoid_(16,64,8)",1.159272,1.125714,1.327143,0.061905,20,8192
"sigmoid_(8,64,16)",1.158143,1.128572,1.325714,0.066842,20,8192
"sigmoid_(8,56,16)",1.154924,1.124286,1.345714,0.068742,20,7168
"sigmoid_(16,8,24)",1.153853,1.128571,1.337143,0.05518,20,3072
"sigmoid_(48,16,8)",1.153152,1.125803,1.302857,0.053326,20,6144
"sigmoid_(48,8,16)",1.152085,1.124285,1.365714,0.055928,20,6144
"sigmoid_(8,32,16)",1.151196,1.134196,1.271339,0.040292,20,4096
"sigmoid_(8,16,48)",1.151076,1.125714,1.232857,0.037719,20,6144
"sigmoid_(16,8,16)",1.150005,1.125625,1.354286,0.06045,20,2048
"sigmoid_(64,16,8)",1.149719,1.125804,1.26,0.03506,20,8192
"sigmoid_(16,8,64)",1.146228,1.121429,1.352767,0.057985,20,8192
"sigmoid_(16,8,48)",1.142844,1.121429,1.334375,0.049493,20,6144
"sigmoid_(8,16,24)",1.140652,1.125714,1.321339,0.046467,20,3072
"sigmoid_(16,8,40)",1.140232,1.121428,1.388571,0.059007,20,5120
"sigmoid_(8,16,16)",1.140219,1.121518,1.307232,0.046294,20,2048
"sigmoid_(16,24,8)",1.139705,1.124286,1.371429,0.054674,20,3072
"sigmoid_(24,8,16)",1.138219,1.12991,1.171429,0.010831,20,3072
"sigmoid_(16,8,32)",1.127567,1.124196,1.159911,0.007747,20,4096
"sigmoid_(8,104,8)",1.061509,0.998571,1.267143,0.095193,20,6656
"sigmoid_(56,8,8)",1.054295,1.0,1.218572,0.076327,20,3584
"sigmoid_(40,8,8)",1.048688,1.001429,1.258572,0.079943,20,2560
"sigmoid_(8,128,8)",1.047,1.001339,1.242857,0.080169,20,8192
"sigmoid_(8,8,32)",1.040437,0.995714,1.191428,0.06364,20,2048
"sigmoid_(48,8,8)",1.039933,1.0,1.239911,0.072722,20,3072
"sigmoid_(8,8,112)",1.039268,0.997143,1.242857,0.071068,20,7168
"sigmoid_(80,8,8)",1.036214,0.998482,1.258482,0.070678,20,5120
"sigmoid_(24,8,8)",1.036018,1.001339,1.237232,0.063944,20,1536
"sigmoid_(8,16,8)",1.033147,0.997232,1.231429,0.081823,20,1024
"sigmoid_(8,8,88)",1.03271,0.997143,1.215714,0.071851,20,5632
"sigmoid_(8,40,8)",1.032214,1.0,1.222947,0.0692,20,2560
"sigmoid_(8,24,8)",1.031728,0.997142,1.214375,0.064149,20,1536
"sigmoid_(128,8,8)",1.030862,1.0,1.205714,0.062239,20,8192
"sigmoid_(8,120,8)",1.0305,1.008571,1.181339,0.052456,20,7680
"sigmoid_(8,8,80)",1.029518,0.991518,1.187232,0.064458,20,5120
"sigmoid_(96,8,8)",1.02925,1.001518,1.145803,0.047542,20,6144
"sigmoid_(128,64)",1.029067,0.995714,1.20134,0.062356,20,8192
"sigmoid_(6528,)",1.028647,0.987143,1.152857,0.058988,20,6528
"sigmoid_(6400,)",1.028281,0.988661,1.19,0.069716,20,6400
"sigmoid_(6784,)",1.026871,0.981429,1.207143,0.064831,20,6784
"sigmoid_(8,8,120)",1.026674,0.994286,1.165714,0.0542,20,7680
"sigmoid_(64,128)",1.026357,0.997054,1.197232,0.059159,20,8192
"sigmoid_(64,96)",1.026281,0.998571,1.207143,0.057584,20,6144
"sigmoid_(8,8,96)",1.02613,0.992857,1.277143,0.072709,20,6144
"sigmoid_(120,8,8)",1.025781,0.997143,1.188661,0.05854,20,7680
"sigmoid_(88,8,8)",1.02558,0.995714,1.195714,0.065466,20,5632
"sigmoid_(8,8,8)",1.025089,0.997232,1.202857,0.061203,20,512
"sigmoid_(8,8,16)",1.025076,0.997054,1.210089,0.060098,20,1024
"sigmoid_(112,8,8)",1.024723,1.00991,1.168572,0.039282,20,7168
"sigmoid_(32,160)",1.023246,0.975803,1.204375,0.076295,20,5120
"sigmoid_(160,32)",1.022861,0.971428,1.185803,0.079727,20,5120
"sigmoid_(8,56,8)",1.022192,1.001429,1.204286,0.054417,20,3584
"sigmoid_(72,8,8)",1.021799,1.0,1.204286,0.0513,20,4608
"sigmoid_(8,64,8)",1.021768,1.000089,1.184286,0.052804,20,4096
"sigmoid_(8,8,64)",1.021201,0.997143,1.207232,0.055436,20,4096
"sigmoid_(104,8,8)",1.020853,0.997143,1.251518,0.067466,20,6656
"sigmoid_(8192,)",1.019509,0.980089,1.202857,0.07542,20,8192
"sigmoid_(6656,)",1.019438,0.987232,1.192768,0.05581,20,6656
"sigmoid_(8,8,72)",1.019308,0.994375,1.215803,0.065069,20,4608
"sigmoid_(7936,)",1.019156,0.981339,1.12991,0.048644,20,7936
"sigmoid_(7808,)",1.019147,0.982857,1.218483,0.054682,20,7808
"sigmoid_(8,112,8)",1.019143,1.0,1.144286,0.039571,20,7168
"sigmoid_(8,80,8)",1.018996,1.002946,1.172857,0.040926,20,5120
"sigmoid_(8,8,56)",1.017928,0.997142,1.222857,0.051577,20,3584
"sigmoid_(8,32,8)",1.016906,1.0,1.121429,0.034616,20,2048
"sigmoid_(7168,)",1.016237,0.982947,1.191429,0.062125,20,7168
"sigmoid_(64,8,8)",1.015875,1.00009,1.134375,0.0356,20,4096
"sigmoid_(7040,)",1.015705,0.985714,1.188482,0.065602,20,7040
"sigmoid_(8,8,104)",1.015665,0.997232,1.158572,0.045719,20,6656
"sigmoid_(8,88,8)",1.015643,0.999911,1.245715,0.054699,20,5632
"sigmoid_(8,8,24)",1.014946,0.995803,1.185625,0.049242,20,1536
"sigmoid_(8,48,8)",1.014857,0.998572,1.167143,0.040447,20,3072
"sigmoid_(6912,)",1.014362,0.99,1.2,0.058056,20,6912
"sigmoid_(8,96,8)",1.014085,1.0,1.098661,0.021325,20,6144
"sigmoid_(64,64)",1.014085,0.99866,1.137143,0.039509,20,4096
"sigmoid_(5120,)",1.013223,0.961428,1.177054,0.08134,20,5120
"sigmoid_(8,8,48)",1.013022,0.997053,1.151518,0.036742,20,3072
"sigmoid_(8,72,8)",1.012786,0.997232,1.108572,0.030794,20,4608
"sigmoid_(8,8,128)",1.01163,0.997143,1.178661,0.041791,20,8192
"sigmoid_(8064,)",1.011357,0.980089,1.194286,0.059035,20,8064
"sigmoid_(96,64)",1.011219,0.997143,1.19,0.04327,20,6144
"sigmoid_(32,8,8)",1.008929,1.000089,1.091428,0.02132,20,2048
"sigmoid_(16,8,8)",1.008763,1.005625,1.012768,0.001681,20,1024
"sigmoid_(7680,)",1.008585,0.981428,1.164286,0.054408,20,7680
"sigmoid_(6272,)",1.005781,0.987143,1.169911,0.048719,20,6272
"sigmoid_(32,256)",1.004567,0.974285,1.182767,0.071434,20,8192
"sigmoid_(32,224)",1.003357,0.972857,1.2,0.065636,20,7168
"sigmoid_(32,192)",1.003049,0.977142,1.199911,0.064397,20,6144
"sigmoid_(5888,)",1.001839,0.954197,1.171429,0.064109,20,5888
"sigmoid_(4480,)",1.000156,0.964285,1.148571,0.062851,20,4480
"sigmoid_(8,8,40)",0.999228,0.997142,1.015804,0.004038,20,2560
"sigmoid_(7296,)",0.998272,0.982946,1.165625,0.040556,20,7296
"sigmoid_(5632,)",0.996656,0.961339,1.165803,0.06363,20,5632
"sigmoid_(4352,)",0.996228,0.954196,1.144286,0.063394,20,4352
"sigmoid_(4736,)",0.995759,0.961339,1.147143,0.057821,20,4736
"sigmoid_(7424,)",0.995438,0.985803,1.081429,0.022873,20,7424
"sigmoid_(5376,)",0.991718,0.954285,1.182857,0.075358,20,5376
"sigmoid_(7552,)",0.990947,0.982947,1.062857,0.017113,20,7552
"sigmoid_(224,32)",0.990496,0.968571,1.187143,0.052989,20,7168
"sigmoid_(32,32)",0.989978,0.98,1.13991,0.03531,20,1024
"sigmoid_(4608,)",0.98787,0.964286,1.147232,0.049039,20,4608
"sigmoid_(5504,)",0.985362,0.951428,1.168571,0.063957,20,5504
"sigmoid_(5760,)",0.981196,0.958571,1.152947,0.051665,20,5760
"sigmoid_(6016,)",0.980268,0.961518,1.105803,0.034197,20,6016
"sigmoid_(4992,)",0.980237,0.958572,1.102858,0.03897,20,4992
"sigmoid_(256,32)",0.979004,0.972857,1.064286,0.02009,20,8192
"sigmoid_(192,32)",0.974652,0.971518,0.978661,0.001588,20,6144
"sigmoid_(5248,)",0.974629,0.957232,1.085714,0.039022,20,5248
"sigmoid_(6144,)",0.974366,0.951518,1.148571,0.047001,20,6144
"sigmoid_(4224,)",0.97258,0.962857,1.137143,0.038753,20,4224
"sigmoid_(2432,)",0.9695,0.932858,1.144286,0.071954,20,2432
"sigmoid_(4864,)",0.963723,0.955715,1.014375,0.013898,20,4864
"sigmoid_(2816,)",0.963134,0.921428,1.101428,0.06551,20,2816
"sigmoid_(2688,)",0.95787,0.932857,1.122768,0.052119,20,2688
"sigmoid_(2048,)",0.956643,0.908572,1.120089,0.071634,20,2048
"sigmoid_(4096,)",0.95379,0.924285,1.117142,0.060445,20,4096
"sigmoid_(128,32)",0.951853,0.920089,1.112857,0.056614,20,4096
"sigmoid_(64,32)",0.951643,0.931428,1.094286,0.042262,20,2048
"sigmoid_(2944,)",0.948714,0.934286,1.112858,0.0427,20,2944
"sigmoid_(2176,)",0.947839,0.931428,1.112768,0.044193,20,2176
"sigmoid_(32,64)",0.947794,0.922857,1.097053,0.050004,20,2048
"sigmoid_(1792,)",0.946777,0.911429,1.064286,0.058626,20,1792
"sigmoid_(3840,)",0.946344,0.922857,1.162857,0.056984,20,3840
"sigmoid_(32,128)",0.94471,0.932857,1.11,0.039329,20,4096
"sigmoid_(2304,)",0.942982,0.931428,1.065714,0.032409,20,2304
"sigmoid_(1664,)",0.942188,0.907143,1.082768,0.057488,20,1664
"sigmoid_(3712,)",0.938558,0.925714,1.082857,0.035323,20,3712
"sigmoid_(1920,)",0.938129,0.9,1.09,0.061923,20,1920
"sigmoid_(32,96)",0.937366,0.922857,1.062857,0.037596,20,3072
"sigmoid_(3968,)",0.936705,0.921339,1.058482,0.033372,20,3968
"sigmoid_(1408,)",0.933437,0.91,1.04866,0.045338,20,1408
"sigmoid_(3200,)",0.932004,0.914286,1.081518,0.041378,20,3200
"sigmoid_(3072,)",0.930772,0.922946,1.015714,0.020488,20,3072
"sigmoid_(3584,)",0.930571,0.925803,0.96,0.007107,20,3584
"sigmoid_(3328,)",0.929875,0.917143,1.114375,0.043441,20,3328
"sigmoid_(96,32)",0.92987,0.922857,0.989911,0.016045,20,3072
"sigmoid_(2560,)",0.927861,0.922946,0.967053,0.011653,20,2560
"sigmoid_(3456,)",0.923523,0.921429,0.925715,0.00167,20,3456
"sigmoid_(896,)",0.918853,0.894286,1.08991,0.054361,20,896
"sigmoid_(1152,)",0.912692,0.897054,1.052857,0.037891,20,1152
"sigmoid_(640,)",0.912571,0.895714,1.042768,0.039427,20,640
"sigmoid_(1536,)",0.90792,0.9,1.007232,0.023399,20,1536
"sigmoid_(384,)",0.907438,0.895714,1.054375,0.035779,20,384
"sigmoid_(768,)",0.90729,0.897054,0.981429,0.021959,20,768
"sigmoid_(1280,)",0.906438,0.895714,1.072767,0.039166,20,1280
"sigmoid_(512,)",0.904223,0.894286,1.05009,0.034392,20,512
"sigmoid_(1024,)",0.900304,0.894285,0.975804,0.017995,20,1024
"sigmoid_(256,)",0.898205,0.887142,0.995714,0.029715,20,256
"sigmoid_(128,)",0.879062,0.86991,0.887143,0.007614,20,128
