kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"tanh_(16,24,16)",1.345415,1.287233,1.482768,0.076523,20,6144
"tanh_(16,16,32)",1.33321,1.284375,1.511429,0.073001,20,8192
"tanh_(32,8,32)",1.317844,1.262857,1.507232,0.080868,20,8192
"tanh_(16,16,16)",1.317063,1.288571,1.48,0.066395,20,4096
"tanh_(24,16,16)",1.310473,1.265714,1.498483,0.07594,20,6144
"tanh_(32,32,8)",1.30779,1.264286,1.481518,0.080653,20,8192
"tanh_(32,16,16)",1.306786,1.261429,1.525804,0.085685,20,8192
"tanh_(16,32,16)",1.299415,1.264197,1.534286,0.069949,20,8192
"tanh_(16,16,24)",1.296786,1.257233,1.59,0.091449,20,6144
"tanh_(8,32,32)",1.295228,1.265715,1.475715,0.056266,20,8192
"tanh_(24,32,8)",1.203786,1.16,1.392768,0.073145,20,6144
"tanh_(40,8,24)",1.196661,1.158571,1.412768,0.076122,20,7680
"tanh_(40,24,8)",1.194348,1.152857,1.420089,0.076632,20,7680
"tanh_(24,8,32)",1.192281,1.165625,1.354286,0.057411,20,6144
"tanh_(8,32,24)",1.18717,1.155714,1.397142,0.07333,20,6144
"tanh_(32,8,24)",1.186281,1.157053,1.409911,0.066783,20,6144
"tanh_(8,40,24)",1.185665,1.158482,1.368661,0.052872,20,7680
"tanh_(24,8,40)",1.183991,1.152767,1.337143,0.055827,20,7680
"tanh_(24,24,8)",1.18358,1.16009,1.365625,0.053187,20,4608
"tanh_(8,24,40)",1.182455,1.157143,1.360089,0.056733,20,7680
"tanh_(24,40,8)",1.180732,1.154286,1.361339,0.053378,20,7680
"tanh_(8,24,24)",1.173576,1.155803,1.342857,0.043159,20,4608
"tanh_(8,24,32)",1.173513,1.155625,1.265715,0.035566,20,6144
"tanh_(24,8,24)",1.166009,1.157143,1.228572,0.015049,20,4608
"tanh_(32,24,8)",1.162009,1.147142,1.212767,0.020136,20,6144
"tanh_(8,64,16)",1.137161,1.058482,1.30009,0.096282,20,8192
"tanh_(16,48,8)",1.135143,1.091518,1.27,0.064323,20,6144
"tanh_(48,8,16)",1.124335,1.065714,1.328571,0.077386,20,6144
"tanh_(48,16,8)",1.116496,1.055715,1.297143,0.088994,20,6144
"tanh_(8,48,16)",1.112366,1.057142,1.318571,0.085788,20,6144
"tanh_(16,8,32)",1.108205,1.06,1.29,0.07538,20,4096
"tanh_(16,8,40)",1.104745,1.057232,1.265714,0.073171,20,5120
"tanh_(24,8,16)",1.10404,1.062768,1.297143,0.074897,20,3072
"tanh_(16,8,64)",1.103781,1.058572,1.268661,0.058476,20,8192
"tanh_(24,16,8)",1.10237,1.055804,1.291339,0.077942,20,3072
"tanh_(8,16,24)",1.098081,1.054375,1.284196,0.076088,20,3072
"tanh_(8,16,56)",1.097152,1.058571,1.297143,0.060254,20,7168
"tanh_(32,8,16)",1.096938,1.054286,1.267143,0.077852,20,4096
"tanh_(16,24,8)",1.096647,1.057143,1.268661,0.070096,20,3072
"tanh_(8,16,48)",1.095705,1.057232,1.291428,0.070715,20,6144
"tanh_(16,56,8)",1.094978,1.058572,1.274285,0.073405,20,7168
"tanh_(16,40,8)",1.094732,1.064286,1.322858,0.073227,20,5120
"tanh_(64,16,8)",1.094402,1.06,1.285714,0.070372,20,8192
"tanh_(8,16,40)",1.093464,1.054375,1.318571,0.074875,20,5120
"tanh_(16,32,8)",1.091866,1.058571,1.232768,0.052973,20,4096
"tanh_(8,16,64)",1.09129,1.052857,1.278483,0.070738,20,8192
"tanh_(40,8,16)",1.08929,1.055714,1.282857,0.063851,20,5120
"tanh_(16,8,48)",1.088719,1.06,1.279911,0.053981,20,6144
"tanh_(40,16,8)",1.088634,1.052857,1.29866,0.072153,20,5120
"tanh_(64,8,16)",1.08721,1.055714,1.298571,0.064648,20,8192
"tanh_(16,8,56)",1.086335,1.07,1.249911,0.04047,20,7168
"tanh_(16,64,8)",1.086138,1.058661,1.257143,0.049476,20,8192
"tanh_(16,16,8)",1.082647,1.057053,1.278572,0.06165,20,2048
"tanh_(8,16,32)",1.082585,1.055625,1.247232,0.052848,20,4096
"tanh_(16,8,24)",1.08108,1.06,1.171339,0.034299,20,3072
"tanh_(8,40,16)",1.08008,1.061428,1.237232,0.045552,20,5120
"tanh_(56,16,8)",1.078933,1.065803,1.115714,0.015828,20,7168
"tanh_(8,32,16)",1.077714,1.06,1.149911,0.023133,20,4096
"tanh_(8,24,16)",1.07713,1.052857,1.254286,0.052237,20,3072
"tanh_(16,8,16)",1.075714,1.06009,1.231429,0.037845,20,2048
"tanh_(56,8,16)",1.075634,1.051428,1.26,0.062106,20,7168
"tanh_(32,16,8)",1.073656,1.057143,1.277053,0.0493,20,4096
"tanh_(8,56,16)",1.073214,1.058572,1.225625,0.036392,20,7168
"tanh_(8,16,16)",1.072067,1.062946,1.197143,0.029494,20,2048
"tanh_(8,104,8)",1.043371,0.998482,1.202947,0.070714,20,6656
"tanh_(8,120,8)",1.021009,0.955714,1.182768,0.086582,20,7680
"tanh_(8,80,8)",1.014705,0.962857,1.171428,0.073804,20,5120
"tanh_(128,64)",1.009005,0.951429,1.168572,0.077946,20,8192
"tanh_(64,128)",1.00858,0.951428,1.174285,0.081335,20,8192
"tanh_(8,72,8)",1.002857,0.955803,1.174286,0.080847,20,4608
"tanh_(8,8,16)",0.99808,0.954285,1.208572,0.079987,20,1024
"tanh_(8,32,8)",0.996169,0.952857,1.148572,0.058696,20,2048
"tanh_(8,64,8)",0.995933,0.950089,1.16,0.074342,20,4096
