kernel_shape,tuple_product,binary_avg_duration_us,elu_avg_duration_us,leaky_avg_duration_us,linear_avg_duration_us,parametric_avg_duration_us,relu_avg_duration_us,selu_avg_duration_us,sigmoid_avg_duration_us,tanh_avg_duration_us
"(128,)",128,0.867223,0.87213,0.86229,0.858344,0.857085,0.881794,0.875344,0.879062,0.859929
"(256,)",256,0.863692,0.864902,0.861428,0.860446,0.87658,0.87508,0.87758,0.898205,0.875147
"(384,)",384,0.862076,0.884844,0.879719,0.866728,0.875138,0.867062,0.882491,0.907438,0.89342
"(8,8,8)",512,0.939375,1.006558,0.990009,0.978357,0.959911,0.960268,1.0155,1.025089,0.976786
"(512,)",512,0.875152,0.910139,0.863861,0.872442,0.875732,0.875406,0.896853,0.904223,0.85821
"(640,)",640,0.864764,0.894357,0.882924,0.890148,0.898656,0.88054,0.912714,0.912571,0.890473
"(768,)",768,0.864205,0.897076,0.881746,0.875228,0.869652,0.890504,0.914201,0.90729,0.891987
"(896,)",896,0.881393,0.884589,0.88571,0.880491,0.874424,0.891861,0.8925,0.918853,0.88708
"(8,8,16)",1024,0.956973,1.014183,0.963705,0.971848,0.97396,0.974714,1.002621,1.025076,0.99808
"(16,8,8)",1024,0.962299,0.994375,0.980344,0.970147,0.990705,0.989286,0.98871,1.008763,0.993924
"(32,32)",1024,0.900728,0.939125,0.917456,0.940531,0.928781,0.917371,0.938022,0.989978,0.91829
"(1024,)",1024,0.888232,0.891585,0.882991,0.89079,0.887634,0.89408,0.906576,0.900304,0.887424
"(8,16,8)",1024,0.935223,0.9865,0.987335,0.968705,0.961138,0.979933,0.984504,1.033147,0.971156
"(1152,)",1152,0.892089,0.910451,0.880728,0.874866,0.908294,0.910661,0.900076,0.912692,0.879705
"(1280,)",1280,0.862955,0.905152,0.882639,0.887344,0.892656,0.905933,0.937223,0.906438,0.883228
"(1408,)",1408,0.862937,0.893585,0.890282,0.91579,0.905165,0.893005,0.894634,0.933437,0.891812
"(24,8,8)",1536,0.945147,0.977567,0.993995,0.976344,0.984844,0.985928,1.004482,1.036018,0.978808
"(1536,)",1536,0.888353,0.893161,0.913652,0.899518,0.912067,0.885848,0.887281,0.90792,0.899286
"(8,8,24)",1536,0.951933,1.036089,0.980545,0.977201,0.960174,0.969848,0.999866,1.014946,0.988272
"(8,24,8)",1536,0.984183,0.972844,0.99579,0.979085,0.975268,0.974071,0.98092,1.031728,0.976607
"(1664,)",1664,0.878585,0.897272,0.896206,0.923219,0.890862,0.891937,0.893286,0.942188,0.923143
"(1792,)",1792,0.865438,0.918571,0.893638,0.917058,0.893562,0.880313,0.899839,0.946777,0.91329
"(1920,)",1920,0.875714,0.907353,0.894228,0.892741,0.916567,0.88992,0.901661,0.938129,0.897139
"(8,16,16)",2048,1.013799,1.108786,1.087647,1.075411,1.112942,1.100777,1.127647,1.140219,1.072067
"(32,8,8)",2048,0.951482,1.013134,0.981415,0.97242,0.990562,0.986063,0.971357,1.008929,0.98929
"(8,8,32)",2048,0.95754,0.971598,1.002129,0.975344,0.978272,0.963214,1.001415,1.040437,0.977147
"(2048,)",2048,0.901518,0.900085,0.876647,0.887295,0.901067,0.888585,0.901147,0.956643,0.89308
"(8,32,8)",2048,0.936478,0.969907,0.971362,0.985129,1.017795,1.009639,0.997237,1.016906,0.996169
"(32,64)",2048,0.910058,0.951799,0.951893,0.918067,0.931848,0.911727,0.973348,0.947794,0.922705
"(64,32)",2048,0.910071,0.9225,0.932264,0.920638,0.915866,0.917862,0.909937,0.951643,0.907706
"(16,8,16)",2048,1.047281,1.107071,1.096982,1.087495,1.104848,1.080808,1.120576,1.150005,1.075714
"(16,16,8)",2048,1.020518,1.099134,1.098361,1.067446,1.096625,1.071357,1.111228,1.159411,1.082647
"(2176,)",2176,0.900482,0.921772,0.91062,0.914634,0.916129,0.931737,0.924795,0.947839,0.935134
"(2304,)",2304,0.933768,0.96579,0.953429,0.906938,0.934857,0.934491,0.941232,0.942982,0.907554
"(2432,)",2432,0.920076,0.928228,0.917442,0.926134,0.923451,0.928357,0.919147,0.9695,0.94021
"(40,8,8)",2560,0.983139,1.003826,0.98558,0.998219,0.982612,0.968866,1.019558,1.048688,0.994286
