kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count
"add_(8, 8, 104)",4.387897,1.041339,132.197143,20.726665,40
"add_(3072,)",1.644422,0.952947,25.462767,3.863221,40
"add_(24, 8, 32)",1.605594,1.36,8.789911,1.167296,40
"add_(2048,)",1.602,0.908571,14.457142,2.864724,40
"add_(16, 16, 32)",1.601897,1.502857,1.774285,0.09835,40
"add_(16, 24, 16)",1.600067,1.489911,1.821429,0.099102,40
"add_(16, 16, 16)",1.574926,1.491518,1.824196,0.092273,40
"add_(24, 16, 16)",1.56615,1.485803,1.755804,0.086998,40
"add_(16, 16, 24)",1.563071,1.497142,1.742857,0.070861,40
"add_(32, 16, 16)",1.561038,1.475715,1.802946,0.094818,40
"add_(8, 16, 16)",1.560067,1.157232,15.317143,2.231207,40
"add_(16, 32, 16)",1.557955,1.495715,1.781339,0.075533,40
"add_(8, 32, 32)",1.55381,1.482768,1.757143,0.078259,40
"add_(32, 8, 32)",1.543496,1.485714,1.747053,0.057394,40
"add_(8, 48, 16)",1.52335,1.188661,11.231518,1.576334,40
"add_(32, 32, 8)",1.522824,1.487232,1.601429,0.031855,40
"add_(24, 32, 8)",1.445603,1.332768,1.68,0.107952,40
"add_(8, 24, 32)",1.442205,1.331429,1.622857,0.099057,40
"add_(8, 24, 24)",1.437685,1.35,1.712768,0.095296,40
"add_(8, 40, 24)",1.430304,1.331429,1.655625,0.091723,40
"add_(32, 8, 24)",1.417083,1.337232,1.671339,0.089337,40
"add_(24, 8, 24)",1.409036,1.348661,1.612857,0.072469,40
"add_(40, 24, 8)",1.402395,1.331518,1.644285,0.084154,40
"add_(24, 40, 8)",1.401855,1.341518,1.619911,0.070106,40
"add_(32, 24, 8)",1.399683,1.334286,1.667143,0.086056,40
"add_(24, 8, 40)",1.399219,1.342768,1.591429,0.063759,40
"add_(40, 8, 24)",1.395288,1.331339,1.597143,0.068152,40
"add_(8, 32, 24)",1.394826,1.331518,1.61991,0.076963,40
"add_(8, 24, 40)",1.390674,1.341518,1.564285,0.053926,40
"add_(24, 24, 8)",1.389891,1.342857,1.545714,0.042572,40
"add_(1280,)",1.349424,0.901339,16.445714,2.448704,40
"add_(8, 40, 16)",1.332504,1.242946,1.531428,0.087855,40
"add_(2176,)",1.325368,0.94,13.554286,1.984022,40
"add_(16, 24, 8)",1.299962,1.188571,1.514286,0.111265,40
"add_(24, 16, 8)",1.29483,1.208661,1.484286,0.07744,40
"add_(16, 8, 56)",1.286525,1.207143,1.508571,0.09294,40
"add_(16, 8, 48)",1.283917,1.199911,1.472857,0.090549,40
"add_(16, 8, 32)",1.2755,1.194286,1.531339,0.090951,40
"add_(16, 8, 24)",1.275395,1.191428,1.518571,0.097525,40
"add_(8, 24, 16)",1.274719,1.191428,1.46134,0.080972,40
"add_(8, 64, 16)",1.272074,1.184285,1.502857,0.099232,40
"add_(8, 16, 32)",1.269652,1.185714,1.557143,0.100527,40
"add_(64, 16, 8)",1.267746,1.184197,1.57009,0.10088,40
"add_(8, 32, 16)",1.267705,1.195714,1.497054,0.091482,40
"add_(16, 40, 8)",1.265143,1.179911,1.538571,0.085844,40
"add_(8, 56, 16)",1.264317,1.202857,1.461339,0.074157,40
"add_(1920,)",1.262388,0.90009,12.754375,1.864416,40
"add_(24, 8, 16)",1.261884,1.197053,1.474375,0.069808,40
"add_(16, 48, 8)",1.261029,1.202857,1.445803,0.070444,40
"add_(16, 16, 8)",1.260393,1.202857,1.424286,0.066106,40
"add_(16, 56, 8)",1.257788,1.194285,1.514285,0.085902,40
"add_(56, 8, 16)",1.256822,1.204286,1.47,0.052883,40
"add_(16, 32, 8)",1.256513,1.2,1.431339,0.060944,40
"add_(8, 16, 48)",1.253971,1.197232,1.474286,0.0686,40
"add_(16, 64, 8)",1.252464,1.191518,1.465715,0.063294,40
"add_(8, 16, 24)",1.250991,1.194196,1.474286,0.070065,40
"add_(64, 8, 16)",1.250067,1.175714,1.45009,0.077582,40
