kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"add_(16, 16, 32)",1.57479,1.502857,1.722857,0.098056,20,8192
"add_(16, 24, 16)",1.573246,1.489911,1.739911,0.096679,20,6144
"add_(16, 16, 16)",1.547219,1.491518,1.741428,0.085813,20,4096
"add_(24, 16, 16)",1.53921,1.485803,1.695714,0.079321,20,6144
"add_(16, 32, 16)",1.534005,1.495715,1.755715,0.076208,20,8192
"add_(32, 16, 16)",1.532638,1.475715,1.72134,0.088134,20,8192
"add_(16, 16, 24)",1.528567,1.497142,1.687143,0.065797,20,6144
"add_(8, 32, 32)",1.525871,1.482768,1.705714,0.074953,20,8192
"add_(32, 8, 32)",1.51492,1.485714,1.695804,0.049974,20,8192
"add_(32, 32, 8)",1.495799,1.487232,1.544375,0.016729,20,8192
"add_(24, 32, 8)",1.419996,1.332768,1.628661,0.109886,20,6144
"add_(8, 24, 24)",1.414361,1.35,1.63,0.093415,20,4608
"add_(8, 24, 32)",1.413375,1.331429,1.575803,0.096448,20,6144
"add_(24, 8, 32)",1.402563,1.36,1.557232,0.073326,20,6144
"add_(8, 40, 24)",1.396464,1.331429,1.61,0.089882,20,7680
"add_(32, 8, 24)",1.390161,1.337232,1.644375,0.088029,20,6144
"add_(24, 8, 24)",1.382286,1.348661,1.564286,0.067561,20,4608
"add_(24, 40, 8)",1.376509,1.341518,1.56,0.065909,20,7680
"add_(40, 24, 8)",1.376205,1.331518,1.619911,0.085651,20,7680
"add_(32, 24, 8)",1.37279,1.334286,1.585625,0.079923,20,6144
"add_(24, 8, 40)",1.372451,1.342768,1.531517,0.058155,20,7680
"add_(40, 8, 24)",1.36992,1.331339,1.571429,0.066553,20,7680
"add_(8, 32, 24)",1.367572,1.331518,1.535803,0.068007,20,6144
"add_(8, 24, 40)",1.363772,1.341518,1.539911,0.051001,20,7680
"add_(24, 24, 8)",1.363058,1.342857,1.492858,0.033316,20,4608
"add_(8, 40, 16)",1.304299,1.242946,1.468661,0.08334,20,5120
