kernel_name,event_type,event_name,dur(us)
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.107142
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.105803
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.2
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.108571
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.109911
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.107232
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.108482
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.108572
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.11
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.105803
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.107232
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.11134
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.10866
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.108572
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.112857
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.325625
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.115804
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.342946
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.108572
"add_(64, 64)",main,jit_validation_vector_add(13574957579822171160),1.108661
"add_(64, 64)",sub,add.3,1.00009
"add_(64, 64)",sub,add.3,1.000089
"add_(64, 64)",sub,add.3,1.112857
"add_(64, 64)",sub,add.3,1.0
"add_(64, 64)",sub,add.3,0.997143
"add_(64, 64)",sub,add.3,0.99866
"add_(64, 64)",sub,add.3,0.998482
"add_(64, 64)",sub,add.3,1.000089
"add_(64, 64)",sub,add.3,0.997143
"add_(64, 64)",sub,add.3,1.00009
"add_(64, 64)",sub,add.3,1.007143
"add_(64, 64)",sub,add.3,0.997143
"add_(64, 64)",sub,add.3,1.001429
"add_(64, 64)",sub,add.3,0.997143
"add_(64, 64)",sub,add.3,0.99866
"add_(64, 64)",sub,add.3,1.245714
"add_(64, 64)",sub,add.3,1.012946
"add_(64, 64)",sub,add.3,1.264285
"add_(64, 64)",sub,add.3,1.002857
"add_(64, 64)",sub,add.3,1.000089
"add_(64, 128)",main,jit_validation_vector_add(13574957579822171160),1.162857
"add_(64, 128)",main,jit_validation_vector_add(13574957579822171160),1.191339
"add_(64, 128)",main,jit_validation_vector_add(13574957579822171160),1.161518
"add_(64, 128)",main,jit_validation_vector_add(13574957579822171160),1.161429
"add_(64, 128)",main,jit_validation_vector_add(13574957579822171160),1.162947
"add_(64, 128)",main,jit_validation_vector_add(13574957579822171160),1.368661
"add_(64, 128)",main,jit_validation_vector_add(13574957579822171160),1.161429
