kernel_name,dim_0,dim_1,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"add_(1024, 1024)",1024,1024,19.400335,19.290089,19.527233,0.070224,20,1048576
"add_(960, 960)",960,960,18.255723,18.117143,18.452857,0.076865,20,921600
"add_(960, 1024)",960,1024,18.251777,18.145625,18.38,0.061974,20,983040
"add_(1024, 960)",1024,960,18.250786,18.128571,18.378572,0.062717,20,983040
"add_(1024, 896)",1024,896,17.169286,17.06,17.279911,0.058714,20,917504
"add_(896, 1024)",896,1024,17.104705,16.985804,17.237143,0.073662,20,917504
"add_(896, 960)",896,960,16.112848,15.971429,16.21,0.068243,20,860160
"add_(960, 896)",960,896,16.103696,15.952768,16.232767,0.083038,20,860160
"add_(832, 1024)",832,1024,15.968652,15.802857,16.064285,0.06284,20,851968
"add_(960, 832)",960,832,15.966518,15.791339,16.085803,0.08424,20,798720
"add_(1024, 832)",1024,832,15.956272,15.828572,16.042768,0.057313,20,851968
"add_(832, 960)",832,960,15.924388,15.784286,16.038661,0.072955,20,798720
"add_(896, 896)",896,896,15.108098,14.901429,15.26,0.109886,20,802816
"add_(1024, 768)",1024,768,14.791259,14.610089,14.917143,0.095046,20,786432
"add_(768, 1024)",768,1024,14.775429,14.594286,14.912857,0.076592,20,786432
"add_(832, 896)",832,896,14.119353,13.9,14.324197,0.105046,20,745472
"add_(896, 832)",896,832,14.095201,13.881518,14.257232,0.110268,20,745472
"add_(832, 832)",832,832,14.054585,13.881428,14.198572,0.106645,20,692224
"add_(960, 768)",960,768,13.943576,13.795804,14.127053,0.094802,20,737280
"add_(768, 960)",768,960,13.937692,13.694286,14.192858,0.1277,20,737280
"add_(960, 704)",960,704,13.665625,13.467053,13.795715,0.100051,20,675840
"add_(704, 1024)",704,1024,13.659143,13.534285,13.89134,0.091245,20,720896
"add_(1024, 704)",1024,704,13.654852,13.442946,13.797232,0.088338,20,720896
"add_(704, 960)",704,960,13.643442,13.407232,13.870089,0.106549,20,675840
"add_(896, 768)",896,768,13.102853,12.831428,13.218661,0.104826,20,688128
"add_(768, 896)",768,896,13.079786,12.874285,13.237143,0.113794,20,688128
"add_(1024, 640)",1024,640,12.512969,12.344196,12.714286,0.116193,20,655360
"add_(640, 1024)",640,1024,12.449629,12.278482,12.675804,0.136191,20,655360
"add_(768, 832)",768,832,12.229125,11.99,12.355625,0.126903,20,638976
"add_(832, 768)",832,768,12.187442,12.014286,12.369911,0.098453,20,638976
"add_(704, 896)",704,896,12.12042,11.88134,12.261339,0.104343,20,630784
"add_(704, 832)",704,832,12.119795,11.89,12.221518,0.103975,20,585728
"add_(896, 704)",896,704,12.080036,11.87991,12.195625,0.112956,20,630784
"add_(832, 704)",832,704,12.075348,11.872768,12.257232,0.127499,20,585728
"add_(960, 640)",960,640,11.807201,11.629911,11.965625,0.107448,20,614400
"add_(640, 960)",640,960,11.806781,11.608482,12.027232,0.130481,20,614400
"add_(1024, 576)",1024,576,11.346237,11.134286,11.51009,0.124739,20,589824
"add_(576, 960)",576,960,11.331071,11.145714,11.557053,0.138898,20,552960
