kernel_name,dim_0,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"add_(7488,)",7488,1.081634,1.034286,1.27,0.070723,20,7488
"add_(6944,)",6944,1.081156,0.995803,1.354286,0.112409,20,6944
"add_(7648,)",7648,1.070353,1.007232,1.257143,0.098376,20,7648
"add_(6656,)",6656,1.069554,1.042857,1.26134,0.063376,20,6656
"add_(6496,)",6496,1.065415,0.995714,1.244375,0.075434,20,6496
"add_(7040,)",7040,1.064089,1.035714,1.197053,0.049843,20,7040
"add_(6848,)",6848,1.058022,1.024197,1.187143,0.055204,20,6848
"add_(6400,)",6400,1.05721,0.998482,1.25,0.08539,20,6400
"add_(6464,)",6464,1.055853,1.002947,1.241518,0.086681,20,6464
"add_(7328,)",7328,1.055054,1.022857,1.278482,0.066815,20,7328
"add_(7840,)",7840,1.053862,1.025714,1.16009,0.044857,20,7840
"add_(7136,)",7136,1.05079,1.00134,1.247143,0.076755,20,7136
"add_(6816,)",6816,1.04858,0.997143,1.217232,0.082262,20,6816
"add_(6208,)",6208,1.04729,1.002857,1.282857,0.085405,20,6208
"add_(6304,)",6304,1.045134,0.995714,1.218571,0.077571,20,6304
"add_(7616,)",7616,1.043496,0.995625,1.227143,0.07903,20,7616
"add_(6912,)",6912,1.043442,0.995804,1.211339,0.069201,20,6912
"add_(6528,)",6528,1.04267,0.995715,1.241428,0.076834,20,6528
"add_(6880,)",6880,1.041259,1.002857,1.241429,0.070205,20,6880
"add_(7584,)",7584,1.040982,0.994286,1.248482,0.079121,20,7584
"add_(7104,)",7104,1.040643,1.002858,1.382857,0.089398,20,7104
"add_(7008,)",7008,1.040625,1.001428,1.217054,0.068848,20,7008
"add_(7360,)",7360,1.040464,1.00134,1.217054,0.070882,20,7360
"add_(7936,)",7936,1.03621,0.997143,1.182858,0.065982,20,7936
"add_(7072,)",7072,1.036058,1.002768,1.215715,0.069642,20,7072
"add_(6560,)",6560,1.036022,1.002858,1.248572,0.069834,20,6560
"add_(5248,)",5248,1.035728,1.011339,1.245804,0.063367,20,5248
"add_(6592,)",6592,1.033862,1.005625,1.208482,0.043226,20,6592
"add_(8160,)",8160,1.031933,0.998571,1.208482,0.074309,20,8160
"add_(8128,)",8128,1.031701,0.997232,1.214197,0.073108,20,8128
