kernel_name,event_type,event_name,dur(us)
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.674196
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.675804
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.685625
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.674197
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.682857
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.782858
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.681518
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.827054
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.685804
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.675625
"layer_norm_(1,128,512)",sub,copy-start,0.001429
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.802947
"layer_norm_(1,128,512)",sub,fusion.2,0.364375
"layer_norm_(1,128,512)",sub,copy-done,0.009911
"layer_norm_(1,128,512)",sub,fusion.1,1.60866
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.381428
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.4
"layer_norm_(1,128,512)",sub,copy-start,0.002768
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.802857
"layer_norm_(1,128,512)",sub,fusion.2,0.364375
"layer_norm_(1,128,512)",sub,copy-done,0.009911
"layer_norm_(1,128,512)",sub,fusion.1,1.608661
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.381429
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.392768
"layer_norm_(1,128,512)",sub,copy-start,0.001428
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.811518
"layer_norm_(1,128,512)",sub,fusion.2,0.364375
"layer_norm_(1,128,512)",sub,copy-done,0.009911
"layer_norm_(1,128,512)",sub,fusion.1,1.611428
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.38134
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.391518
"layer_norm_(1,128,512)",sub,copy-start,0.001428
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.804285
"layer_norm_(1,128,512)",sub,fusion.2,0.364286
"layer_norm_(1,128,512)",sub,copy-done,0.01
"layer_norm_(1,128,512)",sub,fusion.1,1.609911
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.38009
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.4
"layer_norm_(1,128,512)",sub,copy-start,0.001428
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.814286
"layer_norm_(1,128,512)",sub,fusion.2,0.365625
"layer_norm_(1,128,512)",sub,copy-done,0.008661
"layer_norm_(1,128,512)",sub,fusion.1,1.61
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.38134
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.388572
"layer_norm_(1,128,512)",sub,copy-start,0.001428
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.912857
"layer_norm_(1,128,512)",sub,fusion.2,0.364285
"layer_norm_(1,128,512)",sub,copy-done,0.01
"layer_norm_(1,128,512)",sub,fusion.1,1.609911
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.380089
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.397143
"layer_norm_(1,128,512)",sub,copy-start,0.002768
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.812768
"layer_norm_(1,128,512)",sub,fusion.2,0.364286
"layer_norm_(1,128,512)",sub,copy-done,0.01
"layer_norm_(1,128,512)",sub,fusion.1,1.609911
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.38009
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.392857
"layer_norm_(1,128,512)",sub,copy-start,0.001428
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.955714
"layer_norm_(1,128,512)",sub,fusion.2,0.364285
"layer_norm_(1,128,512)",sub,copy-done,0.01
"layer_norm_(1,128,512)",sub,fusion.1,1.609911
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.380089
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.397143
"layer_norm_(1,128,512)",sub,copy-start,0.001518
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.811428
"layer_norm_(1,128,512)",sub,fusion.2,0.364285
"layer_norm_(1,128,512)",sub,copy-done,0.01
"layer_norm_(1,128,512)",sub,fusion.1,1.611428
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.381428
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.397142
"layer_norm_(1,128,512)",sub,copy-start,0.001428
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.802857
"layer_norm_(1,128,512)",sub,fusion.2,0.365625
"layer_norm_(1,128,512)",sub,copy-done,0.00866
"layer_norm_(1,128,512)",sub,fusion.1,1.61
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.381339
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.395714
"layer_norm_(1,128,768)",main,jit_kernel_with_params(10403932306695658086),6.282857
"layer_norm_(1,128,768)",main,jit_kernel_with_params(10403932306695658086),6.514285
"layer_norm_(1,128,768)",main,jit_kernel_with_params(10403932306695658086),6.282857
"layer_norm_(1,128,768)",main,jit_kernel_with_params(10403932306695658086),6.28
"layer_norm_(1,128,768)",main,jit_kernel_with_params(10403932306695658086),6.277143
"layer_norm_(1,128,768)",main,jit_kernel_with_params(10403932306695658086),6.271428
"layer_norm_(1,128,768)",main,jit_kernel_with_params(10403932306695658086),6.277054
"layer_norm_(1,128,768)",main,jit_kernel_with_params(10403932306695658086),6.28
"layer_norm_(1,128,768)",main,jit_kernel_with_params(10403932306695658086),6.282857
"layer_norm_(1,128,768)",main,jit_kernel_with_params(10403932306695658086),6.284197
"layer_norm_(1,128,768)",sub,copy-start,0.002768
"layer_norm_(1,128,768)",sub,convert_reduce_fusion,2.028572
"layer_norm_(1,128,768)",sub,fusion.2,0.364375
"layer_norm_(1,128,768)",sub,copy-done,0.009911
"layer_norm_(1,128,768)",sub,fusion.1,1.742857
"layer_norm_(1,128,768)",sub,add_sqrt_fusion,0.381339
"layer_norm_(1,128,768)",sub,divide_convert_fusion,1.644286
"layer_norm_(1,128,768)",sub,copy-start,0.001518
"layer_norm_(1,128,768)",sub,convert_reduce_fusion,2.252946
"layer_norm_(1,128,768)",sub,fusion.2,0.364375
"layer_norm_(1,128,768)",sub,copy-done,0.00991
"layer_norm_(1,128,768)",sub,fusion.1,1.744286
"layer_norm_(1,128,768)",sub,add_sqrt_fusion,0.38009
"layer_norm_(1,128,768)",sub,divide_convert_fusion,1.647232
"layer_norm_(1,128,768)",sub,copy-start,0.002768
"layer_norm_(1,128,768)",sub,convert_reduce_fusion,2.031339
"layer_norm_(1,128,768)",sub,fusion.2,0.365625
"layer_norm_(1,128,768)",sub,copy-done,0.008661
"layer_norm_(1,128,768)",sub,fusion.1,1.742857
"layer_norm_(1,128,768)",sub,add_sqrt_fusion,0.380089
"layer_norm_(1,128,768)",sub,divide_convert_fusion,1.642857
"layer_norm_(1,128,768)",sub,copy-start,0.001428
"layer_norm_(1,128,768)",sub,convert_reduce_fusion,2.022857
"layer_norm_(1,128,768)",sub,fusion.2,0.365625
"layer_norm_(1,128,768)",sub,copy-done,0.008661
"layer_norm_(1,128,768)",sub,fusion.1,1.744375
"layer_norm_(1,128,768)",sub,add_sqrt_fusion,0.381428
"layer_norm_(1,128,768)",sub,divide_convert_fusion,1.642767
"layer_norm_(1,128,768)",sub,copy-start,0.001518
"layer_norm_(1,128,768)",sub,convert_reduce_fusion,2.018572
"layer_norm_(1,128,768)",sub,fusion.2,0.365625
"layer_norm_(1,128,768)",sub,copy-done,0.008661
"layer_norm_(1,128,768)",sub,fusion.1,1.744375
"layer_norm_(1,128,768)",sub,add_sqrt_fusion,0.381429
"layer_norm_(1,128,768)",sub,divide_convert_fusion,1.642768
"layer_norm_(1,128,768)",sub,copy-start,0.002768
"layer_norm_(1,128,768)",sub,convert_reduce_fusion,2.014286
"layer_norm_(1,128,768)",sub,fusion.2,0.364375
"layer_norm_(1,128,768)",sub,copy-done,0.00991
"layer_norm_(1,128,768)",sub,fusion.1,1.744286
"layer_norm_(1,128,768)",sub,add_sqrt_fusion,0.380089
"layer_norm_(1,128,768)",sub,divide_convert_fusion,1.647143
"layer_norm_(1,128,768)",sub,copy-start,0.001429
"layer_norm_(1,128,768)",sub,convert_reduce_fusion,2.020089
"layer_norm_(1,128,768)",sub,fusion.2,0.364375
"layer_norm_(1,128,768)",sub,copy-done,0.009911
"layer_norm_(1,128,768)",sub,fusion.1,1.742857
"layer_norm_(1,128,768)",sub,add_sqrt_fusion,0.381339
"layer_norm_(1,128,768)",sub,divide_convert_fusion,1.640089
"layer_norm_(1,128,768)",sub,copy-start,0.001517
"layer_norm_(1,128,768)",sub,convert_reduce_fusion,2.025714
"layer_norm_(1,128,768)",sub,fusion.2,0.364285
"layer_norm_(1,128,768)",sub,copy-done,0.01
"layer_norm_(1,128,768)",sub,fusion.1,1.742857
"layer_norm_(1,128,768)",sub,add_sqrt_fusion,0.381429
"layer_norm_(1,128,768)",sub,divide_convert_fusion,1.651339
"layer_norm_(1,128,768)",sub,copy-start,0.002768
"layer_norm_(1,128,768)",sub,convert_reduce_fusion,2.028482
"layer_norm_(1,128,768)",sub,fusion.2,0.365625
"layer_norm_(1,128,768)",sub,copy-done,0.00866
"layer_norm_(1,128,768)",sub,fusion.1,1.742857
"layer_norm_(1,128,768)",sub,add_sqrt_fusion,0.38009
"layer_norm_(1,128,768)",sub,divide_convert_fusion,1.644375
"layer_norm_(1,128,768)",sub,copy-start,0.001428
"layer_norm_(1,128,768)",sub,convert_reduce_fusion,2.028571
"layer_norm_(1,128,768)",sub,fusion.2,0.365625
"layer_norm_(1,128,768)",sub,copy-done,0.00866
"layer_norm_(1,128,768)",sub,fusion.1,1.742857
"layer_norm_(1,128,768)",sub,add_sqrt_fusion,0.38009
"layer_norm_(1,128,768)",sub,divide_convert_fusion,1.650089
"layer_norm_(1,128,1024)",main,jit_kernel_with_params(14975603378096278664),7.002857
"layer_norm_(1,128,1024)",main,jit_kernel_with_params(14975603378096278664),6.871518
"layer_norm_(1,128,1024)",main,jit_kernel_with_params(14975603378096278664),6.99
