kernel_name,batch_size,seq_len,hidden_dim,dim_product,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us
"layer_norm_(2,128,512)",2,128,512,131072,7.058553600000001,6.96,7.211429,0.11417958312938443
"layer_norm_(2,128,1024)",2,128,1024,262144,9.5741337,9.424196,9.754285,0.1393061665700966
"layer_norm_(2,128,1536)",2,128,1536,393216,12.984857199999999,12.767143,13.372857,0.26117080412455485
"layer_norm_(2,128,2048)",2,128,2048,524288,15.503258800000001,15.335625,15.678482,0.1035647947355775
"layer_norm_(2,128,2560)",2,128,2560,655360,15.986018000000001,15.757232,16.182857,0.1449231978854085
"layer_norm_(2,128,3072)",2,128,3072,786432,18.2034288,18.004375,18.339911,0.1090248581550715
"layer_norm_(2,128,3584)",2,128,3584,917504,20.6572678,20.535715,20.798482,0.08271430959339003
"layer_norm_(2,128,4096)",2,128,4096,1048576,22.898008800000003,22.794375,23.044196,0.08540786323648542
"layer_norm_(2,256,512)",2,256,512,262144,9.651017900000003,9.598661,9.987143,0.11828264378404978
"layer_norm_(2,256,1024)",2,256,1024,524288,15.6310091,15.422947,15.722857,0.09216378087278451
"layer_norm_(2,256,1536)",2,256,1536,786432,18.6919911,18.488571,18.808571,0.09257305328640002
"layer_norm_(2,256,2048)",2,256,2048,1048576,23.195705299999997,23.097143,23.277054,0.05396432064089555
"layer_norm_(2,256,2560)",2,256,2560,1310720,25.689696299999998,25.54,25.9,0.14414058336687965
"layer_norm_(2,256,3072)",2,256,3072,1572864,29.800705500000003,29.544197,29.982946,0.15784804661463367
"layer_norm_(2,256,3584)",2,256,3584,1835008,33.896705299999994,33.657053,34.085625,0.13453558483749473
"layer_norm_(2,256,4096)",2,256,4096,2097152,37.92057140000001,37.868571,38.014285,0.04411447477290084
"layer_norm_(2,384,512)",2,384,512,393216,13.358169800000002,13.145803,13.697054,0.18651780045394514
"layer_norm_(2,384,1024)",2,384,1024,786432,18.9921607,18.804375,19.295803,0.1591436241492077
"layer_norm_(2,384,1536)",2,384,1536,1179648,26.291151900000006,26.144286,26.432857,0.0864314919503683
"layer_norm_(2,384,2048)",2,384,2048,1572864,29.627428400000003,29.39,29.758482,0.13569844363899086
"layer_norm_(2,384,2560)",2,384,2560,1966080,35.549991000000006,35.305715,35.781428,0.153982541406486
"layer_norm_(2,384,3072)",2,384,3072,2359296,41.5127142,41.404285,41.617232,0.0684245389848479
"layer_norm_(2,384,3584)",2,384,3584,2752512,47.4645891,47.367143,47.580089,0.07951137832823484
"layer_norm_(2,384,4096)",2,384,4096,3145728,53.33040179999999,53.218482,53.472768,0.07903886897217123
"layer_norm_(2,512,512)",2,512,512,524288,15.6345982,15.469911,15.93,0.13444363123447362
"layer_norm_(2,512,1024)",2,512,1024,1048576,23.6956696,23.495625,23.857143,0.12684270329751837
"layer_norm_(2,512,1536)",2,512,1536,1572864,30.4561875,30.285625,30.654375,0.1485015389102833
"layer_norm_(2,512,2048)",2,512,2048,2097152,36.6643394,36.544286,36.837232,0.0984062772548355
"layer_norm_(2,512,2560)",2,512,2560,2621440,44.5669911,44.467143,44.8,0.08979335447007633
"layer_norm_(2,512,3072)",2,512,3072,3145728,53.051125,52.912768,53.335714,0.12535550106353086
"layer_norm_(2,512,3584)",2,512,3584,3670016,60.88901790000001,60.734286,61.094375,0.12787152045223565
"layer_norm_(2,512,4096)",2,512,4096,4194304,68.6165537,68.419911,68.735625,0.12033614444551394
"layer_norm_(2,640,512)",2,640,512,655360,17.7037142,17.451518,17.882768,0.14400124503072861
"layer_norm_(2,640,1024)",2,640,1024,1310720,27.466866,27.282857,27.704196,0.14524104882650216
"layer_norm_(2,640,1536)",2,640,1536,1966080,35.9716964,35.827054,36.142857,0.09615766839496272
"layer_norm_(2,640,2048)",2,640,2048,2621440,45.977874899999996,45.848571,46.158571,0.1053651082605943
"layer_norm_(2,640,2560)",2,640,2560,3276800,56.53245539999999,56.377143,56.74,0.14026570190511206
"layer_norm_(2,640,3072)",2,640,3072,3932160,64.3258482,64.251339,64.398571,0.04807922419599778
"layer_norm_(2,640,3584)",2,640,3584,4587520,73.033268,72.882857,73.307143,0.14832733208534096
"layer_norm_(2,640,4096)",2,640,4096,5242880,82.021241,81.917143,82.238482,0.11074358792775099
