kernel_name        ,total_cycles ,main_avg  ,main_min ,main_max   ,main_stddev ,fusion_avg ,fusion_min ,fusion_max ,fusion_stddev ,copy-start_avg ,copy-start_min ,copy-start_max ,copy-start_stddev ,copy-done_avg ,copy-done_min ,copy-done_max ,copy-done_stddev
matmul_32x32x32    ,       413.0 , 1.230036 ,1.188661 ,  1.594375 ,   0.101972 ,  1.093562 ,  1.02     ,  1.28009  ,     0.059128 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.076719 ,     0.054375 ,     0.481518 ,        0.092869
matmul_32x32x48    ,       413.0 , 1.239277 ,1.188661 ,  1.56     ,   0.101006 ,  1.104719 ,  1.02     ,  1.302947 ,     0.069155 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074719 ,     0.054375 ,     0.447053 ,        0.085422
matmul_32x32x64    ,       413.0 , 1.228384 ,1.188571 ,  1.562947 ,   0.095242 ,  1.094987 ,  1.02134  ,  1.311428 ,     0.057294 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074884 ,     0.054375 ,     0.45     ,        0.08606
matmul_32x32x80    ,       413.0 , 1.246433 ,1.187143 ,  1.795625 ,   0.13818  ,  1.111835 ,  1.074285 ,  1.254197 ,     0.064204 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074996 ,     0.054375 ,     0.448572 ,        0.085706
matmul_32x32x96    ,       413.0 , 1.245152 ,1.184375 ,  1.59     ,   0.105371 ,  1.111576 ,  1.048572 ,  1.3      ,     0.071805 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074857 ,     0.054375 ,     0.448482 ,        0.085718
matmul_32x32x112   ,       413.0 , 1.219214 ,1.185714 ,  1.561518 ,   0.091545 ,  1.085692 ,  1.018482 ,  1.288571 ,     0.048367 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075138 ,     0.054375 ,     0.451339 ,        0.086308
matmul_32x32x128   ,       413.0 , 1.222844 ,1.188571 ,  1.561428 ,   0.089358 ,  1.088018 ,  1.018572 ,  1.227232 ,     0.04628  ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074754 ,     0.054375 ,     0.450089 ,        0.08611
matmul_32x48x32    ,       413.0 , 1.275795 ,1.191428 ,  1.672946 ,   0.121571 ,  1.140835 ,  1.08     ,  1.297054 ,     0.078677 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.07513  ,     0.054375 ,     0.448571 ,        0.085675
matmul_32x48x48    ,       413.0 , 1.189719 ,1.142947 ,  1.534375 ,   0.100382 ,  1.050406 ,  1.001339 ,  1.255625 ,     0.068506 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074875 ,     0.054375 ,     0.45     ,        0.086062
matmul_32x48x64    ,       413.0 , 1.198    ,1.149911 ,  1.542857 ,   0.091673 ,  1.044857 ,  1.002857 ,  1.204197 ,     0.057705 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.07479  ,     0.054375 ,     0.447143 ,        0.085426
matmul_32x48x80    ,       413.0 , 1.184339 ,1.147143 ,  1.542857 ,   0.091736 ,  1.032571 ,  0.998661 ,  1.162946 ,     0.040809 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074808 ,     0.054375 ,     0.450089 ,        0.086098
matmul_32x48x96    ,       413.0 , 1.180152 ,1.13866  ,  1.535804 ,   0.096796 ,  1.041839 ,  1.001429 ,  1.191428 ,     0.048139 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075259 ,     0.054375 ,     0.451429 ,        0.086301
matmul_32x48x112   ,       413.0 , 1.199504 ,1.145804 ,  1.772857 ,   0.142373 ,  1.032549 ,  1.008482 ,  1.238482 ,     0.051557 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.086562 ,     0.054375 ,     0.678572 ,        0.135817
matmul_32x48x128   ,       413.0 , 1.171553 ,1.135714 ,  1.531339 ,   0.094458 ,  1.028299 ,  0.994286 ,  1.177143 ,     0.045528 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074853 ,     0.054375 ,     0.448661 ,        0.08576
matmul_32x64x32    ,       413.0 , 1.254152 ,1.189911 ,  1.562947 ,   0.106765 ,  1.118411 ,  1.021429 ,  1.295714 ,     0.079908 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074875 ,     0.054375 ,     0.448572 ,        0.085734
matmul_32x64x48    ,       413.0 , 1.177152 ,1.142857 ,  1.778572 ,   0.137997 ,  1.029942 ,  1.014375 ,  1.234286 ,     0.046991 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075188 ,     0.054375 ,     0.451339 ,        0.086297
matmul_32x64x64    ,       413.0 , 1.244813 ,1.165714 ,  1.768661 ,   0.14118  ,  1.105647 ,  1.039911 ,  1.275715 ,     0.084843 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075339 ,     0.054375 ,     0.455715 ,        0.087266
matmul_32x64x80    ,       413.0 , 1.187884 ,1.152857 ,  1.577143 ,   0.098852 ,  1.0475   ,  1.035714 ,  1.211518 ,     0.038575 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075406 ,     0.054375 ,     0.457053 ,        0.087558
matmul_32x64x96    ,       413.0 , 1.202567 ,1.155714 ,  1.594286 ,   0.098707 ,  1.061419 ,  1.008482 ,  1.174285 ,     0.047596 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.077219 ,     0.054375 ,     0.494196 ,        0.095663
matmul_32x64x112   ,       413.0 , 1.211429 ,1.158482 ,  1.562768 ,   0.103338 ,  1.070652 ,  1.010089 ,  1.251429 ,     0.06926  ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075299 ,     0.054375 ,     0.457232 ,        0.087624
matmul_32x64x128   ,       413.0 , 1.211433 ,1.151518 ,  1.724375 ,   0.134416 ,  1.077991 ,  1.03     ,  1.29     ,     0.078057 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075205 ,     0.054375 ,     0.454285 ,        0.086969
matmul_32x80x32    ,       413.0 , 1.264915 ,1.187143 ,  1.561428 ,   0.103748 ,  1.131375 ,  1.019911 ,  1.278572 ,     0.082772 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074804 ,     0.054375 ,     0.45     ,        0.086078
matmul_32x80x48    ,       413.0 , 1.195603 ,1.14     ,  1.537143 ,   0.100112 ,  1.056317 ,  1.004286 ,  1.25     ,     0.066024 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075134 ,     0.054375 ,     0.448571 ,        0.085674
matmul_32x80x64    ,       413.0 , 1.221147 ,1.158661 ,  1.78     ,   0.138433 ,  1.062299 ,  1.028572 ,  1.22     ,     0.061289 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.085554 ,     0.054375 ,     0.66     ,        0.131788
matmul_32x80x80    ,       413.0 , 1.253192 ,1.181339 ,  1.69     ,   0.119777 ,  1.096348 ,  1.041428 ,  1.23     ,     0.065598 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075585 ,     0.054375 ,     0.462857 ,        0.088848
matmul_32x80x96    ,       413.0 , 1.212281 ,1.17     ,  1.582946 ,   0.09404  ,  1.071272 ,  1.027054 ,  1.228482 ,     0.054311 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075795 ,     0.054375 ,     0.464286 ,        0.089128
matmul_32x80x112   ,       413.0 , 1.208415 ,1.179911 ,  1.64     ,   0.100451 ,  1.058706 ,  1.032768 ,  1.164375 ,     0.024715 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.078018 ,     0.054375 ,     0.514285 ,        0.100089
matmul_32x80x128   ,       413.0 , 1.218263 ,1.167143 ,  1.802857 ,   0.1438   ,  1.067942 ,  1.027143 ,  1.252947 ,     0.057518 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.08667  ,     0.054375 ,     0.688571 ,        0.138087
