LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 509, 0, 25.147347740667975, 100.0, 20.09419152276295,
1, 1019, 0, 18.842001962708537, 75.0, 15.070643642072215,
2, 1019, 0, 25.122669283611383, 100.0, 20.09419152276295,
3, 1529, 0, 20.928711576193592, 83.33333333333334, 16.74515960230246,
4, 1529, 0, 25.11445389143231, 100.0, 20.09419152276295,
5, 2039, 0, 21.971554683668465, 87.5, 17.582417582417584,
6, 2039, 0, 25.110348209906817, 100.0, 20.09419152276295,
7, 573, 0, 33.50785340314136, 100.0, 27.38944365192582,
8, 1147, 0, 25.108979947689626, 75.0, 20.542082738944366,
9, 1147, 0, 33.47863993025283, 100.0, 27.38944365192582,
10, 1721, 0, 27.890761185357352, 83.33333333333334, 22.82453637660485,
11, 1721, 0, 33.46891342242882, 100.0, 27.38944365192582,
12, 2295, 0, 29.281045751633986, 87.5, 23.965763195435095,
13, 2295, 0, 33.4640522875817, 100.0, 27.38944365192582,
14, 637, 0, 40.1883830455259, 100.0, 33.464052287581694,
15, 1275, 0, 30.11764705882353, 75.0, 25.098039215686274,
16, 1275, 0, 40.15686274509804, 100.0, 33.464052287581694,
17, 1913, 0, 33.4553058024046, 83.33333333333334, 27.886710239651414,
18, 1913, 0, 40.14636696288552, 100.0, 33.464052287581694,
19, 2551, 0, 35.123480987847906, 87.5, 29.28104575163399,
20, 2551, 0, 40.14112112896903, 100.0, 33.464052287581694,
21, 701, 0, 45.6490727532097, 100.0, 38.600723763570564,
22, 1403, 0, 34.21240199572345, 75.0, 28.950542822677928,
23, 1403, 0, 45.616535994297934, 100.0, 38.600723763570564,
24, 2105, 0, 38.00475059382423, 83.33333333333334, 32.16726980297547,
25, 2105, 0, 45.605700712589076, 100.0, 38.60072376357057,
26, 2807, 0, 39.900249376558605, 87.5, 33.775633293124244,
27, 2807, 0, 45.60028500178126, 100.0, 38.600723763570564,
28, 765, 0, 50.19607843137255, 100.0, 43.00111982082866,
29, 1531, 0, 37.622468974526456, 75.0, 32.2508398656215,
30, 1531, 0, 50.163291966035274, 100.0, 43.00111982082866,
31, 2297, 0, 41.79364388332608, 83.33333333333334, 35.83426651735722,
32, 2297, 0, 50.15237265999129, 100.0, 43.00111982082866,
33, 3063, 0, 43.87855044074437, 87.5, 37.62597984322508,
34, 3063, 0, 50.146914789422134, 100.0, 43.00111982082866,
35, 829, 0, 54.041013268998796, 100.0, 46.812957157784744,
36, 1659, 0, 40.50632911392405, 75.0, 35.10971786833856,
37, 1659, 0, 54.0084388185654, 100.0, 46.812957157784744,
38, 2489, 0, 44.99799116110888, 83.33333333333334, 39.010797631487286,
39, 2489, 0, 53.99758939333066, 100.0, 46.812957157784744,
40, 3319, 0, 47.243145525760774, 87.5, 40.96133751306165,
41, 3319, 0, 53.99216631515517, 100.0, 46.812957157784744,
42, 893, 0, 57.33482642777156, 100.0, 50.146914789422134,
43, 1787, 0, 42.9770565193061, 75.0, 37.6101860920666,
44, 1787, 0, 57.302742025741466, 100.0, 50.146914789422134,
45, 2681, 0, 47.74337933606863, 83.33333333333334, 41.78909565785178,
46, 2681, 0, 57.29205520328236, 100.0, 50.146914789422134,
47, 3575, 0, 50.12587412587413, 87.5, 43.87855044074437,
48, 3575, 0, 57.28671328671329, 100.0, 50.146914789422134,
49, 1019, 0, 18.842001962708537, 75.0, 15.070643642072215,
50, 2039, 0, 14.124570868072585, 56.25, 11.302982731554161,
51, 2039, 0, 18.832761157430113, 75.0, 15.070643642072215,
52, 3059, 0, 15.691402419091206, 62.5, 12.558869701726847,
53, 3059, 0, 18.829682902909447, 75.0, 15.070643642072215,
54, 4079, 0, 16.474626133856336, 65.625, 13.18681318681319,
55, 4079, 0, 18.82814415297867, 75.0, 15.070643642072215,
56, 1147, 0, 25.108979947689626, 75.0, 20.542082738944366,
57, 2295, 0, 18.823529411764707, 56.25, 15.406562054208276,
58, 2295, 0, 25.098039215686274, 75.0, 20.542082738944366,
59, 3443, 0, 20.91199535288992, 62.5, 17.118402282453637,
60, 3443, 0, 25.094394423467907, 75.0, 20.542082738944366,
61, 4591, 0, 21.956000871269875, 65.625, 17.974322396576323,
62, 4591, 0, 25.09257242430843, 75.0, 20.54208273894437,
63, 1275, 0, 30.11764705882353, 75.0, 25.098039215686274,
64, 2551, 0, 22.57938063504508, 56.25, 18.823529411764707,
65, 2551, 0, 30.105840846726775, 75.0, 25.098039215686274,
66, 3827, 0, 25.084922916122288, 62.5, 20.915032679738562,
67, 3827, 0, 30.101907499346748, 75.0, 25.09803921568628,
68, 5103, 0, 26.337448559670783, 65.625, 21.960784313725494,
69, 5103, 0, 30.09994121105232, 75.0, 25.098039215686274,
70, 1403, 0, 34.21240199572345, 75.0, 28.950542822677928,
71, 2807, 0, 25.65016031350196, 56.25, 21.71290711700844,
72, 2807, 0, 34.200213751335944, 75.0, 28.95054282267792,
73, 4211, 0, 28.49679411066255, 62.5, 24.1254523522316,
74, 4211, 0, 34.19615293279506, 75.0, 28.95054282267792,
75, 5615, 0, 29.919857524487977, 65.625, 25.331724969843183,
76, 5615, 0, 34.19412288512912, 75.0, 28.950542822677928,
77, 1531, 0, 37.622468974526456, 75.0, 32.2508398656215,
78, 3063, 0, 28.207639569049952, 56.25, 24.188129899216122,
79, 3063, 0, 37.6101860920666, 75.0, 32.2508398656215,
80, 4595, 0, 31.338411316648532, 62.5, 26.875699888017916,
81, 4595, 0, 37.606093579978236, 75.0, 32.2508398656215,
82, 6127, 0, 32.903541700669166, 65.625, 28.219484882418815,
83, 6127, 0, 37.60404765790762, 75.0, 32.2508398656215,
84, 1659, 0, 40.50632911392405, 75.0, 35.10971786833856,
85, 3319, 0, 30.37059355227478, 56.25, 26.332288401253916,
86, 3319, 0, 40.49412473636637, 75.0, 35.10971786833856,
87, 4979, 0, 33.741715203856195, 62.5, 29.258098223615463,
88, 4979, 0, 40.490058244627434, 75.0, 35.10971786833856,
89, 6639, 0, 35.42702214188884, 65.625, 30.721003134796238,
90, 6639, 0, 40.48802530501582, 75.0, 35.10971786833856,
91, 1787, 0, 42.9770565193061, 75.0, 37.6101860920666,
92, 3575, 0, 32.22377622377623, 56.25, 28.207639569049952,
93, 3575, 0, 42.96503496503497, 75.0, 37.610186092066606,
94, 5363, 0, 35.80085772888309, 62.5, 31.341821743388838,
95, 5363, 0, 42.96102927465971, 75.0, 37.610186092066606,
96, 7151, 0, 37.589148370857224, 65.625, 32.90891283055828,
97, 7151, 0, 42.95902670955111, 75.0, 37.610186092066606,
98, 1019, 0, 25.122669283611383, 100.0, 20.09419152276295,
99, 2039, 0, 18.832761157430113, 75.0, 15.070643642072215,
100, 2039, 0, 25.110348209906817, 100.0, 20.09419152276295,
101, 3059, 0, 20.92186989212161, 83.33333333333334, 16.74515960230246,
102, 3059, 0, 25.10624387054593, 100.0, 20.09419152276295,
