kernel_name,total_cycles,main_avg,main_min,main_max,main_stddev,fusion_avg,fusion_min,fusion_max,fusion_stddev,copy-start_avg,copy-start_min,copy-start_max,copy-start_stddev,copy-done_avg,copy-done_min,copy-done_max,copy-done_stddev
matmul_128x128x128,509.0,1.499995,1.422857,2.012857,0.143393,1.352705,1.234286,1.545714,0.087238,0.008571,0.008571,0.008572,0.0,0.086786,0.054375,0.685715,0.137405
matmul_128x128x192,1019.0,2.099638,2.058571,2.47,0.099147,1.986214,1.939911,2.191428,0.052094,0.008571,0.008571,0.008572,0.0,0.077228,0.054375,0.495714,0.096009
matmul_128x128x256,1019.0,1.773263,1.647232,2.372857,0.172737,1.618009,1.504375,1.79,0.111344,0.008571,0.008571,0.008572,0.0,0.090884,0.054375,0.774286,0.156784
matmul_128x128x320,1529.0,2.32371,2.262857,2.710089,0.11141,2.207719,2.128571,2.37,0.069595,0.008572,0.008571,0.008572,0.0,0.079714,0.054375,0.545715,0.10691
matmul_128x128x384,1529.0,1.979201,1.889911,2.378572,0.129057,1.84292,1.717143,2.062857,0.091685,0.008571,0.008571,0.008572,0.0,0.080804,0.054375,0.568572,0.111904
matmul_128x128x448,2039.0,2.467616,2.374286,3.172946,0.178274,2.334085,2.242857,2.537143,0.07747,0.008572,0.008571,0.008572,0.0,0.097013,0.054375,0.894286,0.182908
matmul_128x128x512,2039.0,2.402558,2.354197,2.889911,0.126739,2.282862,2.234286,2.52866,0.060447,0.008571,0.008571,0.008572,0.0,0.083362,0.054375,0.618572,0.122787
matmul_128x192x128,1019.0,1.631853,1.57,1.994375,0.104339,1.487563,1.381428,1.644197,0.071247,0.008571,0.008571,0.008572,0.0,0.078491,0.054375,0.52,0.101291
matmul_128x192x192,2039.0,1.872223,1.758572,2.20009,0.127109,1.741143,1.581339,1.921339,0.108829,0.008571,0.008571,0.008572,0.0,0.08,0.054375,0.55,0.107827
matmul_128x192x256,2039.0,1.809054,1.73,2.318483,0.139229,1.664027,1.611518,1.884286,0.079132,0.008572,0.008571,0.008572,0.0,0.07971,0.054375,0.547143,0.107238
matmul_128x192x320,3059.0,2.024768,1.937232,2.467053,0.127494,1.87542,1.762857,2.054286,0.084919,0.008572,0.008571,0.008572,0.0,0.083946,0.054375,0.631429,0.125603
matmul_128x192x384,3059.0,2.109228,2.014285,2.557143,0.139165,1.969411,1.838572,2.185714,0.099627,0.008571,0.008571,0.008572,0.0,0.08421,0.054375,0.631518,0.125562
matmul_128x192x448,4079.0,2.323495,2.215714,3.097142,0.196854,2.157228,2.044286,2.328571,0.088801,0.008571,0.008571,0.008572,0.0,0.100281,0.054375,0.958571,0.196906
matmul_128x192x512,4079.0,2.470652,2.36866,3.101429,0.174571,2.324156,2.245714,2.594286,0.105708,0.008571,0.008571,0.008572,0.0,0.086058,0.054375,0.66991,0.133946
matmul_128x256x128,1019.0,1.583495,1.554285,1.991518,0.094636,1.435455,1.41,1.505803,0.017254,0.008571,0.008571,0.008572,0.0,0.0785,0.054375,0.522857,0.101944
matmul_128x256x192,2039.0,1.912246,1.865803,2.35,0.110153,1.761464,1.67,1.887053,0.051548,0.008572,0.008571,0.008572,0.0,0.081946,0.054375,0.587232,0.115922
matmul_128x256x256,2039.0,1.901161,1.834375,2.487232,0.146992,1.746723,1.697143,1.927143,0.06024,0.008571,0.008571,0.008572,0.0,0.089326,0.054375,0.734196,0.147944
matmul_128x256x320,3059.0,2.254295,2.192857,2.742946,0.130068,2.102701,2.007143,2.290089,0.069584,0.008571,0.008571,0.008572,0.0,0.084652,0.054375,0.642857,0.128062
matmul_128x256x384,3059.0,2.105344,2.029911,2.61,0.135655,1.950737,1.885715,2.144375,0.069841,0.008572,0.008571,0.008572,0.0,0.08558,0.054375,0.665715,0.133093
matmul_128x256x448,4079.0,2.588482,2.497142,3.08,0.144875,2.435004,2.288482,2.660089,0.104924,0.008571,0.008571,0.008572,0.0,0.087299,0.054375,0.699911,0.140544
matmul_128x256x512,4079.0,2.227576,2.144285,2.817053,0.15473,2.069263,1.998482,2.242857,0.078934,0.008571,0.008571,0.008572,0.0,0.090754,0.054375,0.76,0.153536
matmul_128x320x128,1529.0,1.660442,1.604286,2.257143,0.149822,1.508357,1.474196,1.701518,0.069749,0.008571,0.008571,0.008572,0.0,0.080696,0.054375,0.561429,0.110289
matmul_128x320x192,3059.0,2.140286,2.045714,2.868572,0.190634,2.009228,1.954285,2.234375,0.089436,0.008571,0.008571,0.008572,0.0,0.091424,0.054375,0.781518,0.15832
matmul_128x320x256,3059.0,2.146201,2.055804,2.768572,0.163308,1.99437,1.930089,2.155714,0.086475,0.008572,0.008571,0.008572,0.0,0.084589,0.054375,0.644375,0.128425
matmul_128x320x320,4589.0,2.565924,2.497142,3.09,0.141589,2.439652,2.302946,2.668571,0.080995,0.008571,0.008571,0.008572,0.0,0.088719,0.054375,0.725714,0.146138
matmul_128x320x384,4589.0,2.402442,2.294286,2.938482,0.157312,2.244397,2.102767,2.43,0.107974,0.008571,0.008571,0.008572,0.0,0.089786,0.054375,0.742857,0.149826
matmul_128x320x448,6119.0,2.705567,2.601428,3.305625,0.160823,2.545344,2.411429,2.728661,0.088934,0.008572,0.008571,0.008572,0.0,0.092384,0.054375,0.8,0.162339
matmul_128x320x512,6119.0,2.773714,2.672768,3.361429,0.169797,2.61321,2.468661,2.9,0.11539,0.008571,0.008571,0.008572,0.0,0.092437,0.054375,0.798483,0.161979
matmul_128x384x128,1529.0,1.790634,1.751428,2.245714,0.116153,1.639768,1.625625,1.85866,0.050395,0.008571,0.008571,0.008572,0.0,0.080308,0.054375,0.557143,0.109395
matmul_128x384x192,3059.0,2.197629,2.117143,2.64,0.130488,2.072942,1.955625,2.25009,0.08472,0.008572,0.008571,0.008572,0.0,0.083527,0.054375,0.625715,0.124388
matmul_128x384x256,3059.0,1.84792,1.768661,2.547143,0.176985,1.685871,1.63,1.870089,0.069718,0.008571,0.008571,0.008572,0.0,0.095286,0.054375,0.857142,0.174783
