kernel_name,event_type,event_name,dur(us)
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),2.108572
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.427142
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.424286
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.604375
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.61
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.427142
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.425804
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.425714
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.608661
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.428571
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.422946
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.427142
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.424285
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.428482
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.644286
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.537054
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.424375
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.424375
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.427232
matmul_128x128x128,main,jit_validation_matrix_multiply(15325533450475049593),1.425714
matmul_128x128x128,sub,copy-start,0.008572
matmul_128x128x128,sub,copy-done,0.674197
matmul_128x128x128,sub,fusion,1.342768
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055625
matmul_128x128x128,sub,fusion,1.314375
matmul_128x128x128,sub,copy-start,0.008572
matmul_128x128x128,sub,copy-done,0.055715
matmul_128x128x128,sub,fusion,1.308571
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055625
matmul_128x128x128,sub,fusion,1.481428
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055714
matmul_128x128x128,sub,fusion,1.487053
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055714
matmul_128x128x128,sub,fusion,1.312768
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055714
matmul_128x128x128,sub,fusion,1.311339
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055714
matmul_128x128x128,sub,fusion,1.314197
matmul_128x128x128,sub,copy-start,0.008572
matmul_128x128x128,sub,copy-done,0.055714
matmul_128x128x128,sub,fusion,1.488482
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055625
matmul_128x128x128,sub,fusion,1.312857
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055714
matmul_128x128x128,sub,fusion,1.311339
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055625
matmul_128x128x128,sub,fusion,1.312858
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055625
matmul_128x128x128,sub,fusion,1.314285
matmul_128x128x128,sub,copy-start,0.008572
matmul_128x128x128,sub,copy-done,0.054375
matmul_128x128x128,sub,fusion,1.312857
matmul_128x128x128,sub,copy-start,0.008572
matmul_128x128x128,sub,copy-done,0.055625
matmul_128x128x128,sub,fusion,1.517232
matmul_128x128x128,sub,copy-start,0.008572
matmul_128x128x128,sub,copy-done,0.054375
matmul_128x128x128,sub,fusion,1.422857
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055625
matmul_128x128x128,sub,fusion,1.311517
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055625
matmul_128x128x128,sub,fusion,1.312858
matmul_128x128x128,sub,copy-start,0.008571
matmul_128x128x128,sub,copy-done,0.055625
matmul_128x128x128,sub,fusion,1.314285
matmul_128x128x128,sub,copy-start,0.008572
matmul_128x128x128,sub,copy-done,0.054375
matmul_128x128x128,sub,fusion,1.312946
matmul_128x128x256,main,jit_validation_matrix_multiply(12999998769206770978),2.068571
matmul_128x128x256,main,jit_validation_matrix_multiply(12999998769206770978),1.652947
matmul_128x128x256,main,jit_validation_matrix_multiply(12999998769206770978),1.647232
matmul_128x128x256,main,jit_validation_matrix_multiply(12999998769206770978),1.91
matmul_128x128x256,main,jit_validation_matrix_multiply(12999998769206770978),1.645714
matmul_128x128x256,main,jit_validation_matrix_multiply(12999998769206770978),1.648571
