kernel_name,M,N,K,total_cycles,fusion_avg,fusion_min,fusion_max,fusion_stddev
matmul_128x128x128,128,128,128,509.0,1.355844,1.308571,1.517232,0.073295
matmul_128x128x256,128,128,256,1019.0,1.561357,1.462857,1.788571,0.080183
matmul_128x128x384,128,128,384,1529.0,1.895009,1.832768,2.078482,0.08974
matmul_128x128x512,128,128,512,2039.0,2.312656,2.265714,2.531518,0.078707
matmul_128x128x640,128,128,640,2549.0,2.643938,2.562946,2.814286,0.089091
matmul_128x128x768,128,128,768,3059.0,2.594107,2.541339,2.767143,0.05104
matmul_128x128x896,128,128,896,3569.0,2.951438,2.88,3.14,0.086744
matmul_128x128x1024,128,128,1024,4079.0,2.964701,2.87,3.167143,0.109703
matmul_128x256x128,128,256,128,1019.0,1.491799,1.415715,1.668661,0.06849
matmul_128x256x256,128,256,256,2039.0,1.737076,1.697232,1.83,0.030608
matmul_128x256x384,128,256,384,3059.0,1.950719,1.9,2.142857,0.056827
matmul_128x256x512,128,256,512,4079.0,2.079388,1.994196,2.291518,0.092496
matmul_128x256x640,128,256,640,5099.0,2.373585,2.327054,2.561518,0.072262
matmul_128x256x768,128,256,768,6119.0,2.71821,2.662857,2.910089,0.078922
matmul_128x256x896,128,256,896,7139.0,3.075942,2.982946,3.314286,0.117919
matmul_128x256x1024,128,256,1024,8159.0,3.409437,3.337232,3.604375,0.091637
matmul_128x384x128,128,384,128,1529.0,1.636411,1.607143,1.712768,0.028071
matmul_128x384x256,128,384,256,3059.0,1.665429,1.648571,1.828572,0.038754
matmul_128x384x384,128,384,384,4589.0,2.127237,2.078482,2.324285,0.084944
matmul_128x384x512,128,384,512,6119.0,2.610375,2.534286,2.768571,0.075637
matmul_128x384x640,128,384,640,7649.0,3.090223,3.017054,3.281429,0.083728
matmul_128x384x768,128,384,768,9179.0,3.568344,3.497142,3.797053,0.090086
matmul_128x384x896,128,384,896,10709.0,3.977281,3.924196,4.188482,0.076949
matmul_128x384x1024,128,384,1024,12239.0,4.479625,4.387142,4.711428,0.087711
matmul_128x512x128,128,512,128,2039.0,1.757473,1.632947,1.951518,0.078637
matmul_128x512x256,128,512,256,4079.0,2.221786,2.117233,2.488661,0.088685
matmul_128x512x384,128,512,384,6119.0,2.48237,2.361429,2.684285,0.092817
matmul_128x512x512,128,512,512,8159.0,2.671107,2.58991,2.908482,0.077994
matmul_128x512x640,128,512,640,10199.0,3.408567,3.287143,3.667232,0.093153
matmul_128x512x768,128,512,768,12239.0,3.646004,3.535625,3.827053,0.107759
matmul_128x512x896,128,512,896,14279.0,4.309643,4.162768,4.525714,0.12712
matmul_128x512x1024,128,512,1024,16319.0,4.517857,4.324375,4.728482,0.120787
matmul_128x640x128,128,640,128,2549.0,1.898085,1.842947,2.095715,0.065267
matmul_128x640x256,128,640,256,5099.0,2.389116,2.344286,2.547143,0.062315
matmul_128x640x384,128,640,384,7649.0,3.056514,3.042947,3.167232,0.027735
matmul_128x640x512,128,640,512,10199.0,3.821281,3.751429,4.017054,0.078557
matmul_128x640x640,128,640,640,12749.0,4.53604,4.464197,4.712857,0.093856
matmul_128x640x768,128,640,768,15299.0,5.231576,5.157143,5.394286,0.082046
matmul_128x640x896,128,640,896,17849.0,5.910871,5.872947,6.105804,0.0681
matmul_128x640x1024,128,640,1024,20399.0,6.660714,6.585714,6.870089,0.100986
matmul_128x768x128,128,768,128,3059.0,1.816991,1.694197,2.001339,0.071933
matmul_128x768x256,128,768,256,6119.0,2.492013,2.359911,2.645804,0.068443
matmul_128x768x384,128,768,384,9179.0,2.929219,2.822857,3.092857,0.080295
matmul_128x768x512,128,768,512,12239.0,3.362933,3.26,3.531429,0.084888
matmul_128x768x640,128,768,640,15299.0,4.062505,4.008572,4.222768,0.070984
matmul_128x768x768,128,768,768,18359.0,4.742933,4.628572,4.960089,0.096668
matmul_128x768x896,128,768,896,21419.0,5.230839,5.185625,5.429911,0.061321
matmul_128x768x1024,128,768,1024,24479.0,5.694357,5.572858,5.875715,0.116538
matmul_128x896x128,128,896,128,3569.0,2.130442,2.091429,2.258572,0.05324
matmul_128x896x256,128,896,256,7139.0,2.718018,2.585804,2.90009,0.104387
matmul_128x896x384,128,896,384,10709.0,3.409143,3.272946,3.57,0.103731
matmul_128x896x512,128,896,512,14279.0,4.098156,4.008572,4.287232,0.105458
matmul_128x896x640,128,896,640,17849.0,5.901853,5.867143,6.105714,0.047365
matmul_128x896x768,128,896,768,21419.0,6.715286,6.552768,6.967232,0.116859
matmul_128x896x896,128,896,896,24989.0,7.457152,7.345804,7.724286,0.08632
matmul_128x896x1024,128,896,1024,28559.0,8.772009,8.725714,8.965715,0.06235
matmul_128x1024x128,128,1024,128,4079.0,2.37612,2.277143,2.564196,0.047802
matmul_128x1024x256,128,1024,256,8159.0,2.686634,2.627053,2.77,0.029982
