kernel_name,event_type,event_name,dur(us)
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(275389975046311401),46.581429
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(275389975046311401),44.217143
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(275389975046311401),44.231518
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(275389975046311401),43.895714
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(275389975046311401),44.074285
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(275389975046311401),43.915625
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(275389975046311401),43.888482
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(275389975046311401),43.902857
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(275389975046311401),43.901429
matmul_1024x1024x1024,main,jit_validation_matrix_multiply(275389975046311401),43.905803
matmul_1024x1024x1024,sub,copy-start,0.001518
matmul_1024x1024x1024,sub,copy-done,2.737232
matmul_1024x1024x1024,sub,fusion,43.738661
matmul_1024x1024x1024,sub,copy-start,0.001429
matmul_1024x1024x1024,sub,copy-done,0.032767
matmul_1024x1024x1024,sub,fusion,44.044286
matmul_1024x1024x1024,sub,copy-start,0.001518
matmul_1024x1024x1024,sub,copy-done,0.031518
matmul_1024x1024x1024,sub,fusion,44.07009
matmul_1024x1024x1024,sub,copy-start,0.001518
matmul_1024x1024x1024,sub,copy-done,0.031518
matmul_1024x1024x1024,sub,fusion,43.764375
matmul_1024x1024x1024,sub,copy-start,0.001518
matmul_1024x1024x1024,sub,copy-done,0.031517
matmul_1024x1024x1024,sub,fusion,43.948571
matmul_1024x1024x1024,sub,copy-start,0.001428
matmul_1024x1024x1024,sub,copy-done,0.032768
matmul_1024x1024x1024,sub,fusion,43.742947
matmul_1024x1024x1024,sub,copy-start,0.001429
matmul_1024x1024x1024,sub,copy-done,0.032768
matmul_1024x1024x1024,sub,fusion,43.737232
matmul_1024x1024x1024,sub,copy-start,0.001429
matmul_1024x1024x1024,sub,copy-done,0.032768
matmul_1024x1024x1024,sub,fusion,43.74
matmul_1024x1024x1024,sub,copy-start,0.002768
matmul_1024x1024x1024,sub,copy-done,0.032857
matmul_1024x1024x1024,sub,fusion,43.747053
matmul_1024x1024x1024,sub,copy-start,0.001518
matmul_1024x1024x1024,sub,copy-done,0.031517
matmul_1024x1024x1024,sub,fusion,43.772946
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(3701173720103484008),49.298571
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(3701173720103484008),45.611429
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(3701173720103484008),45.62
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(3701173720103484008),45.707053
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(3701173720103484008),45.615714
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(3701173720103484008),45.972857
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(3701173720103484008),45.618482
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(3701173720103484008),45.615714
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(3701173720103484008),45.874285
matmul_1024x1024x1536,main,jit_validation_matrix_multiply(3701173720103484008),45.837054
matmul_1024x1024x1536,sub,copy-start,0.002768
matmul_1024x1024x1536,sub,copy-done,3.735803
matmul_1024x1024x1536,sub,fusion,45.452946
matmul_1024x1024x1536,sub,copy-start,0.001429
matmul_1024x1024x1536,sub,copy-done,0.032768
matmul_1024x1024x1536,sub,fusion,45.454375
matmul_1024x1024x1536,sub,copy-start,0.002767
matmul_1024x1024x1536,sub,copy-done,0.032857
matmul_1024x1024x1536,sub,fusion,45.465715
matmul_1024x1024x1536,sub,copy-start,0.001429
matmul_1024x1024x1536,sub,copy-done,0.032768
matmul_1024x1024x1536,sub,fusion,45.562857
matmul_1024x1024x1536,sub,copy-start,0.001518
matmul_1024x1024x1536,sub,copy-done,0.031518
matmul_1024x1024x1536,sub,fusion,45.462857
matmul_1024x1024x1536,sub,copy-start,0.001518
matmul_1024x1024x1536,sub,copy-done,0.031518
matmul_1024x1024x1536,sub,fusion,45.827232
