kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev
matmul_1024x1024x1024,1024,1024,1024,43.8306161,43.737232,44.07009,0.13527171341369845
matmul_1024x1024x1536,1024,1024,1536,45.5560357,45.452946,45.827232,0.13833518868800035
matmul_1024x1024x2048,1024,1024,2048,52.689277,52.555625,52.981429,0.17099815085484932
matmul_1024x1024x2560,1024,1024,2560,47.0768659,47.025625,47.174375,0.04910858263627937
matmul_1024x1024x3072,1024,1024,3072,54.8687412,54.774375,55.014286,0.06946869788904893
matmul_1024x1024x3584,1024,1024,3584,62.737393000000004,62.622857,62.868571,0.11370423802323516
matmul_1024x1024x4096,1024,1024,4096,70.5135803,70.405625,70.765714,0.1348797990401898
matmul_1024x1536x1024,1024,1536,1024,43.3853125,43.255804,43.670089,0.14031352238568376
matmul_1024x1536x1536,1024,1536,1536,61.0888394,60.904286,61.235714,0.13027770478072384
matmul_1024x1536x2048,1024,1536,2048,78.6581608,78.455803,78.827233,0.15447142274277897
matmul_1024x1536x2560,1024,1536,2560,96.3966875,96.165804,96.674285,0.15072898693958603
matmul_1024x1536x3072,1024,1536,3072,85.9608571,85.711428,86.18009,0.164077596489149
matmul_1024x1536x3584,1024,1536,3584,98.5127143,98.26,98.722857,0.15648488490092421
matmul_1024x1536x4096,1024,1536,4096,110.8731428,110.672768,111.061518,0.1367744064897467
matmul_1024x2048x1024,1024,2048,1024,54.8939731,54.727053,55.117143,0.1204148852855093
matmul_1024x2048x1536,1024,2048,1536,77.1515805,76.907054,77.414286,0.16692579275584327
matmul_1024x2048x2048,1024,2048,2048,99.3771429,99.162857,99.564286,0.12675395079483479
matmul_1024x2048x2560,1024,2048,2560,90.06243740000001,89.782858,90.27866,0.14163152299635215
matmul_1024x2048x3072,1024,2048,3072,105.4087142,105.332857,105.509911,0.054716371666988305
matmul_1024x2048x3584,1024,2048,3584,120.8707231,120.691518,121.014285,0.10108201237548621
matmul_1024x2048x4096,1024,2048,4096,135.6965446,135.49134,136.042768,0.1957166509041985
matmul_1024x2560x1024,1024,2560,1024,66.0631608,65.915715,66.248571,0.1049667853432156
matmul_1024x2560x1536,1024,2560,1536,77.2926964,77.072946,77.377053,0.09442304836238066
matmul_1024x2560x2048,1024,2560,2048,98.672741,98.582857,98.788661,0.06971755104706549
matmul_1024x2560x2560,1024,2560,2560,125.6038485,125.358572,125.747143,0.11186045128666192
matmul_1024x2560x3072,1024,2560,3072,124.6781339,124.357053,124.807053,0.12117648373843651
matmul_1024x2560x3584,1024,2560,3584,144.1045981,143.872857,144.365625,0.14292959191966176
matmul_1024x2560x4096,1024,2560,4096,160.5688841,160.34,160.678572,0.09248777150454926
matmul_1024x3072x1024,1024,3072,1024,81.1705981,80.932946,81.45009,0.1939956578686189
matmul_1024x3072x1536,1024,3072,1536,88.24342,88.057054,88.352768,0.08153941592056402
matmul_1024x3072x2048,1024,3072,2048,125.9971426,125.864197,126.094285,0.07934443957161229
matmul_1024x3072x2560,1024,3072,2560,132.401143,132.177232,132.561518,0.1439291534416972
matmul_1024x3072x3072,1024,3072,3072,155.6141519,155.408571,155.867143,0.16599127813529516
matmul_1024x3072x3584,1024,3072,3584,179.1157057,178.871429,179.455625,0.1853252122441624
matmul_1024x3072x4096,1024,3072,4096,201.3791605,201.094286,201.577142,0.18086731224129218
matmul_1024x3584x1024,1024,3584,1024,72.6189911,72.362946,72.797143,0.14801019615512306
matmul_1024x3584x1536,1024,3584,1536,99.841259,99.597054,99.937232,0.0926798096650793
matmul_1024x3584x2048,1024,3584,2048,146.0391427,145.902857,146.168571,0.09622314004327565
matmul_1024x3584x2560,1024,3584,2560,158.8651517,158.63,159.114196,0.15951278345431666
matmul_1024x3584x3072,1024,3584,3072,186.7120177,186.51,186.845715,0.10899361101056823
matmul_1024x3584x3584,1024,3584,3584,215.3570088,215.15866,215.56991,0.155315602417784
matmul_1024x3584x4096,1024,3584,4096,241.8995625,241.747142,242.087143,0.11190149724670814
matmul_1024x4096x1024,1024,4096,1024,80.8985805,80.671518,81.04,0.1559157451269754
matmul_1024x4096x1536,1024,4096,1536,129.4352768,129.245714,129.587232,0.11290943960124386
matmul_1024x4096x2048,1024,4096,2048,166.1198304,165.988571,166.234286,0.07499479432037352
matmul_1024x4096x2560,1024,4096,2560,174.9139732,174.66991,175.072857,0.1439975594328694
matmul_1024x4096x3072,1024,4096,3072,206.0386876,205.817054,206.185625,0.12739971184966226
matmul_1024x4096x3584,1024,4096,3584,237.3896962,237.097143,237.547053,0.17037778993415026
matmul_1024x4096x4096,1024,4096,4096,266.8681341,266.662858,267.014375,0.12060272732262299
