kernel_name,event_type,event_name,dur(us)
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.6925
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.14625
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.250156
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.241328
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.24125
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.14875
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.226328
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.148672
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.283672
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.14875
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.226172
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.151172
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.148828
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.202578
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.146172
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.141328
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.14875
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.1425
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.146328
matmul_32x32x32,main,jit_validation_matrix_multiply(276294476316694348),1.141094
matmul_32x32x32,sub,copy-start,0.0125
matmul_32x32x32,sub,copy-done,0.545
matmul_32x32x32,sub,fusion,1.129922
matmul_32x32x32,sub,copy-start,0.011328
matmul_32x32x32,sub,copy-done,0.0025
matmul_32x32x32,sub,fusion,1.125
matmul_32x32x32,sub,copy-start,0.011328
matmul_32x32x32,sub,copy-done,0.003594
matmul_32x32x32,sub,fusion,1.23
matmul_32x32x32,sub,copy-start,0.011328
matmul_32x32x32,sub,copy-done,0.002578
matmul_32x32x32,sub,fusion,1.22125
matmul_32x32x32,sub,copy-start,0.012422
matmul_32x32x32,sub,copy-done,0.003672
matmul_32x32x32,sub,fusion,1.221172
matmul_32x32x32,sub,copy-start,0.011328
matmul_32x32x32,sub,copy-done,0.003594
matmul_32x32x32,sub,fusion,1.127578
matmul_32x32x32,sub,copy-start,0.011328
matmul_32x32x32,sub,copy-done,0.0025
matmul_32x32x32,sub,fusion,1.20625
matmul_32x32x32,sub,copy-start,0.0125
matmul_32x32x32,sub,copy-done,0.003672
matmul_32x32x32,sub,fusion,1.127578
matmul_32x32x32,sub,copy-start,0.0125
matmul_32x32x32,sub,copy-done,0.0025
matmul_32x32x32,sub,fusion,1.262578
matmul_32x32x32,sub,copy-start,0.0125
matmul_32x32x32,sub,copy-done,0.0025
matmul_32x32x32,sub,fusion,1.127578
matmul_32x32x32,sub,copy-start,0.0125
matmul_32x32x32,sub,copy-done,0.0025
matmul_32x32x32,sub,fusion,1.206094
matmul_32x32x32,sub,copy-start,0.011406
matmul_32x32x32,sub,copy-done,0.0025
matmul_32x32x32,sub,fusion,1.12875
matmul_32x32x32,sub,copy-start,0.0125
matmul_32x32x32,sub,copy-done,0.003672
matmul_32x32x32,sub,fusion,1.128672
matmul_32x32x32,sub,copy-start,0.011406
matmul_32x32x32,sub,copy-done,0.002578
matmul_32x32x32,sub,fusion,1.1825
matmul_32x32x32,sub,copy-start,0.0125
matmul_32x32x32,sub,copy-done,0.0025
matmul_32x32x32,sub,fusion,1.126094
matmul_32x32x32,sub,copy-start,0.0125
matmul_32x32x32,sub,copy-done,0.0025
matmul_32x32x32,sub,fusion,1.12125
matmul_32x32x32,sub,copy-start,0.012422
matmul_32x32x32,sub,copy-done,0.002578
matmul_32x32x32,sub,fusion,1.128594
matmul_32x32x32,sub,copy-start,0.011328
matmul_32x32x32,sub,copy-done,0.003594
matmul_32x32x32,sub,fusion,1.121328
matmul_32x32x32,sub,copy-start,0.012344
matmul_32x32x32,sub,copy-done,0.0025
matmul_32x32x32,sub,fusion,1.12625
matmul_32x32x32,sub,copy-start,0.0125
matmul_32x32x32,sub,copy-done,0.0025
matmul_32x32x32,sub,fusion,1.12
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.737422
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.26875
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.14875
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.225156
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.148672
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.151094
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.181172
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.15
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.268672
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.226094
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.14875
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.15
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.159922
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.150078
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.286406
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.15125
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.265
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.269844
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.16125
matmul_32x32x48,main,jit_validation_matrix_multiply(17207247054740430948),1.318672
matmul_32x32x48,sub,copy-start,0.011328
matmul_32x32x48,sub,copy-done,0.5925
matmul_32x32x48,sub,fusion,1.127422
matmul_32x32x48,sub,copy-start,0.0125
matmul_32x32x48,sub,copy-done,0.003672
matmul_32x32x48,sub,fusion,1.247422
matmul_32x32x48,sub,copy-start,0.012344
matmul_32x32x48,sub,copy-done,0.003672
matmul_32x32x48,sub,fusion,1.128672
matmul_32x32x48,sub,copy-start,0.0125
matmul_32x32x48,sub,copy-done,0.0025
matmul_32x32x48,sub,fusion,1.205078
matmul_32x32x48,sub,copy-start,0.011328
matmul_32x32x48,sub,copy-done,0.003594
matmul_32x32x48,sub,fusion,1.127578
matmul_32x32x48,sub,copy-start,0.011328
matmul_32x32x48,sub,copy-done,0.003672
matmul_32x32x48,sub,fusion,1.129922
matmul_32x32x48,sub,copy-start,0.0125
matmul_32x32x48,sub,copy-done,0.0025
matmul_32x32x48,sub,fusion,1.161094
matmul_32x32x48,sub,copy-start,0.011406
matmul_32x32x48,sub,copy-done,0.002578
matmul_32x32x48,sub,fusion,1.128906
matmul_32x32x48,sub,copy-start,0.0125
matmul_32x32x48,sub,copy-done,0.0025
matmul_32x32x48,sub,fusion,1.248594
matmul_32x32x48,sub,copy-start,0.0125
matmul_32x32x48,sub,copy-done,0.003672
matmul_32x32x48,sub,fusion,1.205
matmul_32x32x48,sub,copy-start,0.011328
matmul_32x32x48,sub,copy-done,0.002656
matmul_32x32x48,sub,fusion,1.127656
matmul_32x32x48,sub,copy-start,0.0125
matmul_32x32x48,sub,copy-done,0.003672
matmul_32x32x48,sub,fusion,1.128672
matmul_32x32x48,sub,copy-start,0.011328
matmul_32x32x48,sub,copy-done,0.003594
matmul_32x32x48,sub,fusion,1.138828
matmul_32x32x48,sub,copy-start,0.011328
matmul_32x32x48,sub,copy-done,0.0025
matmul_32x32x48,sub,fusion,1.13
matmul_32x32x48,sub,copy-start,0.011328
matmul_32x32x48,sub,copy-done,0.002578
matmul_32x32x48,sub,fusion,1.266328
matmul_32x32x48,sub,copy-start,0.012344
matmul_32x32x48,sub,copy-done,0.0025
matmul_32x32x48,sub,fusion,1.131172
matmul_32x32x48,sub,copy-start,0.011328
matmul_32x32x48,sub,copy-done,0.002578
matmul_32x32x48,sub,fusion,1.243828
