kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count,scale_sim_cycles
matmul_1024x1024x1024,1024,1024,1024,6.891625,6.699922,7.040078,0.0974219000311748,20,89984
matmul_1024x1024x1536,1024,1024,1536,8.7119062,8.62875,9.005,0.1168749706403291,10,134976
matmul_1024x1024x2048,1024,1024,2048,10.6296406,10.501328,10.752422,0.0933504275967112,10,179968
matmul_1024x1024x2560,1024,1024,2560,12.6240938,12.50875,12.742422,0.0689646883779421,10,224960
matmul_1024x1024x3072,1024,1024,3072,13.0880468,12.880078,13.41375,0.1593106243487861,10,269952
matmul_1024x1024x3584,1024,1024,3584,17.0736406,16.864922,17.225,0.1173859234227951,10,314944
matmul_1024x1024x4096,1024,1024,4096,16.0973202,15.695078,16.290234,0.2201281858421991,10,359936
matmul_1024x1536x1024,1024,1536,1024,8.495375,8.283672,8.62,0.1164872396111361,10,122752
matmul_1024x1536x1536,1024,1536,1536,11.134625,10.939844,11.723828,0.2308423015331267,10,184128
matmul_1024x1536x2048,1024,1536,2048,13.7895,13.642656,13.91875,0.0814224634633735,10,245504
matmul_1024x1536x2560,1024,1536,2560,16.5817656,16.398828,16.919922,0.1473031757364528,10,306880
matmul_1024x1536x3072,1024,1536,3072,16.5008046,16.300234,17.227578,0.2842661379748842,10,368256
matmul_1024x1536x3584,1024,1536,3584,18.4201172,18.22625,18.611172,0.1224060299720198,10,429632
matmul_1024x1536x4096,1024,1536,4096,21.025664,20.795078,21.32,0.1521119008040537,10,491008
matmul_1024x2048x1024,1024,2048,1024,10.162039,10.027422,10.2525,0.0822834635648148,10,155520
matmul_1024x2048x1536,1024,2048,1536,13.393,13.247422,13.47125,0.0685806605457315,10,233280
matmul_1024x2048x2048,1024,2048,2048,16.9598828,16.635,17.126328,0.1525471064096448,10,311040
matmul_1024x2048x2560,1024,2048,2560,20.1787734,19.935078,20.401328,0.1325197694335118,10,388800
matmul_1024x2048x3072,1024,2048,3072,23.4119844,23.23,23.686172,0.1385556442213737,10,466560
matmul_1024x2048x3584,1024,2048,3584,27.9516172,27.724922,28.305,0.1719333251136096,10,544320
matmul_1024x2048x4096,1024,2048,4096,27.0910312,26.79,27.343906,0.1902398984842265,10,622080
matmul_1024x2560x1024,1024,2560,1024,11.7618046,11.554922,11.963906,0.142544508688963,10,188288
matmul_1024x2560x1536,1024,2560,1536,15.7196954,15.5775,15.882344,0.0931606531251853,10,282432
matmul_1024x2560x2048,1024,2560,2048,19.92125,19.747344,20.274922,0.1486518889067866,10,376576
matmul_1024x2560x2560,1024,2560,2560,23.77175,23.552344,23.944922,0.1045767092234205,10,470720
matmul_1024x2560x3072,1024,2560,3072,27.6411954,27.538594,27.73375,0.063227616111598,10,564864
matmul_1024x2560x3584,1024,2560,3584,33.4480234,33.165,33.69875,0.1645234497356938,10,659008
matmul_1024x2560x4096,1024,2560,4096,32.1320234,31.820078,32.545,0.2282064479837898,10,753152
matmul_1024x3072x1024,1024,3072,1024,13.346211,13.107344,13.46375,0.1111242592186283,10,221056
matmul_1024x3072x1536,1024,3072,1536,17.4514532,17.232344,17.604844,0.1388756653259782,10,331584
matmul_1024x3072x2048,1024,3072,2048,22.516336,22.443828,22.640078,0.0649153402791326,10,442112
matmul_1024x3072x2560,1024,3072,2560,26.7627266,26.542578,27.009844,0.1327090028564589,10,552640
matmul_1024x3072x3072,1024,3072,3072,31.7635,31.357344,32.148828,0.2712875909452711,10,663168
matmul_1024x3072x3584,1024,3072,3584,38.4903516,38.17375,38.915,0.2205606786931888,10,773696
matmul_1024x3072x4096,1024,3072,4096,39.7573358,39.4475,39.97875,0.1419619425321837,10,884224
matmul_1024x3584x1024,1024,3584,1024,15.0316094,14.83375,15.275078,0.13519879498822,10,253824
matmul_1024x3584x1536,1024,3584,1536,21.7051328,21.4825,21.879922,0.1399027068920874,10,380736
matmul_1024x3584x2048,1024,3584,2048,26.2956562,26.14625,26.406328,0.0757846454366291,10,507648
matmul_1024x3584x2560,1024,3584,2560,30.9911094,30.886094,31.221094,0.1080720006047411,10,634560
matmul_1024x3584x3072,1024,3584,3072,35.9771094,35.753828,36.357578,0.2151187370217255,10,761472
matmul_1024x3584x3584,1024,3584,3584,43.9960078,43.85125,44.127422,0.0946716932301664,10,888384
matmul_1024x3584x4096,1024,3584,4096,44.8343358,44.566328,45.251328,0.2140994559429487,10,1015296
matmul_1024x4096x1024,1024,4096,1024,16.4986484,16.396406,16.661328,0.0920090448635962,10,286592
matmul_1024x4096x1536,1024,4096,1536,21.6783126,21.585,21.878672,0.0863465287987887,10,429888
matmul_1024x4096x2048,1024,4096,2048,27.3213828,27.033672,27.49125,0.1272703413410474,10,573184
matmul_1024x4096x2560,1024,4096,2560,34.5168516,34.2825,34.789922,0.1296070395749308,10,716480
matmul_1024x4096x3072,1024,4096,3072,40.0829922,39.859922,40.233828,0.1316514979226932,10,859776
matmul_1024x4096x3584,1024,4096,3584,49.0572266,48.704922,49.338672,0.1882319898778567,10,1003072
matmul_1024x4096x4096,1024,4096,4096,50.7819998,50.645234,50.988828,0.1329515654747155,10,1146368
matmul_1536x1024x1024,1536,1024,1024,8.2718906,8.142422,8.409922,0.0800124542364082,10,122752
matmul_1536x1024x1536,1536,1024,1536,11.0064688,10.882656,11.154922,0.1009199085312481,10,184128
matmul_1536x1024x2048,1536,1024,2048,13.6147734,13.486328,13.770156,0.0818252143157731,10,245504
matmul_1536x1024x2560,1536,1024,2560,16.386211,16.176172,16.683672,0.1486019585940911,10,306880
matmul_1536x1024x3072,1536,1024,3072,19.0294688,18.812422,19.211172,0.1450462506473173,10,368256
matmul_1536x1024x3584,1536,1024,3584,18.5322344,18.277578,18.891172,0.2094101835426776,10,429632
matmul_1536x1024x4096,1536,1024,4096,21.8792734,21.75,22.025078,0.0859293746078078,10,491008
matmul_1536x1536x1024,1536,1536,1024,11.327586,11.13125,11.488594,0.113203018444249,10,184128
matmul_1536x1536x1536,1536,1536,1536,15.2341172,15.08375,15.37,0.1018785978143702,10,276192
matmul_1536x1536x2048,1536,1536,2048,19.0520156,18.93,19.4025,0.1421047261480067,10,368256
matmul_1536x1536x2560,1536,1536,2560,20.1603906,20.001172,20.3575,0.1265835058100205,10,460320
matmul_1536x1536x3072,1536,1536,3072,24.39825,24.126328,24.791094,0.1959839745466735,10,552384
matmul_1536x1536x3584,1536,1536,3584,25.5443828,25.276328,25.797578,0.1979037043417272,10,644448
matmul_1536x1536x4096,1536,1536,4096,30.815289,30.637578,31.017578,0.1136631958815161,10,736512
matmul_1536x2048x1024,1536,2048,1024,14.0271876,13.9375,14.143828,0.0714793587722278,10,233280
matmul_1536x2048x1536,1536,2048,1536,18.7771406,18.568672,18.956328,0.1415879190893215,10,349920
matmul_1536x2048x2048,1536,2048,2048,23.3927188,23.215156,23.57125,0.1066391705569143,10,466560
matmul_1536x2048x2560,1536,2048,2560,24.8488828,24.710078,24.962422,0.0934406077377498,10,583200
matmul_1536x2048x3072,1536,2048,3072,33.7991484,33.377422,34.096328,0.1911206535331363,10,699840
matmul_1536x2048x3584,1536,2048,3584,34.7033672,34.405078,35.21875,0.2415295582871789,10,816480
matmul_1536x2048x4096,1536,2048,4096,38.3257968,38.14375,38.637734,0.1613017400586735,10,933120
matmul_1536x2560x1024,1536,2560,1024,16.529914,16.3175,16.650156,0.1000285747885185,10,282432
matmul_1536x2560x1536,1536,2560,1536,22.0463204,21.813828,22.201172,0.1286072237604782,10,423648
matmul_1536x2560x2048,1536,2560,2048,27.7555,27.502344,28.052578,0.1701925436883506,10,564864
matmul_1536x2560x2560,1536,2560,2560,31.4290078,31.207422,31.71625,0.1682808872027157,10,706080
matmul_1536x2560x3072,1536,2560,3072,35.7822812,35.539922,36.001328,0.1380840766174328,10,847296
matmul_1536x2560x3584,1536,2560,3584,40.9719296,40.69375,41.341406,0.2218296513669891,10,988512
matmul_1536x2560x4096,1536,2560,4096,46.3990312,46.181172,46.89375,0.198474061539984,10,1129728
matmul_1536x3072x1024,1536,3072,1024,18.1773594,18.052578,18.287422,0.0897665101870153,10,331584
matmul_1536x3072x1536,1536,3072,1536,25.1975938,25.021172,25.48,0.1623236588012428,10,497376
matmul_1536x3072x2048,1536,3072,2048,31.7422188,31.44125,32.291094,0.26818923935195,10,663168
matmul_1536x3072x2560,1536,3072,2560,36.0353984,35.8625,36.161328,0.1128354952379795,10,828960
matmul_1536x3072x3072,1536,3072,3072,42.5901718,42.406328,42.802734,0.1397345203239975,10,994752
matmul_1536x3072x3584,1536,3072,3584,50.8319296,50.49625,51.353594,0.2741601325532207,10,1160544
matmul_1536x3072x4096,1536,3072,4096,56.9801484,56.298828,57.621172,0.3546680857111962,10,1326336
matmul_1536x3584x1024,1536,3584,1024,22.0806328,21.891094,22.382422,0.1339313479766569,10,380736
matmul_1536x3584x1536,1536,3584,1536,30.6908672,30.453828,30.958672,0.1705013830929891,10,571104
matmul_1536x3584x2048,1536,3584,2048,36.3061094,36.09125,36.847578,0.2301309220365169,10,761472
matmul_1536x3584x2560,1536,3584,2560,42.1023124,41.686328,42.97625,0.3641586560629848,10,951840
matmul_1536x3584x3072,1536,3584,3072,50.0597734,49.691172,50.41875,0.2139849933160942,10,1142208
matmul_1536x3584x3584,1536,3584,3584,58.832039,58.405078,59.130078,0.2059498433313845,10,1332576
matmul_1536x3584x4096,1536,3584,4096,64.6745624,64.438828,64.880156,0.1456642184776722,10,1522944
matmul_1536x4096x1024,1536,4096,1024,22.3356406,22.015078,22.528828,0.1522108157291505,10,429888
matmul_1536x4096x1536,1536,4096,1536,30.747836,30.56625,30.944844,0.156376073691313,10,644832
matmul_1536x4096x2048,1536,4096,2048,39.7289922,39.525,39.98,0.1552060482224981,10,859776
matmul_1536x4096x2560,1536,4096,2560,46.4206484,46.14875,46.80875,0.1756227184767277,10,1074720
matmul_1536x4096x3072,1536,4096,3072,64.3450546,64.067422,64.555078,0.1321172018072516,10,1289664
matmul_1536x4096x3584,1536,4096,3584,64.83117179999999,64.5825,65.112578,0.1852349122227717,10,1504608
