kernel_name,event_type,event_name,dur(us)
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.307143
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.327232
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.307053
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.31866
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.304286
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.32
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.305804
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.327053
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.307053
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.322857
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.304286
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.318572
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.304375
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.319911
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.307143
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.31866
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.304285
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.32
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.305625
"mul_(128,)",main,jit_validation_vector_mul(6819192093666175912),1.318572
"mul_(128,)",sub,copy-start,0.008571
"mul_(128,)",sub,copy-done,0.425625
"mul_(128,)",sub,multiply.3,0.845714
"mul_(128,)",sub,copy-start,0.008572
"mul_(128,)",sub,copy-done,0.431428
"mul_(128,)",sub,multiply.3,0.86
"mul_(128,)",sub,copy-start,0.008571
"mul_(128,)",sub,copy-done,0.422946
"mul_(128,)",sub,multiply.3,0.847143
"mul_(128,)",sub,copy-start,0.008571
"mul_(128,)",sub,copy-done,0.422857
"mul_(128,)",sub,multiply.3,0.86
"mul_(128,)",sub,copy-start,0.008572
"mul_(128,)",sub,copy-done,0.422768
"mul_(128,)",sub,multiply.3,0.845714
"mul_(128,)",sub,copy-start,0.008572
"mul_(128,)",sub,copy-done,0.422857
"mul_(128,)",sub,multiply.3,0.861339
"mul_(128,)",sub,copy-start,0.008572
"mul_(128,)",sub,copy-done,0.424286
"mul_(128,)",sub,multiply.3,0.847054
"mul_(128,)",sub,copy-start,0.008571
"mul_(128,)",sub,copy-done,0.428571
"mul_(128,)",sub,multiply.3,0.862768
"mul_(128,)",sub,copy-start,0.008571
"mul_(128,)",sub,copy-done,0.422946
"mul_(128,)",sub,multiply.3,0.847143
"mul_(128,)",sub,copy-start,0.008571
"mul_(128,)",sub,copy-done,0.424285
"mul_(128,)",sub,multiply.3,0.862857
"mul_(128,)",sub,copy-start,0.008572
"mul_(128,)",sub,copy-done,0.422768
"mul_(128,)",sub,multiply.3,0.845714
"mul_(128,)",sub,copy-start,0.008572
"mul_(128,)",sub,copy-done,0.422768
"mul_(128,)",sub,multiply.3,0.86
"mul_(128,)",sub,copy-start,0.008571
"mul_(128,)",sub,copy-done,0.422857
"mul_(128,)",sub,multiply.3,0.845715
"mul_(128,)",sub,copy-start,0.008572
"mul_(128,)",sub,copy-done,0.422858
"mul_(128,)",sub,multiply.3,0.86
"mul_(128,)",sub,copy-start,0.008572
"mul_(128,)",sub,copy-done,0.424196
"mul_(128,)",sub,multiply.3,0.845803
"mul_(128,)",sub,copy-start,0.008571
"mul_(128,)",sub,copy-done,0.422857
"mul_(128,)",sub,multiply.3,0.86
"mul_(128,)",sub,copy-start,0.008571
"mul_(128,)",sub,copy-done,0.422857
"mul_(128,)",sub,multiply.3,0.845715
"mul_(128,)",sub,copy-start,0.008571
"mul_(128,)",sub,copy-done,0.422857
"mul_(128,)",sub,multiply.3,0.860089
"mul_(128,)",sub,copy-start,0.008572
"mul_(128,)",sub,copy-done,0.422858
"mul_(128,)",sub,multiply.3,0.845714
"mul_(128,)",sub,copy-start,0.008572
"mul_(128,)",sub,copy-done,0.422768
"mul_(128,)",sub,multiply.3,0.86
"mul_(256,)",main,jit_validation_vector_mul(16199265438226812885),1.305714
"mul_(256,)",main,jit_validation_vector_mul(16199265438226812885),1.307143
"mul_(256,)",main,jit_validation_vector_mul(16199265438226812885),1.305625
"mul_(256,)",main,jit_validation_vector_mul(16199265438226812885),1.331339
"mul_(256,)",main,jit_validation_vector_mul(16199265438226812885),1.307053
"mul_(256,)",main,jit_validation_vector_mul(16199265438226812885),1.305714
"mul_(256,)",main,jit_validation_vector_mul(16199265438226812885),1.304375
