kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"mul_(16, 16, 24)",1.587424,1.492768,1.741428,0.1,20,6144
"mul_(16, 32, 16)",1.553487,1.49866,1.745803,0.086756,20,8192
"mul_(32, 16, 16)",1.548357,1.477143,1.729911,0.095139,20,8192
"mul_(8, 32, 32)",1.537455,1.484286,1.702857,0.086286,20,8192
"mul_(32, 32, 8)",1.536134,1.487232,1.74,0.095797,20,8192
"mul_(16, 16, 32)",1.531634,1.502857,1.725625,0.067555,20,8192
"mul_(24, 16, 16)",1.531317,1.488571,1.714286,0.080429,20,6144
"mul_(16, 16, 16)",1.529589,1.484375,1.694286,0.06892,20,4096
"mul_(32, 8, 32)",1.521567,1.485715,1.672947,0.06186,20,8192
"mul_(16, 24, 16)",1.513991,1.49,1.745625,0.057075,20,6144
"mul_(24, 8, 32)",1.411433,1.358482,1.592857,0.079859,20,6144
"mul_(8, 24, 32)",1.403638,1.332857,1.60991,0.107858,20,6144
"mul_(8, 24, 24)",1.398576,1.351339,1.584286,0.072618,20,4608
"mul_(24, 32, 8)",1.393612,1.332946,1.614197,0.09357,20,6144
"mul_(8, 40, 24)",1.387446,1.332857,1.580089,0.079041,20,7680
"mul_(8, 32, 24)",1.382933,1.332768,1.632857,0.091506,20,6144
"mul_(40, 8, 24)",1.382643,1.332857,1.577143,0.07527,20,7680
"mul_(8, 24, 40)",1.380353,1.340089,1.545714,0.075923,20,7680
"mul_(24, 8, 24)",1.37508,1.35,1.605714,0.063152,20,4608
"mul_(24, 8, 40)",1.373344,1.341429,1.624196,0.072395,20,7680
"mul_(24, 40, 8)",1.371415,1.341429,1.578571,0.068867,20,7680
"mul_(32, 24, 8)",1.371062,1.337142,1.557143,0.073644,20,6144
"mul_(32, 8, 24)",1.370638,1.337143,1.587143,0.078289,20,6144
"mul_(24, 24, 8)",1.35538,1.345803,1.402857,0.011379,20,4608
"mul_(40, 24, 8)",1.347022,1.332767,1.468571,0.032152,20,7680
"mul_(16, 16, 8)",1.293295,1.207143,1.471428,0.10403,20,2048
