kernel_name,event_type,event_name,dur(us)
"product_reduce_(32, 32)",main,jit_kernel_with_params(3258994680458458677),1.881517
"product_reduce_(32, 32)",main,jit_kernel_with_params(3258994680458458677),1.742857
"product_reduce_(32, 32)",main,jit_kernel_with_params(3258994680458458677),1.727232
"product_reduce_(32, 32)",main,jit_kernel_with_params(3258994680458458677),1.744197
"product_reduce_(32, 32)",main,jit_kernel_with_params(3258994680458458677),1.728482
"product_reduce_(32, 32)",main,jit_kernel_with_params(3258994680458458677),1.744286
"product_reduce_(32, 32)",main,jit_kernel_with_params(3258994680458458677),1.902946
"product_reduce_(32, 32)",main,jit_kernel_with_params(3258994680458458677),1.741429
"product_reduce_(32, 32)",main,jit_kernel_with_params(3258994680458458677),1.729911
"product_reduce_(32, 32)",main,jit_kernel_with_params(3258994680458458677),1.740089
"product_reduce_(32, 32)",sub,convert_reduce_fusion,1.359911
"product_reduce_(32, 32)",sub,convert.9,0.444196
"product_reduce_(32, 32)",sub,convert_reduce_fusion,1.205625
"product_reduce_(32, 32)",sub,convert.9,0.45991
"product_reduce_(32, 32)",sub,convert_reduce_fusion,1.204196
"product_reduce_(32, 32)",sub,convert.9,0.444285
"product_reduce_(32, 32)",sub,convert_reduce_fusion,1.204285
"product_reduce_(32, 32)",sub,convert.9,0.46
"product_reduce_(32, 32)",sub,convert_reduce_fusion,1.202947
"product_reduce_(32, 32)",sub,convert.9,0.444375
"product_reduce_(32, 32)",sub,convert_reduce_fusion,1.205714
"product_reduce_(32, 32)",sub,convert.9,0.458661
"product_reduce_(32, 32)",sub,convert_reduce_fusion,1.381428
"product_reduce_(32, 32)",sub,convert.9,0.444196
"product_reduce_(32, 32)",sub,convert_reduce_fusion,1.204286
"product_reduce_(32, 32)",sub,convert.9,0.459911
"product_reduce_(32, 32)",sub,convert_reduce_fusion,1.205803
"product_reduce_(32, 32)",sub,convert.9,0.444285
"product_reduce_(32, 32)",sub,convert_reduce_fusion,1.202857
"product_reduce_(32, 32)",sub,convert.9,0.458571
"product_reduce_(32, 64)",main,jit_kernel_with_params(8377000254538871996),1.834286
"product_reduce_(32, 64)",main,jit_kernel_with_params(8377000254538871996),1.867142
"product_reduce_(32, 64)",main,jit_kernel_with_params(8377000254538871996),1.795714
"product_reduce_(32, 64)",main,jit_kernel_with_params(8377000254538871996),1.892947
"product_reduce_(32, 64)",main,jit_kernel_with_params(8377000254538871996),1.717143
