dim0,dim1,size,avg_dur(us)
32,32,1024,0.8447720999999999
32,64,2048,0.8549196
32,96,3072,0.8191385
32,128,4096,0.83323645
32,160,5120,0.8456338000000001
32,192,6144,0.8426294999999999
32,224,7168,0.8420894499999999
32,256,8192,0.8532054
32,288,9216,0.8775268
32,320,10240,0.8789778
32,352,11264,0.87136145
32,384,12288,0.8730983
32,416,13312,0.8831652999999999
32,448,14336,0.8834375999999999
32,480,15360,0.88258475
32,512,16384,0.89289305
32,544,17408,0.8994463500000001
32,576,18432,0.9207677999999999
32,608,19456,0.9200713500000001
32,640,20480,0.9229777
32,672,21504,0.90408505
32,704,22528,0.9093704499999999
32,736,23552,0.93143735
32,768,24576,0.92956685
32,800,25600,0.9572856
32,832,26624,0.9367053000000001
32,864,27648,0.93507135
32,896,28672,0.9427945
32,928,29696,0.9420624499999999
32,960,30720,0.94235715
32,992,31744,0.9504910499999999
32,1024,32768,0.95049975
64,32,2048,0.96385275
64,64,4096,0.84321
64,96,6144,0.8443482
64,128,8192,0.848991
64,160,10240,0.9116384999999999
64,192,12288,0.86334365
64,224,14336,0.8731742
64,256,16384,0.87001785
64,288,18432,0.90712475
64,320,20480,0.9175491000000001
64,352,22528,0.9333527500000001
64,384,24576,0.9166024500000001
64,416,26624,0.9425402999999999
64,448,28672,0.93695985
64,480,30720,0.9389108
64,512,32768,0.9407590000000001
64,544,34816,1.0049823
64,576,36864,0.96747765
64,608,38912,0.9957722999999999
64,640,40960,0.9891382
64,672,43008,1.0032142499999999
64,704,45056,1.029576
64,736,47104,1.00358485
64,768,49152,0.9791964500000001
64,800,51200,1.0437992
64,832,53248,1.0219242
64,864,55296,1.02423645
64,896,57344,1.03645535
64,928,59392,1.0860001000000001
64,960,61440,1.06214295
64,992,63488,1.0612232499999998
64,1024,65536,1.05121865
96,32,3072,0.9506562000000001
96,64,6144,0.9782055
96,96,9216,0.8677992
96,128,12288,0.85629475
96,160,15360,0.98016955
96,192,18432,0.91288835
96,224,21504,0.9059644
96,256,24576,0.907067
96,288,27648,0.9730625500000001
96,320,30720,0.94058475
96,352,33792,0.9704376
96,384,36864,0.97084385
96,416,39936,1.0417054000000001
96,448,43008,0.9944195
96,480,46080,0.9998302000000001
96,512,49152,0.9984909999999999
96,544,52224,1.0313345999999999
96,576,55296,1.05006265
96,608,58368,1.0629464
96,640,61440,1.01626315
96,672,64512,1.0588125
96,704,67584,1.0764239999999998
96,736,70656,1.0796518499999999
96,768,73728,1.0626608
96,800,76800,1.1302720499999999
96,832,79872,1.12813385
96,864,82944,1.1124955
96,896,86016,1.1390847499999999
96,928,89088,1.15916505
96,960,92160,1.1639419
96,992,95232,1.13965165
96,1024,98304,1.1559153500000001
128,32,4096,0.94875875
128,64,8192,0.9776341499999999
