kernel_name,event_type,event_name,dur(us)
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.322857
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.318661
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.322857
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.47991
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.492857
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.502857
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.324375
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.318483
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.322857
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.321428
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.321518
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.337232
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.325625
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.321429
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.321428
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.385714
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.355803
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.321518
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.324375
"add_(128,)",main,jit_validation_vector_add(1501756986612928405),1.321428
"add_(128,)",sub,copy-start,0.008571
"add_(128,)",sub,copy-done,0.425714
"add_(128,)",sub,add.3,0.861339
"add_(128,)",sub,copy-start,0.008572
"add_(128,)",sub,copy-done,0.422857
"add_(128,)",sub,add.3,0.86
"add_(128,)",sub,copy-start,0.008571
"add_(128,)",sub,copy-done,0.427143
"add_(128,)",sub,add.3,0.86
"add_(128,)",sub,copy-start,0.008571
"add_(128,)",sub,copy-done,0.422857
"add_(128,)",sub,add.3,1.02
"add_(128,)",sub,copy-start,0.008572
"add_(128,)",sub,copy-done,0.422857
"add_(128,)",sub,add.3,1.032946
"add_(128,)",sub,copy-start,0.008572
"add_(128,)",sub,copy-done,0.424286
"add_(128,)",sub,add.3,1.042857
"add_(128,)",sub,copy-start,0.008571
"add_(128,)",sub,copy-done,0.424197
"add_(128,)",sub,add.3,0.864286
"add_(128,)",sub,copy-start,0.008572
"add_(128,)",sub,copy-done,0.421428
"add_(128,)",sub,add.3,0.86
"add_(128,)",sub,copy-start,0.008572
"add_(128,)",sub,copy-done,0.422857
"add_(128,)",sub,add.3,0.862946
"add_(128,)",sub,copy-start,0.008571
"add_(128,)",sub,copy-done,0.424197
"add_(128,)",sub,add.3,0.860089
"add_(128,)",sub,copy-start,0.008571
"add_(128,)",sub,copy-done,0.422768
"add_(128,)",sub,add.3,0.864197
"add_(128,)",sub,copy-start,0.008572
"add_(128,)",sub,copy-done,0.44
"add_(128,)",sub,add.3,0.861428
"add_(128,)",sub,copy-start,0.008571
"add_(128,)",sub,copy-done,0.422947
"add_(128,)",sub,add.3,0.864375
"add_(128,)",sub,copy-start,0.008572
"add_(128,)",sub,copy-done,0.424286
"add_(128,)",sub,add.3,0.862768
"add_(128,)",sub,copy-start,0.008571
"add_(128,)",sub,copy-done,0.421518
"add_(128,)",sub,add.3,0.864286
"add_(128,)",sub,copy-start,0.008572
"add_(128,)",sub,copy-done,0.422857
"add_(128,)",sub,add.3,0.925803
"add_(128,)",sub,copy-start,0.008571
"add_(128,)",sub,copy-done,0.455625
"add_(128,)",sub,add.3,0.864285
"add_(128,)",sub,copy-start,0.008572
"add_(128,)",sub,copy-done,0.424196
"add_(128,)",sub,add.3,0.861428
"add_(128,)",sub,copy-start,0.008572
"add_(128,)",sub,copy-done,0.424196
"add_(128,)",sub,add.3,0.864285
"add_(128,)",sub,copy-start,0.008571
"add_(128,)",sub,copy-done,0.424197
"add_(128,)",sub,add.3,0.860089
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.328661
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.314285
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.328571
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.312857
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.328661
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.312946
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.472857
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.314286
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.32991
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.312768
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.32991
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.312857
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.328571
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.315625
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.329911
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.314285
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.32991
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.321518
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.33
"add_(256,)",main,jit_validation_vector_add(16386849321380851462),1.351428
"add_(256,)",sub,copy-start,0.008572
"add_(256,)",sub,copy-done,0.432858
"add_(256,)",sub,add.3,0.861339
"add_(256,)",sub,copy-start,0.008571
"add_(256,)",sub,copy-done,0.431518
"add_(256,)",sub,add.3,0.845714
"add_(256,)",sub,copy-start,0.008571
"add_(256,)",sub,copy-done,0.432857
"add_(256,)",sub,add.3,0.86
"add_(256,)",sub,copy-start,0.008571
"add_(256,)",sub,copy-done,0.431428
"add_(256,)",sub,add.3,0.845714
"add_(256,)",sub,copy-start,0.008571
"add_(256,)",sub,copy-done,0.432857
"add_(256,)",sub,add.3,0.86134
"add_(256,)",sub,copy-start,0.008571
"add_(256,)",sub,copy-done,0.431429
"add_(256,)",sub,add.3,0.845714
"add_(256,)",sub,copy-start,0.008572
"add_(256,)",sub,copy-done,0.575804
"add_(256,)",sub,add.3,0.861429
"add_(256,)",sub,copy-start,0.008571
"add_(256,)",sub,copy-done,0.432857
"add_(256,)",sub,add.3,0.845715
"add_(256,)",sub,copy-start,0.008571
"add_(256,)",sub,copy-done,0.431518
"add_(256,)",sub,add.3,0.861429
"add_(256,)",sub,copy-start,0.008571
"add_(256,)",sub,copy-done,0.431429
