Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(1024, 1024), (1024, 1024)]",89984,matmul_linear_1,43.8012944,205336.85119953897
matmul,linear,"[(1152, 1024), (1024, 1024)]",98176,matmul_linear_2,35.2534196,278386.4592256463
matmul,linear,"[(1280, 1024), (1024, 1024)]",106368,matmul_linear_3,38.074982,279264.5444139671
matmul,linear,"[(1408, 1024), (1024, 1024)]",114560,matmul_linear_4,40.8422949,280393.5429815919
matmul,linear,"[(1536, 1024), (1024, 1024)]",122752,matmul_linear_5,43.7608842,280406.215182919
matmul,linear,"[(1664, 1024), (1024, 1024)]",130944,matmul_linear_6,46.560036000000004,281136.8959508536
matmul,linear,"[(1792, 1024), (1024, 1024)]",139136,matmul_linear_7,49.401009099999996,281546.06864275574
matmul,linear,"[(1920, 1024), (1024, 1024)]",147328,matmul_linear_8,52.329000199999996,281441.78263853013
matmul,linear,"[(2048, 1024), (1024, 1024)]",155520,matmul_linear_9,55.0896069,282203.70255192363
matmul,linear,"[(1024, 1024), (1024, 1152)]",98176,matmul_linear_10,31.494723099999998,311622.0611474435
matmul,linear,"[(1152, 1024), (1024, 1152)]",110448,matmul_linear_11,60.066285500000006,183776.86050604875
matmul,linear,"[(1280, 1024), (1024, 1152)]",119664,matmul_linear_12,65.9508748,181344.1436340129
matmul,linear,"[(1408, 1024), (1024, 1152)]",128880,matmul_linear_13,71.90758029999999,179130.06095088978
matmul,linear,"[(1536, 1024), (1024, 1152)]",138096,matmul_linear_14,77.93840170000001,177086.08155650692
matmul,linear,"[(1664, 1024), (1024, 1152)]",147312,matmul_linear_15,83.81398219999998,175660.6501126253
matmul,linear,"[(1792, 1024), (1024, 1152)]",156528,matmul_linear_16,51.6885625,302729.0833199317
matmul,linear,"[(1920, 1024), (1024, 1152)]",165744,matmul_linear_17,53.9734374,306984.38814386126
matmul,linear,"[(2048, 1024), (1024, 1152)]",174960,matmul_linear_18,56.0058662,312295.8468479147
matmul,linear,"[(1024, 1024), (1024, 1280)]",106368,matmul_linear_19,34.4306699,308833.86712757515
matmul,linear,"[(1152, 1024), (1024, 1280)]",119664,matmul_linear_20,44.7701339,267185.32969609904
matmul,linear,"[(1280, 1024), (1024, 1280)]",132960,matmul_linear_21,66.2650089,200548.88273183347
matmul,linear,"[(1408, 1024), (1024, 1280)]",143200,matmul_linear_22,72.136518,198412.4926600976
matmul,linear,"[(1536, 1024), (1024, 1280)]",153440,matmul_linear_23,78.2008661,196112.66061655548
matmul,linear,"[(1664, 1024), (1024, 1280)]",163680,matmul_linear_24,84.12388389999998,194470.1891208093
matmul,linear,"[(1792, 1024), (1024, 1280)]",173920,matmul_linear_25,52.2510267,332754.70350384526
matmul,linear,"[(1920, 1024), (1024, 1280)]",184160,matmul_linear_26,54.4358751,338206.30932577775
matmul,linear,"[(2048, 1024), (1024, 1280)]",194400,matmul_linear_27,56.587401899999996,343439.36295491946
matmul,linear,"[(1024, 1024), (1024, 1408)]",114560,matmul_linear_28,37.2385715,307538.00915403
matmul,linear,"[(1152, 1024), (1024, 1408)]",128880,matmul_linear_29,48.63402669999999,264899.64889808313
matmul,linear,"[(1280, 1024), (1024, 1408)]",143200,matmul_linear_30,50.6867233,282419.7422063383
matmul,linear,"[(1408, 1024), (1024, 1408)]",157520,matmul_linear_31,49.81174119999999,316130.6641069596
matmul,linear,"[(1536, 1024), (1024, 1408)]",168784,matmul_linear_32,53.1533036,317441.88087756035
matmul,linear,"[(1664, 1024), (1024, 1408)]",180048,matmul_linear_33,68.37758930000001,263214.3429641208
matmul,linear,"[(1792, 1024), (1024, 1408)]",191312,matmul_linear_34,72.6684196,263167.04372142424
matmul,linear,"[(1920, 1024), (1024, 1408)]",202576,matmul_linear_35,76.70699110000001,263990.6612226639
matmul,linear,"[(2048, 1024), (1024, 1408)]",213840,matmul_linear_36,80.9941431,263919.0905359427
matmul,linear,"[(1024, 1024), (1024, 1536)]",122752,matmul_linear_37,43.417875200000005,282622.2645847026
matmul,linear,"[(1152, 1024), (1024, 1536)]",138096,matmul_linear_38,45.852017599999996,301077.5865670958
matmul,linear,"[(1280, 1024), (1024, 1536)]",153440,matmul_linear_39,48.3840177,317029.51361622865
matmul,linear,"[(1408, 1024), (1024, 1536)]",168784,matmul_linear_40,50.85099989999999,331818.7436469662
matmul,linear,"[(1536, 1024), (1024, 1536)]",184128,matmul_linear_41,53.2342857,345782.3530339959
matmul,linear,"[(1664, 1024), (1024, 1536)]",196416,matmul_linear_42,68.5365894,286485.60590702516
matmul,linear,"[(1792, 1024), (1024, 1536)]",208704,matmul_linear_43,72.68367850000001,287040.1177088195
matmul,linear,"[(1920, 1024), (1024, 1536)]",220992,matmul_linear_44,76.8514016,287457.5401347007
matmul,linear,"[(2048, 1024), (1024, 1536)]",233280,matmul_linear_45,81.14787510000001,287375.1799877998
matmul,linear,"[(1024, 1024), (1024, 1664)]",130944,matmul_linear_46,48.89441059999999,267709.7524709706
matmul,linear,"[(1152, 1024), (1024, 1664)]",147312,matmul_linear_47,56.3188394,261467.890193419
matmul,linear,"[(1280, 1024), (1024, 1664)]",163680,matmul_linear_48,58.9526072,277546.75350948685
matmul,linear,"[(1408, 1024), (1024, 1664)]",180048,matmul_linear_49,72.36443770000001,248707.29502303584
matmul,linear,"[(1536, 1024), (1024, 1664)]",196416,matmul_linear_50,62.97585730000001,311790.9506294247
matmul,linear,"[(1664, 1024), (1024, 1664)]",212784,matmul_linear_51,116.59913390000001,182391.92158021682
matmul,linear,"[(1792, 1024), (1024, 1664)]",226096,matmul_linear_52,124.89038400000001,180935.5551473042
matmul,linear,"[(1920, 1024), (1024, 1664)]",239408,matmul_linear_53,70.55499119999999,339221.13933847396
matmul,linear,"[(2048, 1024), (1024, 1664)]",252720,matmul_linear_54,73.56126789999999,343450.3590606274
matmul,linear,"[(1024, 1024), (1024, 1792)]",139136,matmul_linear_55,48.9385714,284207.4409810009
