Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(2048, 2048), (2048, 2048)]",622080,matmul_linear_1,141.55944630000002,439347.8900981685
matmul,linear,"[(2176, 2048), (2048, 2048)]",654848,matmul_linear_2,148.51584830000002,440828.02720771986
matmul,linear,"[(2304, 2048), (2048, 2048)]",687616,matmul_linear_3,155.3374197,442559.59955301095
matmul,linear,"[(2432, 2048), (2048, 2048)]",720384,matmul_linear_4,162.161009,444139.9590643889
matmul,linear,"[(2560, 2048), (2048, 2048)]",753152,matmul_linear_5,168.8631874,445913.137378455
matmul,linear,"[(2688, 2048), (2048, 2048)]",785920,matmul_linear_6,175.68769650000002,447239.23641602293
matmul,linear,"[(2816, 2048), (2048, 2048)]",818688,matmul_linear_7,182.4268392,448676.0702264034
matmul,linear,"[(2944, 2048), (2048, 2048)]",851456,matmul_linear_8,189.26784809999998,449768.27321570844
matmul,linear,"[(3072, 2048), (2048, 2048)]",884224,matmul_linear_9,210.0113033,420936.38523536554
matmul,linear,"[(2048, 2048), (2048, 2176)]",654848,matmul_linear_10,197.15598219999998,332047.16220769077
matmul,linear,"[(2176, 2048), (2048, 2176)]",695776,matmul_linear_11,198.43913419999998,350524.38808
matmul,linear,"[(2304, 2048), (2048, 2176)]",730592,matmul_linear_12,205.5587055,355317.68869526184
matmul,linear,"[(2432, 2048), (2048, 2176)]",765408,matmul_linear_13,215.45600009999998,355150.2597489742
matmul,linear,"[(2560, 2048), (2048, 2176)]",800224,matmul_linear_14,223.68367870000003,357648.05057334737
matmul,linear,"[(2688, 2048), (2048, 2176)]",835040,matmul_linear_15,218.24058,382523.6165611363
matmul,linear,"[(2816, 2048), (2048, 2176)]",869856,matmul_linear_16,226.76185719999998,383498.9044810135
matmul,linear,"[(2944, 2048), (2048, 2176)]",904672,matmul_linear_17,235.3401068,384310.46547532204
