K    ,N    ,M_anomaly ,M_previous ,Duration_Previous_us ,Duration_Current_us ,Absolute_Change_us ,Percentage_Change ,Change_Type
 128 , 128 ,      276 ,       274 ,              1.5699 ,             1.4479 ,-0.1220            ,-7.7697           ,DECREASE
 128 , 128 ,      394 ,       392 ,              1.6113 ,             1.7310 ,0.1198             ,7.4320            ,INCREASE
 128 , 128 ,      528 ,       526 ,              1.8871 ,             1.7639 ,-0.1233            ,-6.5315           ,DECREASE
 128 , 128 ,      734 ,       732 ,              2.0256 ,             2.1741 ,0.1485             ,7.3335            ,INCREASE
 128 , 128 ,      978 ,       976 ,              2.3804 ,             2.5343 ,0.1539             ,6.4634            ,INCREASE
 128 ,1024 ,      242 ,       240 ,              3.1214 ,             3.4031 ,0.2817             ,9.0252            ,INCREASE
 128 ,1024 ,      274 ,       272 ,              3.4183 ,             3.6933 ,0.2750             ,8.0441            ,INCREASE
 128 ,1024 ,      306 ,       304 ,              3.6386 ,             3.9869 ,0.3483             ,9.5718            ,INCREASE
 128 ,1024 ,      322 ,       320 ,              3.7497 ,             4.0516 ,0.3019             ,8.0503            ,INCREASE
 128 ,1024 ,      354 ,       352 ,              3.9680 ,             4.2730 ,0.3050             ,7.6856            ,INCREASE
 128 ,1024 ,      370 ,       368 ,              4.0931 ,             4.4592 ,0.3661             ,8.9431            ,INCREASE
 128 ,1024 ,     1010 ,      1008 ,              8.7634 ,             9.7404 ,0.9770             ,11.1483           ,INCREASE
 128 ,1024 ,     1018 ,      1016 ,              9.6984 ,             8.9150 ,-0.7834            ,-8.0777           ,DECREASE
1024 , 128 ,       90 ,        88 ,              2.6638 ,             2.1603 ,-0.5036            ,-18.9040          ,DECREASE
1024 , 128 ,       98 ,        96 ,              2.1870 ,             2.7521 ,0.5651             ,25.8410           ,INCREASE
1024 , 128 ,      106 ,       104 ,              2.7777 ,             2.2579 ,-0.5198            ,-18.7139          ,DECREASE
1024 , 128 ,      122 ,       120 ,              2.3867 ,             2.9527 ,0.5660             ,23.7150           ,INCREASE
1024 , 128 ,      722 ,       720 ,              5.8929 ,             6.1683 ,0.2755             ,4.6745            ,INCREASE
1024 , 128 ,      754 ,       752 ,              6.0683 ,             7.1237 ,1.0554             ,17.3926           ,INCREASE
1024 ,1024 ,      338 ,       336 ,             13.9353 ,            19.9969 ,6.0616             ,43.4986           ,INCREASE
1024 ,1024 ,      354 ,       352 ,             20.0601 ,            14.5506 ,-5.5096            ,-27.4652          ,DECREASE
1024 ,1024 ,      362 ,       360 ,             14.6068 ,            20.4671 ,5.8603             ,40.1203           ,INCREASE
1024 ,1024 ,      802 ,       800 ,             25.7947 ,            33.0253 ,7.2306             ,28.0311           ,INCREASE
1024 ,1024 ,      818 ,       816 ,             33.0377 ,            26.2203 ,-6.8175            ,-20.6354          ,DECREASE
1024 ,1024 ,      898 ,       896 ,             26.9653 ,            34.1806 ,7.2153             ,26.7577           ,INCREASE
1024 ,1024 ,      914 ,       912 ,             34.1083 ,            27.4030 ,-6.7053            ,-19.6588          ,DECREASE
1024 ,1024 ,      930 ,       928 ,             27.3616 ,            34.7080 ,7.3465             ,26.8496           ,INCREASE
1024 ,1024 ,      962 ,       960 ,             34.7587 ,            28.1156 ,-6.6431            ,-19.1120          ,DECREASE
1024 ,1024 ,      994 ,       992 ,             28.2044 ,            35.2582 ,7.0537             ,25.0092           ,INCREASE
1024 ,1024 ,     1010 ,      1008 ,             35.2737 ,            28.6621 ,-6.6116            ,-18.7437          ,DECREASE
1024 ,1024 ,     1018 ,      1016 ,             28.6608 ,            43.8721 ,15.2113            ,53.0735           ,INCREASE
