kernel_name,event_type,event_name,dur(us)
matmul_32x32x32,main,jit_validation_matrix_multiply(10803950616944242919),1.565625
matmul_32x32x32,sub,copy-start,0.008571
matmul_32x32x32,sub,copy-done,0.451428
matmul_32x32x32,sub,fusion,1.02
matmul_32x32x48,main,jit_validation_matrix_multiply(4374560774780649980),1.567142
matmul_32x32x48,sub,copy-start,0.008571
matmul_32x32x48,sub,copy-done,0.454196
matmul_32x32x48,sub,fusion,1.02
matmul_32x32x64,main,jit_validation_matrix_multiply(7538857585417309930),1.557143
matmul_32x32x64,sub,copy-start,0.008571
matmul_32x32x64,sub,copy-done,0.445714
matmul_32x32x64,sub,fusion,1.017232
matmul_32x32x80,main,jit_validation_matrix_multiply(4612725270485578978),1.697054
matmul_32x32x80,sub,copy-start,0.008572
matmul_32x32x80,sub,copy-done,0.520089
matmul_32x32x80,sub,fusion,1.081518
matmul_32x32x96,main,jit_validation_matrix_multiply(16164609058853780336),1.625714
matmul_32x32x96,sub,copy-start,0.008571
matmul_32x32x96,sub,copy-done,0.517232
matmul_32x32x96,sub,fusion,1.014286
matmul_32x32x112,main,jit_validation_matrix_multiply(10159251581779383109),1.821518
matmul_32x32x112,sub,copy-start,0.008571
matmul_32x32x112,sub,copy-done,0.448482
matmul_32x32x112,sub,fusion,1.281339
matmul_32x32x128,main,jit_validation_matrix_multiply(3938140818101964127),1.562768
matmul_32x32x128,sub,copy-start,0.008571
matmul_32x32x128,sub,copy-done,0.45
matmul_32x32x128,sub,fusion,1.017232
matmul_32x48x32,main,jit_validation_matrix_multiply(10803950616944242919),1.567232
matmul_32x48x32,sub,copy-start,0.008572
matmul_32x48x32,sub,copy-done,0.451339
matmul_32x48x32,sub,fusion,1.024197
matmul_32x48x48,main,jit_validation_matrix_multiply(11020935034427209626),1.532946
matmul_32x48x48,sub,copy-start,0.008571
matmul_32x48x48,sub,copy-done,0.448571
matmul_32x48x48,sub,fusion,1.004375
matmul_32x48x64,main,jit_validation_matrix_multiply(12002455816365911717),1.547143
matmul_32x48x64,sub,copy-start,0.008571
matmul_32x48x64,sub,copy-done,0.451429
matmul_32x48x64,sub,fusion,1.002857
matmul_32x48x80,main,jit_validation_matrix_multiply(6401364538437144971),1.545625
matmul_32x48x80,sub,copy-start,0.008571
matmul_32x48x80,sub,copy-done,0.45
matmul_32x48x80,sub,fusion,1.00009
matmul_32x48x96,main,jit_validation_matrix_multiply(17042058171726228295),1.538572
matmul_32x48x96,sub,copy-start,0.008572
matmul_32x48x96,sub,copy-done,0.452857
matmul_32x48x96,sub,fusion,1.0
matmul_32x48x112,main,jit_validation_matrix_multiply(16702579897409735153),1.525714
matmul_32x48x112,sub,copy-start,0.008571
matmul_32x48x112,sub,copy-done,0.445714
matmul_32x48x112,sub,fusion,0.985803
matmul_32x48x128,main,jit_validation_matrix_multiply(15281200158585680830),1.542857
matmul_32x48x128,sub,copy-start,0.008572
matmul_32x48x128,sub,copy-done,0.44866
matmul_32x48x128,sub,fusion,1.0
matmul_32x64x32,main,jit_validation_matrix_multiply(10803950616944242919),1.567143
matmul_32x64x32,sub,copy-start,0.008571
matmul_32x64x32,sub,copy-done,0.452857
matmul_32x64x32,sub,fusion,1.022768
matmul_32x64x48,main,jit_validation_matrix_multiply(11020935034427209626),1.632946
matmul_32x64x48,sub,copy-start,0.008571
matmul_32x64x48,sub,copy-done,0.45134
matmul_32x64x48,sub,fusion,1.145625
matmul_32x64x64,main,jit_validation_matrix_multiply(7540723829657258479),1.642857
matmul_32x64x64,sub,copy-start,0.008571
matmul_32x64x64,sub,copy-done,0.478571
matmul_32x64x64,sub,fusion,1.081339
matmul_32x64x80,main,jit_validation_matrix_multiply(8580627072881246357),1.558571
matmul_32x64x80,sub,copy-start,0.008571
matmul_32x64x80,sub,copy-done,0.457143
matmul_32x64x80,sub,fusion,1.007232
matmul_32x64x96,main,jit_validation_matrix_multiply(15420377429276242695),1.605625
matmul_32x64x96,sub,copy-start,0.008572
matmul_32x64x96,sub,copy-done,0.492857
matmul_32x64x96,sub,fusion,1.017232
matmul_32x64x112,main,jit_validation_matrix_multiply(15332924022685069983),1.555803
matmul_32x64x112,sub,copy-start,0.008571
matmul_32x64x112,sub,copy-done,0.457143
matmul_32x64x112,sub,fusion,1.007143
matmul_32x64x128,main,jit_validation_matrix_multiply(14405667296965855293),1.551428
matmul_32x64x128,sub,copy-start,0.008571
matmul_32x64x128,sub,copy-done,0.454285
matmul_32x64x128,sub,fusion,1.011429
matmul_32x80x32,main,jit_validation_matrix_multiply(10803950616944242919),1.657143
matmul_32x80x32,sub,copy-start,0.008572
matmul_32x80x32,sub,copy-done,0.448572
matmul_32x80x32,sub,fusion,1.114375
matmul_32x80x48,main,jit_validation_matrix_multiply(11020935034427209626),1.537232
matmul_32x80x48,sub,copy-start,0.008572
matmul_32x80x48,sub,copy-done,0.447232
matmul_32x80x48,sub,fusion,1.001518
matmul_32x80x64,main,jit_validation_matrix_multiply(7540723829657258479),1.658661
matmul_32x80x64,sub,copy-start,0.008572
matmul_32x80x64,sub,copy-done,0.448482
matmul_32x80x64,sub,fusion,1.118482
matmul_32x80x80,main,jit_validation_matrix_multiply(8306751690011471817),1.587053
matmul_32x80x80,sub,copy-start,0.008571
matmul_32x80x80,sub,copy-done,0.461429
matmul_32x80x80,sub,fusion,1.031429
matmul_32x80x96,main,jit_validation_matrix_multiply(6193887987323460523),1.61991
matmul_32x80x96,sub,copy-start,0.008571
matmul_32x80x96,sub,copy-done,0.462946
matmul_32x80x96,sub,fusion,1.11866
matmul_32x80x112,main,jit_validation_matrix_multiply(2774366020183000971),1.631518
matmul_32x80x112,sub,copy-start,0.008572
matmul_32x80x112,sub,copy-done,0.515714
matmul_32x80x112,sub,fusion,1.024196
matmul_32x80x128,main,jit_validation_matrix_multiply(10170409362697260654),1.765625
matmul_32x80x128,sub,copy-start,0.008571
matmul_32x80x128,sub,copy-done,0.462947
matmul_32x80x128,sub,fusion,1.207232
matmul_32x96x32,main,jit_validation_matrix_multiply(10803950616944242919),1.565714
matmul_32x96x32,sub,copy-start,0.008571
matmul_32x96x32,sub,copy-done,0.448482
matmul_32x96x32,sub,fusion,1.025625
matmul_32x96x48,main,jit_validation_matrix_multiply(11020935034427209626),1.798572
matmul_32x96x48,sub,copy-start,0.008572
matmul_32x96x48,sub,copy-done,0.71009
matmul_32x96x48,sub,fusion,0.995714
matmul_32x96x64,main,jit_validation_matrix_multiply(7540723829657258479),1.775804
matmul_32x96x64,sub,copy-start,0.008572
matmul_32x96x64,sub,copy-done,0.677054
matmul_32x96x64,sub,fusion,1.017143
matmul_32x96x80,main,jit_validation_matrix_multiply(8306751690011471817),1.701429
matmul_32x96x80,sub,copy-start,0.008572
matmul_32x96x80,sub,copy-done,0.541429
matmul_32x96x80,sub,fusion,1.082768
matmul_32x96x96,main,jit_validation_matrix_multiply(6197481675576030473),1.632768
matmul_32x96x96,sub,copy-start,0.008571
matmul_32x96x96,sub,copy-done,0.502947
matmul_32x96x96,sub,fusion,1.045714
matmul_32x96x112,main,jit_validation_matrix_multiply(1827989945553081409),1.604375
matmul_32x96x112,sub,copy-start,0.008571
matmul_32x96x112,sub,copy-done,0.465625
matmul_32x96x112,sub,fusion,1.047054
matmul_32x96x128,main,jit_validation_matrix_multiply(14131606255600153495),1.6
matmul_32x96x128,sub,copy-start,0.008571
matmul_32x96x128,sub,copy-done,0.47
matmul_32x96x128,sub,fusion,1.037233
matmul_32x112x32,main,jit_validation_matrix_multiply(10803950616944242919),1.554375
matmul_32x112x32,sub,copy-start,0.008571
matmul_32x112x32,sub,copy-done,0.445714
matmul_32x112x32,sub,fusion,1.015715
matmul_32x112x48,main,jit_validation_matrix_multiply(11020935034427209626),1.551429
matmul_32x112x48,sub,copy-start,0.008572
matmul_32x112x48,sub,copy-done,0.454286
matmul_32x112x48,sub,fusion,1.002946
matmul_32x112x64,main,jit_validation_matrix_multiply(7540723829657258479),1.547232
matmul_32x112x64,sub,copy-start,0.008571
matmul_32x112x64,sub,copy-done,0.449911
matmul_32x112x64,sub,fusion,1.005714
matmul_32x112x80,main,jit_validation_matrix_multiply(8306751690011471817),1.577143
matmul_32x112x80,sub,copy-start,0.008572
matmul_32x112x80,sub,copy-done,0.46134
matmul_32x112x80,sub,fusion,1.022857
