kernel_name        ,total_cycles ,fusion_time        ,main_time ,copy_start_time ,copy_done_time
matmul_128x128x128 ,       509.0 ,3.7285710000000005 , 5.545713 ,       0.025713 ,      1.534554
matmul_144x128x128 ,       525.0 ,1.24               , 1.814286 ,       0.008571 ,      0.48134
matmul_160x128x128 ,       541.0 ,1.245714           , 1.83     ,       0.008571 ,      0.491339
matmul_176x128x128 ,       557.0 ,1.364286           , 1.955625 ,       0.008571 ,      0.497232
matmul_192x128x128 ,       573.0 ,1.438571           , 2.108571 ,       0.008571 ,      0.577143
matmul_208x128x128 ,       589.0 ,1.511428           , 2.174375 ,       0.008572 ,      0.570089
matmul_224x128x128 ,       605.0 ,1.302857           , 2.118661 ,       0.008572 ,      0.722857
matmul_240x128x128 ,       621.0 ,1.318483           , 1.94     ,       0.008572 ,      0.528571
matmul_256x128x128 ,       637.0 ,1.334196           , 2.198572 ,       0.008572 ,      0.772857
matmul_272x128x128 ,       653.0 ,1.345715           , 1.958482 ,       0.008572 ,      0.518572
matmul_288x128x128 ,       669.0 ,1.375715           , 2.201339 ,       0.008571 ,      0.731518
matmul_304x128x128 ,       685.0 ,1.397143           , 2.028571 ,       0.008571 ,      0.538571
matmul_320x128x128 ,       701.0 ,1.690089           , 2.318571 ,       0.008571 ,      0.534286
matmul_336x128x128 ,       717.0 ,1.421429           , 2.051518 ,       0.008571 ,      0.537143
matmul_352x128x128 ,       733.0 ,1.44               , 2.081429 ,       0.008571 ,      0.548571
matmul_368x128x128 ,       749.0 ,1.652947           , 2.31134  ,       0.008572 ,      0.562946
matmul_384x128x128 ,       765.0 ,1.482768           , 2.278571 ,       0.008571 ,      0.704286
matmul_400x128x128 ,       781.0 ,1.508482           , 2.187053 ,       0.008571 ,      0.585714
matmul_416x128x128 ,       797.0 ,1.518571           , 2.204286 ,       0.008571 ,      0.592946
matmul_432x128x128 ,       813.0 ,1.538571           , 2.214286 ,       0.008572 ,      0.584375
matmul_448x128x128 ,       829.0 ,1.557143           , 2.23009  ,       0.008572 ,      0.58
matmul_464x128x128 ,       845.0 ,1.57               , 2.268571 ,       0.008571 ,      0.604286
matmul_480x128x128 ,       861.0 ,1.601518           , 2.291339 ,       0.008571 ,      0.594375
matmul_496x128x128 ,       877.0 ,1.62               , 2.305804 ,       0.008572 ,      0.592947
matmul_512x128x128 ,       893.0 ,1.938572           , 2.62009  ,       0.008572 ,      0.588572
matmul_128x144x128 ,       509.0 ,1.237232           , 1.824286 ,       0.008572 ,      0.492768
matmul_128x160x128 ,      1019.0 ,1.257143           , 1.837143 ,       0.008572 ,      0.485804
matmul_128x176x128 ,      1019.0 ,1.272857           , 1.862857 ,       0.008572 ,      0.495715
matmul_128x192x128 ,      1019.0 ,1.285714           , 1.872946 ,       0.008571 ,      0.494286
matmul_128x208x128 ,      1019.0 ,1.527143           , 2.358571 ,       0.008571 ,      0.738661
matmul_128x224x128 ,      1019.0 ,1.485803           , 2.162857 ,       0.008571 ,      0.582857
