kernel_name,event_name,dur(us),bandwidth_gbps,bytes_accessed,raw_bytes_accessed,shape_with_layout
matmul_2048x2048x2048,copy-done,8.744286,959.327,4194316,8388632,"f16[2048,2048]{1,0:T(8,128)(2,1)S(3)}"
matmul_2048x2048x3072,copy-done,12.871339,977.593,6291468,12582936,"f16[2048,3072]{1,0:T(8,128)(2,1)S(3)}"
matmul_2048x2048x4096,copy-done,17.167053,977.293,8388620,16777240,"f16[2048,4096]{1,0:T(8,128)(2,1)S(3)}"
matmul_2048x3072x2048,copy-done,12.908571,974.774,6291468,12582936,"f16[2048,3072]{1,0:T(8,128)(2,1)S(3)}"
matmul_2048x3072x3072,copy-done,19.041429,991.228,9437196,18874392,"f16[3072,3072]{1,0:T(8,128)(2,1)S(3)}"
matmul_2048x3072x4096,copy-done,25.435714,989.39,12582924,25165848,"f16[4096,3072]{1,0:T(8,128)(2,1)S(3)}"
matmul_2048x4096x2048,copy-done,17.085715,981.945,8388620,16777240,"f16[2048,4096]{1,0:T(8,128)(2,1)S(3)}"
matmul_2048x4096x3072,copy-done,25.462857,988.336,12582924,25165848,"f16[3072,4096]{1,0:T(8,128)(2,1)S(3)}"
matmul_2048x4096x4096,copy-done,33.644375,997.327,16777228,33554456,"f16[4096,4096]{1,0:T(8,128)(2,1)S(3)}"
matmul_3072x2048x2048,copy-done,12.952946,971.434,6291468,12582936,"f16[3072,2048]{1,0:T(8,128)(2,1)S(3)}"
matmul_3072x2048x3072,copy-done,19.217143,982.164,9437196,18874392,"f16[3072,3072]{1,0:T(8,128)(2,1)S(3)}"
matmul_3072x2048x4096,copy-done,25.124286,1001.654,12582924,25165848,"f16[3072,4096]{1,0:T(8,128)(2,1)S(3)}"
matmul_3072x3072x2048,copy-done,12.877143,977.153,6291468,12582936,"f16[3072,2048]{1,0:T(8,128)(2,1)S(3)}"
matmul_3072x3072x3072,copy-done,19.312947,977.292,9437196,18874392,"f16[3072,3072]{1,0:T(8,128)(2,1)S(3)}"
matmul_3072x3072x4096,copy-done,25.154285,1000.46,12582924,25165848,"f16[3072,4096]{1,0:T(8,128)(2,1)S(3)}"
matmul_3072x4096x2048,copy-done,17.188572,976.069,8388620,16777240,"f16[2048,4096]{1,0:T(8,128)(2,1)S(3)}"
matmul_3072x4096x3072,copy-done,25.418482,990.061,12582924,25165848,"f16[3072,4096]{1,0:T(8,128)(2,1)S(3)}"
matmul_3072x4096x4096,copy-done,33.68,996.272,16777228,33554456,"f16[4096,4096]{1,0:T(8,128)(2,1)S(3)}"
matmul_4096x2048x2048,copy-done,17.167143,977.288,8388620,16777240,"f16[4096,2048]{1,0:T(8,128)(2,1)S(3)}"
matmul_4096x2048x3072,copy-done,25.44866,988.887,12582924,25165848,"f16[4096,3072]{1,0:T(8,128)(2,1)S(3)}"
matmul_4096x2048x4096,copy-done,33.471517,1002.478,16777228,33554456,"f16[4096,4096]{1,0:T(8,128)(2,1)S(3)}"
matmul_4096x3072x2048,copy-done,17.438571,962.077,8388620,16777240,"f16[4096,2048]{1,0:T(8,128)(2,1)S(3)}"
matmul_4096x3072x3072,copy-done,25.231429,997.401,12582924,25165848,"f16[4096,3072]{1,0:T(8,128)(2,1)S(3)}"
matmul_4096x3072x4096,copy-done,33.494375,1001.794,16777228,33554456,"f16[4096,4096]{1,0:T(8,128)(2,1)S(3)}"
matmul_4096x4096x2048,copy-done,16.974286,988.391,8388620,16777240,"f16[4096,2048]{1,0:T(8,128)(2,1)S(3)}"
matmul_4096x4096x3072,copy-done,25.472947,987.944,12582924,25165848,"f16[4096,3072]{1,0:T(8,128)(2,1)S(3)}"
matmul_4096x4096x4096,copy-done,33.65,997.161,16777228,33554456,"f16[4096,4096]{1,0:T(8,128)(2,1)S(3)}"
