LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 509, 0, 25.147347740667975, 100.0, 20.09419152276295,
1, 1019, 0, 18.842001962708537, 75.0, 15.070643642072215,
2, 1019, 0, 25.122669283611383, 100.0, 20.09419152276295,
3, 1529, 0, 20.928711576193592, 83.33333333333334, 16.74515960230246,
4, 1529, 0, 25.11445389143231, 100.0, 20.09419152276295,
5, 2039, 0, 21.971554683668465, 87.5, 17.582417582417584,
6, 2039, 0, 25.110348209906817, 100.0, 20.09419152276295,
7, 1019, 0, 18.842001962708537, 75.0, 15.070643642072215,
8, 2039, 0, 14.124570868072585, 56.25, 11.302982731554161,
9, 2039, 0, 18.832761157430113, 75.0, 15.070643642072215,
10, 3059, 0, 15.691402419091206, 62.5, 12.558869701726847,
11, 3059, 0, 18.829682902909447, 75.0, 15.070643642072215,
12, 4079, 0, 16.474626133856336, 65.625, 13.18681318681319,
13, 4079, 0, 18.82814415297867, 75.0, 15.070643642072215,
14, 1019, 0, 25.122669283611383, 100.0, 20.09419152276295,
15, 2039, 0, 18.832761157430113, 75.0, 15.070643642072215,
16, 2039, 0, 25.110348209906817, 100.0, 20.09419152276295,
17, 3059, 0, 20.92186989212161, 83.33333333333334, 16.74515960230246,
18, 3059, 0, 25.10624387054593, 100.0, 20.09419152276295,
19, 4079, 0, 21.966168178475115, 87.5, 17.582417582417584,
20, 4079, 0, 25.10419220397156, 100.0, 20.09419152276295,
21, 1529, 0, 20.928711576193592, 83.33333333333334, 16.74515960230246,
22, 3059, 0, 15.691402419091206, 62.5, 12.558869701726847,
23, 3059, 0, 20.92186989212161, 83.33333333333334, 16.74515960230246,
24, 4589, 0, 17.43299193724123, 69.44444444444444, 13.954299668585385,
25, 4589, 0, 20.919590324689477, 83.33333333333334, 16.74515960230246,
26, 6119, 0, 18.303644386337638, 72.91666666666666, 14.652014652014653,
27, 6119, 0, 20.918450727243012, 83.33333333333334, 16.74515960230246,
28, 1529, 0, 25.11445389143231, 100.0, 20.09419152276295,
29, 3059, 0, 18.829682902909447, 75.0, 15.070643642072215,
30, 3059, 0, 25.10624387054593, 100.0, 20.09419152276295,
31, 4589, 0, 20.919590324689477, 83.33333333333334, 16.74515960230246,
32, 4589, 0, 25.10350838962737, 100.0, 20.09419152276295,
33, 6119, 0, 21.964373263605165, 87.5, 17.582417582417587,
34, 6119, 0, 25.102140872691617, 100.0, 20.09419152276295,
35, 2039, 0, 21.971554683668465, 87.5, 17.582417582417584,
36, 4079, 0, 16.474626133856336, 65.625, 13.18681318681319,
37, 4079, 0, 21.966168178475115, 87.5, 17.582417582417584,
38, 6119, 0, 18.303644386337638, 72.91666666666666, 14.652014652014653,
39, 6119, 0, 21.964373263605165, 87.5, 17.582417582417587,
40, 8159, 0, 19.21804142664542, 76.5625, 15.38461538461539,
41, 8159, 0, 21.963475916166196, 87.5, 17.58241758241759,
42, 2039, 0, 25.110348209906817, 100.0, 20.09419152276295,
43, 4079, 0, 18.82814415297867, 75.0, 15.070643642072215,
44, 4079, 0, 25.10419220397156, 100.0, 20.09419152276295,
45, 6119, 0, 20.918450727243012, 83.33333333333334, 16.74515960230246,
46, 6119, 0, 25.102140872691617, 100.0, 20.09419152276295,
47, 8159, 0, 21.963475916166196, 87.5, 17.582417582417587,
48, 8159, 0, 25.101115332761367, 100.0, 20.09419152276295,
49, 573, 0, 33.50785340314136, 100.0, 27.38944365192582,
50, 1147, 0, 25.108979947689626, 75.0, 20.542082738944366,
51, 1147, 0, 33.47863993025283, 100.0, 27.38944365192582,
52, 1721, 0, 27.890761185357352, 83.33333333333334, 22.82453637660485,
53, 1721, 0, 33.46891342242882, 100.0, 27.38944365192582,
54, 2295, 0, 29.281045751633986, 87.5, 23.965763195435095,
55, 2295, 0, 33.4640522875817, 100.0, 27.38944365192582,
56, 1147, 0, 25.108979947689626, 75.0, 20.542082738944366,
57, 2295, 0, 18.823529411764707, 56.25, 15.406562054208276,
58, 2295, 0, 25.098039215686274, 75.0, 20.542082738944366,
59, 3443, 0, 20.91199535288992, 62.5, 17.118402282453637,
60, 3443, 0, 25.094394423467907, 75.0, 20.542082738944366,
61, 4591, 0, 21.956000871269875, 65.625, 17.974322396576323,
62, 4591, 0, 25.09257242430843, 75.0, 20.54208273894437,
63, 1147, 0, 33.47863993025283, 100.0, 27.38944365192582,
64, 2295, 0, 25.098039215686274, 75.0, 20.542082738944366,
65, 2295, 0, 33.4640522875817, 100.0, 27.38944365192582,
66, 3443, 0, 27.882660470519895, 83.33333333333334, 22.82453637660485,
67, 3443, 0, 33.459192564623876, 100.0, 27.38944365192582,
68, 4591, 0, 29.274667828359835, 87.5, 23.965763195435095,
69, 4591, 0, 33.45676323241124, 100.0, 27.38944365192582,
70, 1721, 0, 27.890761185357352, 83.33333333333334, 22.82453637660485,
71, 3443, 0, 20.91199535288992, 62.5, 17.118402282453637,
72, 3443, 0, 27.882660470519895, 83.33333333333334, 22.824536376604854,
73, 5165, 0, 23.23330106485963, 69.44444444444444, 19.020446980504044,
74, 5165, 0, 27.87996127783156, 83.33333333333334, 22.82453637660485,
75, 6887, 0, 24.393785392768986, 72.91666666666666, 19.971469329529246,
76, 6887, 0, 27.87861187745027, 83.33333333333334, 22.824536376604854,
77, 1721, 0, 33.46891342242882, 100.0, 27.38944365192582,
78, 3443, 0, 25.094394423467907, 75.0, 20.542082738944366,
79, 3443, 0, 33.459192564623876, 100.0, 27.38944365192582,
80, 5165, 0, 27.87996127783156, 83.33333333333334, 22.82453637660485,
81, 5165, 0, 33.45595353339787, 100.0, 27.38944365192582,
82, 6887, 0, 29.272542471322783, 87.5, 23.9657631954351,
83, 6887, 0, 33.45433425294032, 100.0, 27.389443651925827,
84, 2295, 0, 29.281045751633986, 87.5, 23.965763195435095,
85, 4591, 0, 21.956000871269875, 65.625, 17.974322396576323,
86, 4591, 0, 29.274667828359835, 87.5, 23.965763195435095,
87, 6887, 0, 24.393785392768986, 72.91666666666666, 19.971469329529246,
88, 6887, 0, 29.272542471322783, 87.5, 23.9657631954351,
89, 9183, 0, 25.612544919960797, 76.5625, 20.97004279600571,
90, 9183, 0, 29.271479908526626, 87.5, 23.9657631954351,
91, 2295, 0, 33.4640522875817, 100.0, 27.38944365192582,
92, 4591, 0, 25.09257242430843, 75.0, 20.542082738944366,
93, 4591, 0, 33.45676323241124, 100.0, 27.38944365192582,
94, 6887, 0, 27.87861187745027, 83.33333333333334, 22.824536376604854,
95, 6887, 0, 33.45433425294032, 100.0, 27.389443651925827,
96, 9183, 0, 29.271479908526626, 87.5, 23.9657631954351,
97, 9183, 0, 33.453119895459, 100.0, 27.389443651925827,
98, 637, 0, 40.1883830455259, 100.0, 33.464052287581694,
99, 1275, 0, 30.11764705882353, 75.0, 25.098039215686274,
100, 1275, 0, 40.15686274509804, 100.0, 33.464052287581694,
