kernel_name,total_cycles,main_avg,main_min,main_max,main_stddev,fusion_avg,fusion_min,fusion_max,fusion_stddev,copy-start_avg,copy-start_min,copy-start_max,copy-start_stddev,copy-done_avg,copy-done_min,copy-done_max,copy-done_stddev
matmul_128x128x128,509.0,1.499995,1.422857,2.012857,0.143393,1.352705,1.234286,1.545714,0.087238,0.008571,0.008571,0.008572,0.0,0.086786,0.054375,0.685715,0.137405
matmul_128x192x128,1019.0,1.631853,1.57,1.994375,0.104339,1.487563,1.381428,1.644197,0.071247,0.008571,0.008571,0.008572,0.0,0.078491,0.054375,0.52,0.101291
matmul_128x256x128,1019.0,1.583495,1.554285,1.991518,0.094636,1.435455,1.41,1.505803,0.017254,0.008571,0.008571,0.008572,0.0,0.0785,0.054375,0.522857,0.101944
matmul_128x320x128,1529.0,1.660442,1.604286,2.257143,0.149822,1.508357,1.474196,1.701518,0.069749,0.008571,0.008571,0.008572,0.0,0.080696,0.054375,0.561429,0.110289
matmul_128x384x128,1529.0,1.790634,1.751428,2.245714,0.116153,1.639768,1.625625,1.85866,0.050395,0.008571,0.008571,0.008572,0.0,0.080308,0.054375,0.557143,0.109395
matmul_128x448x128,2039.0,1.847058,1.77991,2.218571,0.11443,1.696424,1.562767,1.88,0.086463,0.008571,0.008571,0.008572,0.0,0.08096,0.054375,0.574196,0.113158
matmul_128x512x128,2039.0,1.922196,1.852857,2.404285,0.133841,1.7665,1.625804,1.951339,0.088373,0.008571,0.008571,0.008572,0.0,0.086647,0.054375,0.687054,0.137744
matmul_192x128x128,1019.0,1.534795,1.474375,1.874375,0.107402,1.391219,1.289911,1.57,0.080333,0.008572,0.008571,0.008572,0.0,0.077263,0.054375,0.492857,0.095345
matmul_192x192x128,1147.0,1.712844,1.642946,2.07,0.106853,1.570504,1.505715,1.76,0.075738,0.008572,0.008571,0.008572,0.0,0.076888,0.054375,0.494286,0.09576
matmul_192x256x128,1147.0,1.759433,1.675714,2.108571,0.118151,1.616152,1.538571,1.798661,0.083335,0.008571,0.008571,0.008572,0.0,0.078563,0.054375,0.520089,0.101295
matmul_192x320x128,1721.0,1.945701,1.887232,2.455625,0.130552,1.795442,1.76,1.952946,0.057525,0.008571,0.008571,0.008572,0.0,0.080509,0.054375,0.562947,0.110681
matmul_192x384x128,1721.0,1.689286,1.637143,2.337143,0.151862,1.54187,1.514286,1.698571,0.048114,0.008571,0.008571,0.008572,0.0,0.080853,0.054375,0.567053,0.111544
matmul_192x448x128,2295.0,2.190362,2.142857,2.638571,0.112939,2.046585,1.998661,2.212857,0.042268,0.008571,0.008571,0.008572,0.0,0.081442,0.054375,0.58,0.114379
matmul_192x512x128,2295.0,2.275339,2.215715,2.717054,0.122498,2.123808,2.064196,2.362946,0.071153,0.008572,0.008571,0.008572,0.0,0.082201,0.054375,0.594285,0.117482
matmul_256x128x128,1019.0,2.862996,1.52,27.655625,5.688315,1.439286,1.391429,1.645804,0.079636,0.008219,0.001518,0.008572,0.001537,0.077353,0.054375,0.497143,0.096308
matmul_256x192x128,1147.0,1.740219,1.672858,2.12,0.105099,1.598433,1.535803,1.76,0.061276,0.008572,0.008571,0.008572,0.0,0.078848,0.054375,0.525714,0.10252
