LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 509, 0, 25.147347740667975, 100.0, 20.09419152276295,
1, 1019, 0, 25.122669283611383, 100.0, 20.09419152276295,
2, 1529, 0, 25.11445389143231, 100.0, 20.09419152276295,
3, 2039, 0, 25.110348209906817, 100.0, 20.09419152276295,
4, 2549, 0, 25.107885445272657, 100.0, 20.094191522762955,
5, 3059, 0, 25.10624387054593, 100.0, 20.09419152276295,
6, 3569, 0, 25.105071448585036, 100.0, 20.09419152276295,
7, 4079, 0, 25.10419220397156, 100.0, 20.09419152276295,
8, 637, 0, 40.1883830455259, 100.0, 33.464052287581694,
9, 1275, 0, 40.15686274509804, 100.0, 33.464052287581694,
10, 1913, 0, 40.14636696288552, 100.0, 33.464052287581694,
11, 2551, 0, 40.14112112896903, 100.0, 33.464052287581694,
12, 3189, 0, 40.13797428661022, 100.0, 33.464052287581694,
13, 3827, 0, 40.135876665795664, 100.0, 33.464052287581694,
14, 4465, 0, 40.13437849944009, 100.0, 33.4640522875817,
15, 5103, 0, 40.13325494806976, 100.0, 33.4640522875817,
16, 765, 0, 50.19607843137255, 100.0, 43.00111982082866,
17, 1531, 0, 50.163291966035274, 100.0, 43.00111982082866,
18, 2297, 0, 50.15237265999129, 100.0, 43.00111982082866,
19, 3063, 0, 50.146914789422134, 100.0, 43.00111982082866,
20, 3829, 0, 50.1436406372421, 100.0, 43.00111982082867,
21, 4595, 0, 50.14145810663765, 100.0, 43.00111982082866,
22, 5361, 0, 50.139899272523785, 100.0, 43.00111982082866,
23, 6127, 0, 50.13873021054349, 100.0, 43.00111982082866,
24, 893, 0, 57.33482642777156, 100.0, 50.146914789422134,
25, 1787, 0, 57.302742025741466, 100.0, 50.146914789422134,
26, 2681, 0, 57.29205520328236, 100.0, 50.146914789422134,
27, 3575, 0, 57.28671328671329, 100.0, 50.146914789422134,
28, 4469, 0, 57.283508614902665, 100.0, 50.146914789422134,
29, 5363, 0, 57.28137236621294, 100.0, 50.146914789422134,
30, 6257, 0, 57.27984657183954, 100.0, 50.146914789422134,
31, 7151, 0, 57.27870227940148, 100.0, 50.146914789422134,
32, 1021, 0, 62.68364348677767, 100.0, 55.7006092254134,
33, 2043, 0, 62.65296133137543, 100.0, 55.7006092254134,
34, 3065, 0, 62.64274061990212, 100.0, 55.7006092254134,
35, 4087, 0, 62.63763151455836, 100.0, 55.7006092254134,
36, 5109, 0, 62.63456645136034, 100.0, 55.7006092254134,
37, 6131, 0, 62.63252324253792, 100.0, 55.7006092254134,
38, 7153, 0, 62.63106388927723, 100.0, 55.7006092254134,
39, 8175, 0, 62.62996941896024, 100.0, 55.7006092254134,
40, 1149, 0, 66.84073107049609, 100.0, 60.1409553641347,
41, 2299, 0, 66.81165724227925, 100.0, 60.1409553641347,
