Layer,M,N,K,
matmul_128x128x128,128,128,128,
matmul_128x128x256,128,128,256,
matmul_128x128x384,128,128,384,
matmul_128x128x512,128,128,512,
matmul_128x128x640,128,128,640,
matmul_128x128x768,128,128,768,
matmul_128x128x896,128,128,896,
matmul_128x128x1024,128,128,1024,
matmul_128x256x128,128,256,128,
matmul_128x256x256,128,256,256,
matmul_128x256x384,128,256,384,
matmul_128x256x512,128,256,512,
matmul_128x256x640,128,256,640,
matmul_128x256x768,128,256,768,
matmul_128x256x896,128,256,896,
matmul_128x256x1024,128,256,1024,
matmul_128x384x128,128,384,128,
matmul_128x384x256,128,384,256,
matmul_128x384x384,128,384,384,
matmul_128x384x512,128,384,512,
matmul_128x384x640,128,384,640,
matmul_128x384x768,128,384,768,
matmul_128x384x896,128,384,896,
matmul_128x384x1024,128,384,1024,
matmul_128x512x128,128,512,128,
matmul_128x512x256,128,512,256,
matmul_128x512x384,128,512,384,
matmul_128x512x512,128,512,512,
matmul_128x512x640,128,512,640,
matmul_128x512x768,128,512,768,
matmul_128x512x896,128,512,896,
matmul_128x512x1024,128,512,1024,
matmul_128x640x128,128,640,128,
matmul_128x640x256,128,640,256,
matmul_128x640x384,128,640,384,
matmul_128x640x512,128,640,512,
matmul_128x640x640,128,640,640,
matmul_128x640x768,128,640,768,
matmul_128x640x896,128,640,896,
matmul_128x640x1024,128,640,1024,
matmul_128x768x128,128,768,128,
matmul_128x768x256,128,768,256,
matmul_128x768x384,128,768,384,
matmul_128x768x512,128,768,512,
matmul_128x768x640,128,768,640,
matmul_128x768x768,128,768,768,
matmul_128x768x896,128,768,896,
matmul_128x768x1024,128,768,1024,
matmul_128x896x128,128,896,128,
matmul_128x896x256,128,896,256,
matmul_128x896x384,128,896,384,
matmul_128x896x512,128,896,512,
matmul_128x896x640,128,896,640,
matmul_128x896x768,128,896,768,
matmul_128x896x896,128,896,896,
matmul_128x896x1024,128,896,1024,
matmul_128x1024x128,128,1024,128,
matmul_128x1024x256,128,1024,256,
