kernel_name,total_cycles,main_avg,main_min,main_max,main_stddev,fusion_avg,fusion_min,fusion_max,fusion_stddev,copy-start_avg,copy-start_min,copy-start_max,copy-start_stddev,copy-done_avg,copy-done_min,copy-done_max,copy-done_stddev
matmul_128x128x128,509.0,1.503808,1.422946,2.108572,0.158727,1.355844,1.308571,1.517232,0.073295,0.008571,0.008571,0.008572,0.0,0.086397,0.054375,0.674197,0.134851
matmul_128x128x256,1019.0,1.701527,1.642768,2.068571,0.115954,1.561357,1.462857,1.788571,0.080183,0.008572,0.008571,0.008572,0.0,0.078326,0.054375,0.512768,0.099669
matmul_128x128x384,1529.0,2.030214,1.941429,2.615625,0.160561,1.895009,1.832768,2.078482,0.08974,0.008572,0.008571,0.008572,0.0,0.08033,0.054375,0.555714,0.109062
matmul_128x128x512,2039.0,2.435522,2.357143,3.165714,0.182509,2.312656,2.265714,2.531518,0.078707,0.008571,0.008571,0.008572,0.0,0.086487,0.054375,0.68,0.136163
matmul_128x128x640,2549.0,2.764433,2.662768,3.234286,0.138497,2.643938,2.562946,2.814286,0.089091,0.008571,0.008571,0.008572,0.0,0.084201,0.054375,0.634286,0.1262
matmul_128x128x768,3059.0,2.726862,2.664285,3.468572,0.177265,2.594107,2.541339,2.767143,0.05104,0.008571,0.008571,0.008572,0.0,0.097085,0.054375,0.891428,0.182236
matmul_128x128x896,3569.0,3.083344,2.997053,3.778482,0.180685,2.951438,2.88,3.14,0.086744,0.008572,0.008571,0.008572,0.0,0.095509,0.054375,0.861429,0.175715
matmul_128x128x1024,4079.0,3.090723,2.982857,3.657232,0.168726,2.964701,2.87,3.167143,0.109703,0.008571,0.008571,0.008572,0.0,0.090339,0.054375,0.751428,0.151665
matmul_128x256x128,1019.0,2.201071,1.584196,12.581518,2.385867,1.491799,1.415715,1.668661,0.06849,0.008219,0.001518,0.008572,0.001537,0.087612,0.044286,0.711518,0.143155
matmul_128x256x256,2039.0,1.886004,1.84,2.355804,0.110822,1.737076,1.697232,1.83,0.030608,0.008572,0.008571,0.008572,0.0,0.082504,0.054375,0.601339,0.11903
matmul_128x256x384,3059.0,4.206433,2.04,44.477143,9.239631,1.950719,1.9,2.142857,0.056827,0.008281,0.002767,0.008572,0.001265,0.085013,0.044375,0.662857,0.132589
matmul_128x256x512,4079.0,2.236009,2.145625,2.812768,0.157275,2.079388,1.994196,2.291518,0.092496,0.008571,0.008571,0.008572,0.0,0.090196,0.054375,0.754285,0.152353
matmul_128x256x640,5099.0,2.536147,2.451428,3.414286,0.210802,2.373585,2.327054,2.561518,0.072262,0.008571,0.008571,0.008572,0.0,0.092558,0.054375,0.798572,0.161972
matmul_128x256x768,6119.0,2.879362,2.791518,3.592857,0.182236,2.71821,2.662857,2.910089,0.078922,0.008572,0.008571,0.008572,0.0,0.0955,0.054375,0.861339,0.175697
matmul_128x256x896,7139.0,3.239062,3.112768,3.95991,0.205883,3.075942,2.982946,3.314286,0.117919,0.008571,0.008571,0.008572,0.0,0.098353,0.054375,0.918571,0.188172
