kernel_name,event_type,event_name,dur(us)
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.908482
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.915803
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.908571
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.908482
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.905803
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.907143
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.90866
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.91
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.907143
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.907143
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.907232
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.90866
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.907143
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.907143
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.908571
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.90866
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.907232
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.907143
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.909911
"relu_(128,)",main,jit_validation_relu(9779386003124299225),0.907143
"relu_(128,)",sub,broadcast_maximum_fusion,0.882947
"relu_(128,)",sub,broadcast_maximum_fusion,0.892767
"relu_(128,)",sub,broadcast_maximum_fusion,0.885625
"relu_(128,)",sub,broadcast_maximum_fusion,0.882947
"relu_(128,)",sub,broadcast_maximum_fusion,0.882857
"relu_(128,)",sub,broadcast_maximum_fusion,0.884286
"relu_(128,)",sub,broadcast_maximum_fusion,0.885714
"relu_(128,)",sub,broadcast_maximum_fusion,0.885715
"relu_(128,)",sub,broadcast_maximum_fusion,0.882857
"relu_(128,)",sub,broadcast_maximum_fusion,0.884286
"relu_(128,)",sub,broadcast_maximum_fusion,0.884196
"relu_(128,)",sub,broadcast_maximum_fusion,0.885714
"relu_(128,)",sub,broadcast_maximum_fusion,0.884285
"relu_(128,)",sub,broadcast_maximum_fusion,0.882857
"relu_(128,)",sub,broadcast_maximum_fusion,0.885625
"relu_(128,)",sub,broadcast_maximum_fusion,0.885714
"relu_(128,)",sub,broadcast_maximum_fusion,0.884196
"relu_(128,)",sub,broadcast_maximum_fusion,0.884285
"relu_(128,)",sub,broadcast_maximum_fusion,0.885714
"relu_(128,)",sub,broadcast_maximum_fusion,0.882857
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.912767
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.898482
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.914286
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.898482
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.912947
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.899911
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.914286
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.898572
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.914285
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.897232
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.914286
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.897232
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.912946
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.905714
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.912857
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.898482
"relu_(256,)",main,jit_validation_relu(13647920308258326474),0.914286
