kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"relu_(32, 8, 32)",1.383433,1.321428,1.568572,0.088232,20,8192
"relu_(16, 16, 24)",1.374469,1.305625,1.585625,0.094515,20,6144
"relu_(8, 32, 32)",1.369228,1.319911,1.52009,0.073876,20,8192
"relu_(16, 32, 16)",1.34471,1.314286,1.537142,0.06667,20,8192
"relu_(32, 32, 8)",1.34071,1.299911,1.501518,0.072473,20,8192
"relu_(16, 16, 32)",1.334375,1.290089,1.565715,0.082494,20,8192
"relu_(24, 16, 16)",1.320344,1.304285,1.48991,0.041398,20,6144
"relu_(16, 24, 16)",1.319053,1.297053,1.481518,0.044529,20,6144
"relu_(32, 16, 16)",1.319,1.302946,1.450089,0.032693,20,8192
"relu_(16, 16, 16)",1.3155,1.292857,1.480089,0.053951,20,4096
"relu_(32, 8, 24)",1.254299,1.194286,1.39,0.083686,20,6144
"relu_(8, 40, 24)",1.249625,1.187142,1.401429,0.08158,20,7680
"relu_(24, 24, 8)",1.247661,1.187053,1.437143,0.089586,20,4608
"relu_(40, 24, 8)",1.239473,1.214286,1.405714,0.048982,20,7680
"relu_(24, 32, 8)",1.234348,1.187053,1.397143,0.079392,20,6144
"relu_(32, 24, 8)",1.227491,1.182857,1.397143,0.07464,20,6144
"relu_(24, 8, 24)",1.222728,1.185625,1.4,0.070954,20,4608
"relu_(8, 24, 24)",1.218313,1.18,1.4,0.077242,20,4608
"relu_(8, 24, 32)",1.217107,1.18134,1.434375,0.071818,20,6144
"relu_(24, 8, 32)",1.214514,1.182857,1.381518,0.06739,20,6144
"relu_(24, 8, 40)",1.213487,1.184197,1.411518,0.059841,20,7680
"relu_(40, 8, 24)",1.209652,1.18,1.41866,0.071969,20,7680
"relu_(24, 40, 8)",1.208933,1.180089,1.411429,0.062276,20,7680
"relu_(8, 32, 24)",1.204214,1.182857,1.368661,0.047073,20,6144
"relu_(8, 24, 40)",1.2015,1.184196,1.277233,0.029604,20,7680
"relu_(24, 16, 8)",1.153973,1.114375,1.330089,0.072316,20,3072
