kernel_name,event_type,event_name,dur(us),cycles,corr_dur_cycles
matmul_64x64,main,jit_validation_matrix_multiply(7994432698121489405),1.67,445,0.340857
matmul_64x64,sub,copy-start,0.008572,,
matmul_64x64,sub,copy-done,0.485625,,
matmul_64x64,sub,fusion,1.091429,,
matmul_256x256,main,jit_validation_matrix_multiply(2055930249367015501),2.837143,2551,0.340857
matmul_256x256,sub,copy-start,0.008571,,
matmul_256x256,sub,copy-done,0.611429,,
matmul_256x256,sub,fusion,2.165714,,
matmul_1024x1024,main,jit_validation_matrix_multiply(7173381252523150359),46.51,89983,0.340857
matmul_1024x1024,sub,copy-start,0.008572,,
matmul_1024x1024,sub,copy-done,2.728572,,
matmul_1024x1024,sub,fusion,43.688572,,
matmul_4096x4096,main,jit_validation_matrix_multiply(3984534765198587515),987.734286,4585471,0.340857
matmul_4096x4096,sub,copy-start,0.008571,,
matmul_4096x4096,sub,copy-done,33.445715,,
matmul_4096x4096,sub,fusion,954.195625,,
dot_product_64,main,jit_validation_dot_product(7086617837803401795),1.967143,382,0.340857
dot_product_64,sub,copy-start,0.008571,,
dot_product_64,sub,copy-done,0.422946,,
dot_product_64,sub,convert_reduce_fusion,0.941518,,
dot_product_256,main,jit_validation_dot_product(11759231939124788895),2.034375,765,0.340857
dot_product_256,sub,copy-start,0.008572,,
dot_product_256,sub,copy-done,0.424196,,
dot_product_256,sub,convert_reduce_fusion,0.935714,,
dot_product_1024,main,jit_validation_dot_product(11860480093130033032),1.687232,3063,0.340857
dot_product_1024,sub,convert_reduce_fusion,0.998571,,
dot_product_4096,main,jit_validation_dot_product(2337568102751444249),2.01,12255,0.340857
dot_product_4096,sub,convert_reduce_fusion,1.418571,,
matmul_dot_product_64,main,jit_validation_matrix_multiply(5347424657947462235),1.962768,382,0.340857
matmul_dot_product_64,sub,copy-start,0.008572,,
matmul_dot_product_64,sub,copy-done,0.427143,,
matmul_dot_product_64,sub,fusion.1,0.934286,,
matmul_dot_product_256,main,jit_validation_matrix_multiply(14918401077784821246),3.292768,765,0.340857
matmul_dot_product_256,sub,copy-start,0.008572,,
matmul_dot_product_256,sub,reduce.1,1.255804,,
matmul_dot_product_256,sub,copy-done,0.01,,
matmul_dot_product_256,sub,reduce.2,0.862767,,
matmul_dot_product_256,sub,convert_reduce_fusion,0.562768,,
matmul_dot_product_1024,main,jit_validation_matrix_multiply(4063847898946498717),3.382768,3063,0.340857
matmul_dot_product_1024,sub,copy-start,0.008572,,
matmul_dot_product_1024,sub,reduce.1,1.304286,,
matmul_dot_product_1024,sub,copy-done,0.009911,,
matmul_dot_product_1024,sub,reduce.2,0.905714,,
matmul_dot_product_1024,sub,convert_reduce_fusion,0.56,,
matmul_dot_product_4096,main,jit_validation_matrix_multiply(3979798301934815223),4.252857,12255,0.340857
matmul_dot_product_4096,sub,copy-start,0.008571,,
matmul_dot_product_4096,sub,reduce.1,1.549911,,
matmul_dot_product_4096,sub,copy-done,0.00866,,
matmul_dot_product_4096,sub,reduce.2,1.13,,
matmul_dot_product_4096,sub,convert_reduce_fusion,0.962857,,
convolution_64x64,main,jit_validation_convolve_scalesim(17197763108541885217),39.342857,4225,0.340857
convolution_64x64,sub,copy-start,0.008571,,
convolution_64x64,sub,copy.14,1.225715,,
convolution_64x64,sub,copy.16,5.66,,
convolution_64x64,sub,slice.2,1.518571,,
convolution_64x64,sub,copy-done,3.238571,,
convolution_64x64,sub,convolution_select_fusion,14.658571,,
convolution_64x64,sub,copy.18,5.640089,,
convolution_64x64,sub,slice_bitcast_fusion,2.655714,,
convolution_64x64,sub,copy.19,4.540089,,
convolution_256x256,main,jit_validation_convolve_scalesim(12694998553859822764),351.35991,64897,0.340857
convolution_256x256,sub,copy-start,0.008571,,
convolution_256x256,sub,copy-start.1,0.008572,,
convolution_256x256,sub,copy.14,3.031517,,
convolution_256x256,sub,copy.16,37.814375,,
convolution_256x256,sub,slice.2,5.027142,,
convolution_256x256,sub,copy-done,0.032768,,
convolution_256x256,sub,copy-done.1,0.197232,,
convolution_256x256,sub,convolution_select_fusion,188.137142,,
convolution_256x256,sub,copy.18,67.961429,,
convolution_256x256,sub,slice_bitcast_fusion,18.202768,,
