name,main_event_duration,scale_sim_total_cycles
matmul_2x2x2,1.075803,383.0
matmul_2x2x8,1.074285,383.0
matmul_2x2x32,1.069911,383.0
matmul_2x2x128,1.082947,383.0
matmul_2x2x512,1.485714,1535.0
matmul_2x8x2,1.074375,383.0
matmul_2x8x8,1.384286,383.0
matmul_2x8x32,1.39,383.0
matmul_2x8x128,1.408572,383.0
matmul_2x8x512,1.468482,1535.0
matmul_2x32x2,1.091429,383.0
matmul_2x32x8,1.465714,383.0
matmul_2x32x32,1.468661,383.0
matmul_2x32x128,1.482858,383.0
matmul_2x32x512,1.571518,1535.0
matmul_2x128x2,1.085714,383.0
matmul_2x128x8,1.395625,383.0
matmul_2x128x32,1.475714,383.0
matmul_2x128x128,1.560089,383.0
matmul_2x128x512,2.210089,1535.0
matmul_2x512x2,1.494197,1535.0
matmul_2x512x8,1.677232,1535.0
matmul_2x512x32,1.711428,1535.0
matmul_2x512x128,1.894286,1535.0
matmul_2x512x512,2.655714,6143.0
matmul_8x2x2,1.19,389.0
matmul_8x2x8,1.391429,389.0
matmul_8x2x32,1.39009,389.0
matmul_8x2x128,1.401429,389.0
matmul_8x2x512,1.464375,1559.0
matmul_8x8x2,1.512946,389.0
matmul_8x8x8,1.418482,389.0
matmul_8x8x32,1.414197,389.0
matmul_8x8x128,1.605714,389.0
matmul_8x8x512,1.542857,1559.0
matmul_8x32x2,1.502857,389.0
matmul_8x32x8,1.412768,389.0
matmul_8x32x32,1.442768,389.0
matmul_8x32x128,1.447143,389.0
matmul_8x32x512,1.648571,1559.0
matmul_8x128x2,1.504285,389.0
matmul_8x128x8,1.414375,389.0
matmul_8x128x32,1.445625,389.0
matmul_8x128x128,1.811339,389.0
matmul_8x128x512,2.437143,1559.0
matmul_8x512x2,1.614375,1559.0
matmul_8x512x8,1.848482,1559.0
matmul_8x512x32,1.602946,1559.0
matmul_8x512x128,1.93,1559.0
matmul_8x512x512,3.077143,6239.0
matmul_32x2x2,1.201429,413.0
matmul_32x2x8,1.465714,413.0
matmul_32x2x32,1.425715,413.0
matmul_32x2x128,1.417232,413.0
matmul_32x2x512,1.595625,1655.0
matmul_32x8x2,1.604286,413.0
matmul_32x8x8,1.520089,413.0
matmul_32x8x32,1.607143,413.0
matmul_32x8x128,1.565625,413.0
matmul_32x8x512,1.86,1655.0
matmul_32x32x2,1.571429,413.0
matmul_32x32x8,1.574285,413.0
matmul_32x32x32,1.56,413.0
matmul_32x32x128,1.7,413.0
matmul_32x32x512,1.76,1655.0
matmul_32x128x2,1.561429,413.0
matmul_32x128x8,1.575625,413.0
matmul_32x128x32,1.562768,413.0
matmul_32x128x128,1.642768,413.0
matmul_32x128x512,2.38,1655.0
matmul_32x512x2,1.748572,1655.0
matmul_32x512x8,1.701428,1655.0
matmul_32x512x32,1.710089,1655.0
matmul_32x512x128,2.321339,1655.0
matmul_32x512x512,3.057143,6623.0
matmul_128x2x2,1.201518,509.0
matmul_128x2x8,1.408661,509.0
matmul_128x2x32,1.434285,509.0
matmul_128x2x128,1.555804,509.0
matmul_128x2x512,2.22,2039.0
matmul_128x8x2,1.511517,509.0
matmul_128x8x8,1.630089,509.0
matmul_128x8x32,1.444286,509.0
matmul_128x8x128,1.558483,509.0
matmul_128x8x512,2.354196,2039.0
matmul_128x32x2,1.75,509.0
matmul_128x32x8,1.615714,509.0
matmul_128x32x32,1.821339,509.0
matmul_128x32x128,1.644196,509.0
matmul_128x32x512,2.605803,2039.0
matmul_128x128x2,1.691429,509.0
matmul_128x128x8,1.702768,509.0
matmul_128x128x32,1.73,509.0
matmul_128x128x128,1.804196,509.0
matmul_128x128x512,2.858483,2039.0
matmul_128x512x2,1.965625,2039.0
matmul_128x512x8,1.971429,2039.0
matmul_128x512x32,2.061339,2039.0
matmul_128x512x128,2.605803,2039.0
matmul_128x512x512,3.89,8159.0
matmul_512x2x2,1.618661,893.0
matmul_512x2x8,1.517143,893.0
matmul_512x2x32,1.644196,893.0
matmul_512x2x128,1.89,893.0
matmul_512x2x512,2.644286,3575.0
matmul_512x8x2,1.624196,893.0
matmul_512x8x8,1.625715,893.0
matmul_512x8x32,1.602946,893.0
matmul_512x8x128,2.121429,893.0
matmul_512x8x512,2.645804,3575.0
matmul_512x32x2,1.684196,893.0
matmul_512x32x8,1.704286,893.0
matmul_512x32x32,1.928661,893.0
matmul_512x32x128,2.015625,893.0
matmul_512x32x512,2.817143,3575.0
matmul_512x128x2,2.205714,893.0
matmul_512x128x8,1.994375,893.0
matmul_512x128x32,2.185625,893.0
matmul_512x128x128,2.337054,893.0
matmul_512x128x512,4.082946,3575.0
matmul_512x512x2,3.272768,3575.0
matmul_512x512x8,3.262857,3575.0
matmul_512x512x32,3.352946,3575.0
matmul_512x512x128,4.017143,3575.0
matmul_512x512x512,7.972768,14303.0
