cycles,name,M,N,K,main_duration,fusion_duration,main_minus_fusion,config_str
383.0,matmul_2x2x2,2,2,2,1.075803,0.595625,0.4801780000000001,2x2x2
383.0,matmul_2x2x8,2,2,8,1.074285,0.594375,0.47990999999999995,2x2x8
383.0,matmul_2x2x32,2,2,32,1.069911,0.595714,0.4741970000000001,2x2x32
383.0,matmul_2x2x128,2,2,128,1.082947,0.612768,0.4701790000000001,2x2x128
383.0,matmul_2x8x2,2,8,2,1.074375,0.595625,0.4787500000000001,2x8x2
383.0,matmul_2x8x8,2,8,8,1.384286,0.914285,0.4700009999999999,2x8x8
383.0,matmul_2x8x32,2,8,32,1.39,0.914197,0.47580299999999986,2x8x32
383.0,matmul_2x8x128,2,8,128,1.408572,0.935804,0.47276799999999997,2x8x128
383.0,matmul_2x32x2,2,32,2,1.091429,0.611429,0.48,2x32x2
383.0,matmul_2x32x8,2,32,8,1.465714,0.928571,0.5371429999999999,2x32x8
383.0,matmul_2x32x32,2,32,32,1.468661,0.949911,0.51875,2x32x32
383.0,matmul_2x32x128,2,32,128,1.482858,0.951429,0.531429,2x32x128
383.0,matmul_2x128x2,2,128,2,1.085714,0.612767,0.4729470000000001,2x128x2
383.0,matmul_2x128x8,2,128,8,1.395625,0.921429,0.47419599999999984,2x128x8
383.0,matmul_2x128x32,2,128,32,1.475714,0.959911,0.515803,2x128x32
383.0,matmul_2x128x128,2,128,128,1.560089,1.038571,0.5215180000000001,2x128x128
389.0,matmul_8x2x2,8,2,2,1.19,0.711429,0.47857099999999997,8x2x2
389.0,matmul_8x2x8,8,2,8,1.391429,0.92,0.471429,8x2x8
389.0,matmul_8x2x32,8,2,32,1.39009,0.918572,0.471518,8x2x32
389.0,matmul_8x2x128,8,2,128,1.401429,0.928571,0.472858,8x2x128
389.0,matmul_8x8x2,8,8,2,1.512946,1.042857,0.470089,8x8x2
389.0,matmul_8x8x8,8,8,8,1.418482,0.944286,0.47419600000000006,8x8x8
389.0,matmul_8x8x32,8,8,32,1.414197,0.942858,0.47133899999999995,8x8x32
389.0,matmul_8x8x128,8,8,128,1.605714,1.065804,0.5399100000000001,8x8x128
389.0,matmul_8x32x2,8,32,2,1.502857,1.041518,0.46133900000000017,8x32x2
389.0,matmul_8x32x8,8,32,8,1.412768,0.941429,0.47133900000000006,8x32x8
389.0,matmul_8x32x32,8,32,32,1.442768,0.95866,0.4841080000000001,8x32x32
389.0,matmul_8x32x128,8,32,128,1.447143,0.961428,0.4857150000000001,8x32x128
389.0,matmul_8x128x2,8,128,2,1.504285,1.042858,0.46142700000000003,8x128x2
389.0,matmul_8x128x8,8,128,8,1.414375,0.944196,0.4701789999999999,8x128x8
389.0,matmul_8x128x32,8,128,32,1.445625,0.960089,0.48553599999999997,8x128x32
389.0,matmul_8x128x128,8,128,128,1.811339,1.051518,0.7598210000000001,8x128x128
413.0,matmul_32x2x2,32,2,2,1.201429,0.727232,0.4741970000000001,32x2x2
413.0,matmul_32x2x8,32,2,8,1.465714,0.937232,0.528482,32x2x8
413.0,matmul_32x2x32,32,2,32,1.425715,0.942857,0.4828580000000001,32x2x32
413.0,matmul_32x2x128,32,2,128,1.417232,0.937143,0.4800890000000001,32x2x128
413.0,matmul_32x8x2,32,8,2,1.604286,1.134375,0.4699110000000002,32x8x2
413.0,matmul_32x8x8,32,8,8,1.520089,1.04991,0.4701790000000001,32x8x8
413.0,matmul_32x8x32,32,8,32,1.607143,1.11991,0.487233,32x8x32
413.0,matmul_32x8x128,32,8,128,1.565625,0.961518,0.6041070000000001,32x8x128
413.0,matmul_32x32x2,32,32,2,1.571429,1.101429,0.47,32x32x2
413.0,matmul_32x32x8,32,32,8,1.574285,1.099911,0.47437399999999985,32x32x8
413.0,matmul_32x32x32,32,32,32,1.56,1.02,0.54,32x32x32
413.0,matmul_32x32x128,32,32,128,1.7,1.015804,0.684196,32x32x128
413.0,matmul_32x128x2,32,128,2,1.561429,1.091428,0.4700009999999999,32x128x2
413.0,matmul_32x128x8,32,128,8,1.575625,1.104286,0.47133899999999995,32x128x8
413.0,matmul_32x128x32,32,128,32,1.562768,1.022857,0.539911,32x128x32
413.0,matmul_32x128x128,32,128,128,1.642768,1.074375,0.5683929999999999,32x128x128
509.0,matmul_128x2x2,128,2,2,1.201518,0.727143,0.4743750000000001,128x2x2
509.0,matmul_128x2x8,128,2,8,1.408661,0.934286,0.474375,128x2x8
509.0,matmul_128x2x32,128,2,32,1.434285,0.957143,0.47714200000000007,128x2x32
509.0,matmul_128x2x128,128,2,128,1.555804,1.048572,0.5072319999999999,128x2x128
509.0,matmul_128x8x2,128,8,2,1.511517,1.042857,0.4686600000000001,128x8x2
509.0,matmul_128x8x8,128,8,8,1.630089,1.161339,0.46875,128x8x8
509.0,matmul_128x8x32,128,8,32,1.444286,0.95991,0.4843759999999999,128x8x32
509.0,matmul_128x8x128,128,8,128,1.558483,1.048482,0.5100010000000001,128x8x128
509.0,matmul_128x32x2,128,32,2,1.75,1.29,0.45999999999999996,128x32x2
509.0,matmul_128x32x8,128,32,8,1.615714,1.09991,0.5158040000000002,128x32x8
509.0,matmul_128x32x32,128,32,32,1.821339,1.214196,0.607143,128x32x32
509.0,matmul_128x32x128,128,32,128,1.644196,1.077054,0.567142,128x32x128
509.0,matmul_128x128x2,128,128,2,1.691429,1.229911,0.4615180000000001,128x128x2
509.0,matmul_128x128x8,128,128,8,1.702768,1.231518,0.47125000000000017,128x128x8
509.0,matmul_128x128x32,128,128,32,1.73,1.248483,0.481517,128x128x32
509.0,matmul_128x128x128,128,128,128,1.804196,1.239911,0.5642849999999999,128x128x128
893.0,matmul_512x2x2,512,2,2,1.618661,1.078482,0.540179,512x2x2
893.0,matmul_512x2x8,512,2,8,1.517143,0.982857,0.5342859999999999,512x2x8
893.0,matmul_512x2x32,512,2,32,1.644196,1.028482,0.6157140000000001,512x2x32
893.0,matmul_512x2x128,512,2,128,1.89,1.2,0.69,512x2x128
893.0,matmul_512x8x2,512,8,2,1.624196,1.082857,0.541339,512x8x2
893.0,matmul_512x8x8,512,8,8,1.625715,1.087143,0.538572,512x8x8
893.0,matmul_512x8x32,512,8,32,1.602946,1.03,0.572946,512x8x32
893.0,matmul_512x8x128,512,8,128,2.121429,1.204285,0.917144,512x8x128
893.0,matmul_512x32x2,512,32,2,1.684196,1.157143,0.527053,512x32x2
893.0,matmul_512x32x8,512,32,8,1.704286,1.167142,0.5371440000000001,512x32x8
893.0,matmul_512x32x32,512,32,32,1.928661,1.362857,0.565804,512x32x32
893.0,matmul_512x32x128,512,32,128,2.015625,1.312858,0.7027669999999999,512x32x128
