Layer,M,N,K,
matmul_2x2x2,2,2,2,
matmul_2x2x8,2,2,8,
matmul_2x2x32,2,2,32,
matmul_2x2x128,2,2,128,
matmul_2x2x512,2,2,512,
matmul_2x8x2,2,8,2,
matmul_2x8x8,2,8,8,
matmul_2x8x32,2,8,32,
matmul_2x8x128,2,8,128,
matmul_2x8x512,2,8,512,
matmul_2x32x2,2,32,2,
matmul_2x32x8,2,32,8,
matmul_2x32x32,2,32,32,
matmul_2x32x128,2,32,128,
matmul_2x32x512,2,32,512,
matmul_2x128x2,2,128,2,
matmul_2x128x8,2,128,8,
matmul_2x128x32,2,128,32,
matmul_2x128x128,2,128,128,
matmul_2x128x512,2,128,512,
matmul_2x512x2,2,512,2,
matmul_2x512x8,2,512,8,
matmul_2x512x32,2,512,32,
matmul_2x512x128,2,512,128,
matmul_2x512x512,2,512,512,
matmul_8x2x2,8,2,2,
matmul_8x2x8,8,2,8,
matmul_8x2x32,8,2,32,
matmul_8x2x128,8,2,128,
matmul_8x2x512,8,2,512,
matmul_8x8x2,8,8,2,
matmul_8x8x8,8,8,8,
matmul_8x8x32,8,8,32,
matmul_8x8x128,8,8,128,
matmul_8x8x512,8,8,512,
matmul_8x32x2,8,32,2,
matmul_8x32x8,8,32,8,
matmul_8x32x32,8,32,32,
matmul_8x32x128,8,32,128,
matmul_8x32x512,8,32,512,
matmul_8x128x2,8,128,2,
matmul_8x128x8,8,128,8,
matmul_8x128x32,8,128,32,
matmul_8x128x128,8,128,128,
matmul_8x128x512,8,128,512,
matmul_8x512x2,8,512,2,
matmul_8x512x8,8,512,8,
matmul_8x512x32,8,512,32,
matmul_8x512x128,8,512,128,
matmul_8x512x512,8,512,512,
matmul_32x2x2,32,2,2,
matmul_32x2x8,32,2,8,
matmul_32x2x32,32,2,32,
matmul_32x2x128,32,2,128,
matmul_32x2x512,32,2,512,
matmul_32x8x2,32,8,2,
matmul_32x8x8,32,8,8,
matmul_32x8x32,32,8,32,
matmul_32x8x128,32,8,128,
matmul_32x8x512,32,8,512,
matmul_32x32x2,32,32,2,
matmul_32x32x8,32,32,8,
matmul_32x32x32,32,32,32,
matmul_32x32x128,32,32,128,
matmul_32x32x512,32,32,512,
matmul_32x128x2,32,128,2,
matmul_32x128x8,32,128,8,
matmul_32x128x32,32,128,32,
matmul_32x128x128,32,128,128,
matmul_32x128x512,32,128,512,
matmul_32x512x2,32,512,2,
matmul_32x512x8,32,512,8,
matmul_32x512x32,32,512,32,
matmul_32x512x128,32,512,128,
matmul_32x512x512,32,512,512,
matmul_128x2x2,128,2,2,
matmul_128x2x8,128,2,8,
matmul_128x2x32,128,2,32,
matmul_128x2x128,128,2,128,
matmul_128x2x512,128,2,512,
matmul_128x8x2,128,8,2,
matmul_128x8x8,128,8,8,
matmul_128x8x32,128,8,32,
matmul_128x8x128,128,8,128,
matmul_128x8x512,128,8,512,
matmul_128x32x2,128,32,2,
matmul_128x32x8,128,32,8,
matmul_128x32x32,128,32,32,
matmul_128x32x128,128,32,128,
matmul_128x32x512,128,32,512,
matmul_128x128x2,128,128,2,
matmul_128x128x8,128,128,8,
matmul_128x128x32,128,128,32,
matmul_128x128x128,128,128,128,
matmul_128x128x512,128,128,512,
matmul_128x512x2,128,512,2,
matmul_128x512x8,128,512,8,
matmul_128x512x32,128,512,32,
matmul_128x512x128,128,512,128,
matmul_128x512x512,128,512,512,
matmul_512x2x2,512,2,2,
matmul_512x2x8,512,2,8,
matmul_512x2x32,512,2,32,
matmul_512x2x128,512,2,128,
matmul_512x2x512,512,2,512,
matmul_512x8x2,512,8,2,
matmul_512x8x8,512,8,8,
matmul_512x8x32,512,8,32,
matmul_512x8x128,512,8,128,
matmul_512x8x512,512,8,512,
matmul_512x32x2,512,32,2,
matmul_512x32x8,512,32,8,
matmul_512x32x32,512,32,32,
matmul_512x32x128,512,32,128,
matmul_512x32x512,512,32,512,
matmul_512x128x2,512,128,2,
matmul_512x128x8,512,128,8,
matmul_512x128x32,512,128,32,
matmul_512x128x128,512,128,128,
matmul_512x128x512,512,128,512,
matmul_512x512x2,512,512,2,
matmul_512x512x8,512,512,8,
matmul_512x512x32,512,512,32,
matmul_512x512x128,512,512,128,
matmul_512x512x512,512,512,512,
