operation_name ,input_dim_0 ,input_dim_1 ,input_dim_2 ,size    ,computation_mean
add            ,          7 ,         71 ,          4 ,   1988 , 1.023
add            ,          3 ,          3 ,          7 ,     63 , 0.9135981
add            ,          9 ,          6 ,          1 ,     54 , 0.8784018
add            ,      24776 ,          1 ,          1 ,  24776 , 1.4136965
add            ,          3 ,          7 ,         32 ,    672 , 0.9661519000000001
add            ,          3 ,         10 ,         36 ,   1080 , 1.0474199
add            ,     114249 ,          1 ,          1 , 114249 , 2.9795268999999998
add            ,        180 ,         14 ,         13 ,  32760 , 1.8980358000000002
add            ,          7 ,         25 ,          2 ,    350 , 0.9950268999999998
add            ,     954530 ,          1 ,          1 , 954530 ,17.786606999999997
add            ,         24 ,          7 ,         14 ,   2352 , 1.1611342
add            ,         12 ,         15 ,          7 ,   1260 , 1.1555895
add            ,         53 ,          6 ,          1 ,    318 , 0.8741246
add            ,          2 ,       5699 ,          1 ,  11398 , 1.5548931
add            ,          8 ,          1 ,          1 ,      8 , 0.8417142
add            ,          2 ,          2 ,          2 ,      8 , 0.8936876000000001
add            ,       6654 ,          1 ,          1 ,   6654 , 1.0713927
add            ,          2 ,       1969 ,          1 ,   3938 , 1.1203035
add            ,          8 ,          2 ,         36 ,    576 , 0.9849731
add            ,         79 ,       1529 ,          1 , 120791 , 3.0894196999999997
add            ,          2 ,          5 ,          3 ,     30 , 0.9323035000000001
add            ,      14210 ,          1 ,          1 ,  14210 , 1.2035715999999999
add            ,         22 ,          1 ,          1 ,     22 , 0.8578749
add            ,          1 ,      23117 ,          1 ,  23117 , 3.5058481
add            ,        647 ,          1 ,          1 ,    647 , 0.8972500999999999
add            ,          4 ,         33 ,       1814 , 239448 , 8.698856999999999
add            ,          3 ,          3 ,          2 ,     18 , 0.9455263999999998
add            ,      35000 ,          1 ,          1 ,  35000 , 1.6081159999999997
add            ,         75 ,          3 ,         10 ,   2250 , 1.0875717
add            ,     778482 ,          1 ,          1 , 778482 ,14.658812800000002
add            ,     138427 ,          1 ,          1 , 138427 , 3.3945712
add            ,          3 ,          2 ,          1 ,      6 , 0.8418749999999999
add            ,         35 ,          1 ,          1 ,     35 , 0.8388213
add            ,      94511 ,          1 ,          1 ,  94511 , 2.6222678
add            ,     107293 ,          1 ,          1 , 107293 , 2.877
add            ,          5 ,          1 ,          1 ,      5 , 0.8382947999999999
add            ,        113 ,         10 ,          1 ,   1130 , 0.9145804000000002
add            ,     750062 ,          1 ,          1 , 750062 ,14.1685802
add            ,          2 ,          4 ,          1 ,      8 , 0.8408301
add            ,     896409 ,          1 ,          1 , 896409 ,16.771999899999997
add            ,          2 ,          6 ,          3 ,     36 , 0.9096786
add            ,         61 ,         48 ,         24 ,  70272 , 3.5747145000000002
add            ,        743 ,        862 ,          1 , 640466 ,12.637848200000002
add            ,          7 ,          5 ,         14 ,    490 , 1.0221250000000002
add            ,          4 ,          7 ,          3 ,     84 , 0.9354466
add            ,         49 ,          3 ,          4 ,    588 , 0.9492767000000001
add            ,          3 ,          5 ,          2 ,     30 , 0.9311517000000002
add            ,        684 ,          1 ,          1 ,    684 , 0.8651696999999998
add            ,          2 ,          1 ,          1 ,      2 , 0.8569821000000001
add            ,          5 ,       1604 ,          1 ,   8020 , 1.2056874000000002
add            ,          2 ,          2 ,          8 ,     32 , 0.8908749
add            ,          1 ,          1 ,          1 ,      1 , 0.0
add            ,        515 ,          7 ,          1 ,   3605 , 1.0235716
