operation_name,input_dim_0,input_dim_1,input_dim_2,size,computation_mean
mul,9,163,5,7335,1.2402857000000003
mul,3,3,9,81,0.9212949
mul,109,1,1,109,0.8622945000000002
mul,158367,1,1,158367,3.749143
mul,514009,2,1,1028018,52.80856229999999
mul,188824,1,1,188824,4.2497498
mul,4,2,2,16,0.8928838999999998
mul,14988132,1,1,14988132,185.54414309999999
mul,45,9,21,8505,1.4571698000000002
mul,18,25,10,4500,1.4624288
mul,37,25,1,925,0.9788747000000001
mul,4,1,1,4,0.8624195
mul,58,31,46,82708,4.2918393
mul,26,79,123,252642,5.814714399999999
mul,7902788,2,1,15805576,794.5171161000001
mul,2,2,2,8,0.8856877000000001
mul,609775,1,1,609775,11.6967144
mul,41,13,1,533,0.9424196
mul,4,376,83,124832,4.8276965
mul,5,10,3,150,0.9647056
mul,17,81,1,1377,0.9389909999999999
mul,1,7,1,7,0.8615626000000001
mul,9,8,23,1656,1.1306964999999998
mul,2,7,4,56,0.9582500999999999
mul,41,1,1,41,0.8609823000000001
mul,1,165681,1,165681,18.9172857
mul,2361,1,1,2361,0.9982498
mul,4,63,10740,2706480,69.33968720000001
mul,3,4,2,24,0.9431337
mul,283717,1,1,283717,5.9012948000000005
mul,153,4,15,9180,1.3758751
mul,11735407,1,1,11735407,145.33273200000002
mul,1477283,1,1,1477283,26.983731999999996
mul,1,64099,1,64099,7.970955400000001
mul,15,1,1,15,0.8612498000000001
mul,5,3,4,60,0.9904285999999999
mul,7,4,5,140,0.9699642
mul,2,5,1,10,0.8665624000000001
mul,4,8,6,192,0.9915533
mul,30,108,21,68040,2.4957143999999998
mul,2,3,2,12,0.9047053999999999
mul,15,4,3,180,0.9797052
mul,1,607,1,607,0.9765983
mul,2051,1,1,2051,0.9290267999999999
mul,1,1063723,1,1063723,107.74329460000001
mul,2,201,1,402,0.8985713000000001
mul,186242,1,1,186242,4.346848099999999
mul,8,830044,1,6640352,83.25201799999999
mul,6,2,3,36,0.9135985
mul,406311,1,1,406311,8.0920088
mul,10,42,9,3780,1.2696877
mul,3,5531,1,16593,1.6104462000000002
mul,1,27016,1,27016,3.9006965
mul,3,18,2,108,0.9218572
mul,4,3,100,1200,0.984741
mul,14921021,1,1,14921021,183.5978306
mul,15721,1,1,15721,1.2001694000000003
mul,3058107,1,1,3058107,39.371134
mul,7,2682,5,93870,2.9034376
mul,1,4,1,4,0.8609731
mul,2,2,11,44,0.9014644000000003
mul,364,1,1,364,0.8628751000000001
mul,37295,1,1,37295,1.5858663
mul,2,4614,1,9228,1.434393
mul,30,1,1,30,0.8816964
mul,2524,1,1,2524,0.9424108
mul,6,17,628,64056,2.6103034000000003
mul,17,3,2,102,0.9537233
mul,1,47147,1,47147,6.0802498
mul,5,13,1,65,0.8824463999999999
mul,9,5,11,495,1.0517498999999997
mul,1,3,1,3,0.8545538
mul,6323,1,1,6323,1.1215625
mul,277,4,1,1108,0.9475803
mul,2,1391983,1,2783966,141.02170539999997
mul,4,4,9,144,0.9555982999999999
mul,6,11,2,132,0.9758661999999999
mul,2,139775,1,279550,16.1471339
mul,5426,1,1,5426,0.9731698
mul,3,1451,1,4353,1.0862675000000002
mul,197192,1,1,197192,4.455839500000001
mul,114,1,1,114,0.8571519000000001
mul,254,10,21,53340,2.0475892
mul,13,1,1,13,0.8542946
mul,17,4,1,68,0.8598393000000002
mul,497,1,1,497,0.8904197
mul,1,21431,1,21431,3.3228304
mul,1716580,1,1,1716580,31.1809644
mul,7,6,4,168,0.9818837
mul,5,1,1,5,0.8541161
mul,56,1,1,56,0.8660179000000001
mul,6779874,1,1,6779874,84.8848217
mul,853460,1,1,853460,16.0145803
mul,1,79103,1,79103,9.4854106
mul,275459,1,1,275459,5.845116
mul,450,1621,1,729450,14.589142700000002
mul,52,2,8,832,0.9245715000000001
mul,6,3,38,684,1.0285980999999997
mul,115,5,17,9775,1.2187320000000001
mul,994399,1,1,994399,18.474000100000005
mul,25,463,1,11575,1.193732
mul,1,1,1,1,0.0
mul,180542,3,1,541626,22.7059732
mul,65,1,1,65,0.8765892000000001
mul,6,6,9,324,1.016857
mul,2,8672,1,17344,1.8762769000000001
mul,120,13,4,6240,1.1050002
mul,3,5,1,15,0.8612679
mul,34,37,1,1258,0.9958661
mul,6,42,36,9072,1.4831162
mul,2,427591,1,855182,43.9860179
mul,24508,1,1,24508,1.4277052
mul,423,1,1,423,0.9037231
mul,1,32138,1,32138,4.397544599999999
mul,22853,20,2,914120,50.7987321
mul,1,10,1,10,0.8568572
mul,10,2,235140,4702800,239.17418740000002
mul,426981,1,1,426981,8.448991300000001
mul,81589,1,1,81589,2.3704019
mul,9,2,216554,3897972,198.33459820000002
mul,54,1,1,54,0.8537145
mul,17,1,1,17,0.8535804
mul,43,1,1,43,0.8644016000000001
mul,3,24,14,1008,0.9911426999999999
mul,13,2,4,104,0.9298570999999999
mul,7,2,83,1162,1.0048660999999999
mul,157,5,10,7850,1.3102858
mul,535,1,1,535,0.8698751
mul,6,4,5,120,0.9812857000000001
mul,1599223,1,1,1599223,29.0554466
mul,136494,1,1,136494,3.2914377000000004
mul,16,7,16,1792,1.1624015
mul,6240,1,1,6240,1.0404195
mul,11,9,7,693,1.148616
mul,10,62,82,50840,2.3928841000000003
