operation_name,input_dim_0,input_dim_1,input_dim_2,size,computation_mean
relu,9,163,5,7335,1.1145983000000002
relu,3,3,9,81,0.9184288000000003
relu,109,1,1,109,0.8333392999999999
relu,158367,1,1,158367,2.8730002000000003
relu,514009,2,1,1028018,37.55014289999999
relu,188824,1,1,188824,3.2801514999999997
relu,4,2,2,16,0.8774196
relu,14988132,1,1,14988132,134.2045626
relu,45,9,21,8505,1.2912767000000003
relu,18,25,10,4500,1.2466965
relu,37,25,1,925,0.9159822
relu,4,1,1,4,0.8346967
relu,58,31,46,82708,3.3059730000000003
relu,26,79,123,252642,4.3378751
relu,7902788,2,1,15805576,549.6990089
relu,2,2,2,8,0.8648931
relu,609775,1,1,609775,8.454883999999998
relu,41,13,1,533,0.9060267999999999
relu,4,376,83,124832,3.625759
relu,5,10,3,150,0.9445626999999999
relu,17,81,1,1377,0.9274017999999999
relu,1,7,1,7,0.8335446999999998
relu,9,8,23,1656,1.0237144
relu,2,7,4,56,0.8855626000000001
relu,41,1,1,41,0.8449733
relu,1,165681,1,165681,13.401866100000001
relu,2361,1,1,2361,0.9130090000000001
relu,4,63,10740,2706480,51.28738370000001
relu,3,4,2,24,0.9216964000000001
relu,283717,1,1,283717,4.4712677
relu,153,4,15,9180,1.2352412000000002
relu,11735407,1,1,11735407,107.2334554
relu,1477283,1,1,1477283,16.247142599999997
relu,1,64099,1,64099,5.9920267
relu,15,1,1,15,0.8400266999999999
relu,5,3,4,60,0.9061337
relu,7,4,5,140,0.959848
relu,2,5,1,10,0.8461520999999997
relu,4,8,6,192,0.964027
relu,30,108,21,68040,2.0405805
relu,2,3,2,12,0.8875804
relu,15,4,3,180,0.9134287000000001
relu,1,607,1,607,0.9310088999999999
relu,2051,1,1,2051,0.9552856999999999
relu,1,1063723,1,1063723,78.2012679
relu,2,201,1,402,0.9238570999999999
relu,186242,1,1,186242,3.1920178
relu,8,830044,1,6640352,63.230401799999996
relu,6,2,3,36,0.9024465000000002
relu,406311,1,1,406311,5.995696499999999
relu,10,42,9,3780,1.1565534999999998
relu,3,5531,1,16593,1.3469821999999998
relu,1,27016,1,27016,3.0461697
relu,3,18,2,108,0.8981433000000001
relu,4,3,100,1200,0.9445444000000001
relu,14921021,1,1,14921021,133.56672329999998
relu,15721,1,1,15721,1.0764376
relu,3058107,1,1,3058107,30.6551162
relu,7,2682,5,93870,2.2723124
relu,1,4,1,4,0.8656162000000001
relu,2,2,11,44,0.8691339999999999
relu,364,1,1,364,0.8583931
relu,37295,1,1,37295,1.3625356000000002
relu,2,4614,1,9228,1.2565537
relu,30,1,1,30,0.8350087
relu,2524,1,1,2524,0.9145627000000001
relu,6,17,628,64056,1.9918482999999998
relu,17,3,2,102,0.8881159999999999
relu,1,47147,1,47147,4.673312600000001
relu,5,13,1,65,0.8525714000000001
relu,9,5,11,495,0.9963125999999999
relu,1,3,1,3,0.8339729
relu,6323,1,1,6323,0.9831340000000001
relu,277,4,1,1108,0.9310002999999998
relu,2,1391983,1,2783966,99.0494196
relu,4,4,9,144,0.9573036
relu,6,11,2,132,0.9358751
relu,2,139775,1,279550,11.214151900000001
relu,5426,1,1,5426,0.9548482999999999
relu,3,1451,1,4353,0.9902057
relu,197192,1,1,197192,3.3941520000000005
relu,114,1,1,114,0.8337229
relu,254,10,21,53340,1.6242589000000003
relu,13,1,1,13,0.8557143999999999
relu,17,4,1,68,0.8629999999999999
relu,497,1,1,497,0.8495448
relu,1,21431,1,21431,2.5654285
relu,1716580,1,1,1716580,18.7085981
relu,7,6,4,168,0.9455627
relu,5,1,1,5,0.8334374
relu,56,1,1,56,0.8337143999999999
relu,6779874,1,1,6779874,64.5007145
relu,853460,1,1,853460,9.881142699999998
relu,1,79103,1,79103,7.1759912
relu,275459,1,1,275459,4.3454378
relu,450,1621,1,729450,10.1989019
relu,52,2,8,832,0.9135623
relu,6,3,38,684,0.9581249999999999
relu,115,5,17,9775,1.1325534000000002
relu,994399,1,1,994399,11.2658485
relu,25,463,1,11575,1.0830001999999999
relu,1,1,1,1,0.0
relu,180542,3,1,541626,14.8148481
relu,65,1,1,65,0.8339910999999999
relu,6,6,9,324,0.9620181000000001
relu,2,8672,1,17344,1.5412858999999999
relu,120,13,4,6240,1.0741697000000001
relu,3,5,1,15,0.8494373999999999
relu,34,37,1,1258,0.9509913000000001
relu,6,42,36,9072,1.2488839
relu,2,427591,1,855182,31.6678482
relu,24508,1,1,24508,1.1712946
relu,423,1,1,423,0.8671519
relu,1,32138,1,32138,3.4715981
relu,22853,20,2,914120,34.0880178
relu,1,10,1,10,0.8350090000000001
relu,10,2,235140,4702800,165.24269660000002
relu,426981,1,1,426981,6.2201606
relu,81589,1,1,81589,1.9407053
relu,9,2,216554,3897972,137.74901799999998
relu,54,1,1,54,0.8438661999999999
relu,17,1,1,17,0.8334284999999999
relu,43,1,1,43,0.8350179999999998
relu,3,24,14,1008,0.9754107999999999
