shape_idx ,dim_0  ,dim_1  ,dim_2 ,size    ,actual_latency      ,predicted_latency   ,absolute_error        ,relative_error_pct
        0 ,   137 ,     1 ,    1 ,    137 , 0.8526876          , 0.860985147727329  ,0.008297547727329047  , 0.9731052412781712
        1 ,    11 ,   109 ,   63 ,  75537 , 2.5295443000000004 , 3.0967129065227583 ,0.5671686065227579    ,22.421770060431747
        2 ,  5890 ,     1 ,    1 ,   5890 , 1.0131693          , 1.0253551538603412 ,0.012185853860341211  , 1.2027460623156676
        3 ,     5 ,    20 ,   41 ,   4100 , 1.2295804          , 1.2312387713626698 ,0.001658371362669886  , 0.13487295037151584
        4 ,     1 , 46077 ,    1 ,  46077 , 5.936143           , 5.948559228886561  ,0.012416228886560354  , 0.20916323758643202
        5 ,     2 ,     2 ,    5 ,     20 , 0.9051787          , 0.9149313170298885 ,0.0097526170298885    , 1.0774244941787186
        6 ,    12 ,    17 ,   50 ,  10200 , 1.6040002000000002 , 1.6085031015570967 ,0.004502901557096539  , 0.28072948850608237
        7 ,    26 ,     2 ,    1 ,     52 , 0.8571337          , 0.8664890662176349 ,0.009355366217634886  , 1.0914710526064821
        8 ,     3 ,     3 ,    3 ,     27 , 0.9558569          , 0.9229972787673457 ,0.03285962123265429   , 3.4377134519460277
        9 ,     1 , 37111 ,    1 ,  37111 , 4.9342678          , 5.040552836795201  ,0.1062850367952013    , 2.154018409685856
       10 ,   363 ,     2 ,    3 ,   2178 , 1.0719644000000002 , 1.0525506198022327 ,0.019413780197767405  , 1.811047101729069
       11 ,    61 ,     5 ,    1 ,    305 , 0.8764289          , 0.9328328909344843 ,0.05640399093448434   , 6.4356607745915655
       12 ,    10 ,     2 ,    1 ,     20 , 0.8473925999999998 , 0.8641947467763844 ,0.016802146776384586  , 1.9828054642422637
       13 ,   825 ,     1 ,    1 ,    825 , 0.8977143          , 0.9441613336497351 ,0.046447033649735125  , 5.173921552740681
       14 ,   277 ,     1 ,    1 ,    277 , 0.8715714999999999 , 0.8742959335894244 ,0.0027244335894244243 , 0.3125886504348094
       15 ,   134 ,     1 ,    1 ,    134 , 0.8471249999999999 , 0.860985147727329  ,0.01386014772732913   , 1.6361396166243627
       16 ,   676 ,     1 ,    1 ,    676 , 0.9131696          , 0.9431878525328797 ,0.030018252532879708  , 3.2872592925651167
       17 ,     4 ,     4 ,    7 ,    112 , 0.936973           , 0.9905032090029461 ,0.05353020900294614   , 5.713100484533294
       18 ,  4606 ,     2 ,    4 ,  36848 , 2.0847412          , 2.32538913555214   ,0.24064793555214026   ,11.543300221252416
       19 ,     3 ,     3 ,   13 ,    117 , 0.9485535          , 0.9368029270333038 ,0.011750572966696238  , 1.2387886362441587
       20 ,    90 ,    20 ,    6 ,  10800 , 1.2494018          , 1.3945112034426803 ,0.1451094034426803    ,11.614310419808929
       21 ,   299 ,     1 ,    1 ,    299 , 0.8909912999999999 , 0.8752155339377871 ,0.01577576606221287   , 1.7705858701665067
       22 ,    12 ,     3 ,    6 ,    216 , 0.9901603          , 0.9758734637922386 ,0.014286836207761389  , 1.4428811383127953
       23 ,   218 ,    57 ,    1 ,  12426 , 1.2242591          , 1.2082558728968356 ,0.016003227103164486  , 1.307176487654001
       24 ,     2 ,     3 ,    2 ,     12 , 0.8869732000000001 , 0.8943931482921724 ,0.007419948292172296  , 0.8365470672814348
       25 ,    10 ,  2585 ,    1 ,  25850 , 1.7141251          , 1.7161068374413937 ,0.0019817374413937383 , 0.11561218264604714
       26 ,  1303 ,   137 ,    1 , 178511 , 4.530446599999999  , 4.17482682977138   ,0.35561977022861946   , 7.849552188268138
       27 ,    27 ,     4 ,    9 ,    972 , 1.0651698          , 1.0719692837101769 ,0.006799483710176801  , 0.6383473987130316
       28 ,   566 ,    17 ,    1 ,   9622 , 1.2777055000000002 , 1.152593719696182  ,0.1251117803038182    , 9.79191060098107
       29 ,     7 ,   227 ,    1 ,   1589 , 0.9175627          , 0.9376734283264098 ,0.02011072832640981   , 2.1917552148109127
       30 ,     3 ,     1 ,    1 ,      3 , 0.8457142          , 0.8607683842948868 ,0.015054184294886808  , 1.7800557558199692
       31 ,    71 ,    13 ,    1 ,    923 , 0.934759           , 0.9514614586486337 ,0.016702458648633733  , 1.7868197737206846
       32 ,     3 ,105186 ,    1 , 315558 ,13.558125100000002  ,15.766921382038916  ,2.2087962820389144    ,16.29131067715929
       33 ,752870 ,     1 ,    1 , 752870 ,14.230857099999998  ,16.530746006228107  ,2.2998889062281087    ,16.16128171386184
       34 ,     2 ,     5 ,    2 ,     20 , 0.8980356          , 0.9083114209047612 ,0.010275820904761201  , 1.1442554064405912
       35 ,    11 ,     1 ,    1 ,     11 , 0.865286           , 0.8605635801197019 ,0.00472241988029809   , 0.5457640456794737
       36 ,  1538 ,     1 ,    1 ,   1538 , 0.9764644          , 0.9636548917335072 ,0.012809508266492853  , 1.3118254251248538
       37 ,  6630 ,     1 ,    1 ,   6630 , 1.0614286          , 1.0644110238087867 ,0.0029824238087867716 , 0.2809820471001791
       38 ,   208 ,     1 ,    1 ,    208 , 0.8474733000000001 , 0.8631825491619393 ,0.015709249161939165  , 1.8536571195740519
       39 ,     8 ,     1 ,    1 ,      8 , 0.8478484          , 0.859120493467198  ,0.011272093467198041  , 1.3294939834996495
       40 ,   755 ,     1 ,    1 ,    755 , 0.9062858          , 0.9391955049841495 ,0.03290970498414947   , 3.6312722746124306
       41 ,   101 ,     9 ,    6 ,   5454 , 1.1057145          , 1.0862332686337806 ,0.019481231366219376  , 1.7618681283658102
       42 , 30075 ,     1 ,    1 ,  30075 , 1.4941071          , 1.49831961170174   ,0.004212511701740196  , 0.2819417498076407
       43 ,     1 ,321158 ,    1 , 321158 ,33.329008900000005  ,33.12294682074718   ,0.20606207925282405   , 0.6182664473194822
       44 , 58011 ,     1 ,    1 ,  58011 , 2.0438571          , 1.993607595698841  ,0.05024950430115882   , 2.4585625042552546
       45 ,870643 ,     1 ,    1 , 870643 ,16.334035699999998  ,17.928424710914552  ,1.5943890109145542    , 9.761145623763724
       46 ,     3 ,     5 ,    3 ,     45 , 0.9442859          , 0.9403366542985198 ,0.003949245701480253  , 0.41822563499891857
       47 ,122546 ,     1 ,    1 , 122546 , 3.1574019          , 3.248970356787413  ,0.09156845678741288   , 2.900120405559168
       48 ,  8863 ,     6 ,    1 ,  53178 , 2.1444377999999995 , 2.499134650339872  ,0.3546968503398724    ,16.54031888170748
       49 ,     3 ,   315 ,    1 ,    945 , 0.9697144000000002 , 0.946062734658741  ,0.023651665341259176  , 2.4390341466785657
       50 ,     1 , 72321 ,    1 ,  72321 , 8.830865999999999  , 5.386936866311149  ,3.443929133688849     ,38.99877015106842
       51 ,     5 ,     1 ,    1 ,      5 , 0.8457141          , 0.8579240073287109 ,0.012209907328710856  , 1.4437393592835754
       52 ,  2035 ,     1 ,    1 ,   2035 , 0.9111784          , 0.9631104971801324 ,0.051932097180132364  , 5.699443399901969
       53 ,    10 ,     3 ,   58 ,   1740 , 1.0728841          , 1.0523328925026505 ,0.02055120749734951   , 1.915510491519961
       54 ,    12 ,     7 ,    8 ,    672 , 1.0485803          , 1.0506548851898552 ,0.0020745851898551493 , 0.19784704994506852
       55 ,    10 ,     1 ,    1 ,     10 , 0.8457143          , 0.8582186711453359 ,0.012504371145335869  , 1.4785573739661098
       56 ,    69 ,    15 ,   13 ,  13455 , 1.4101518          , 1.4968587673572495 ,0.08670696735724959   , 6.148768335242319
       57 ,     1 ,    79 ,    1 ,     79 , 0.8457143          , 0.8637756454646947 ,0.018061345464694623  , 2.135632029007269
       58 ,     2 ,191194 ,    1 , 382388 ,21.6880088          ,22.07924101744845   ,0.3912322174484508    , 1.8039102669879534
       59 ,   388 ,     1 ,    1 ,    388 , 0.8796783999999999 , 0.8826746652291902 ,0.002996265229190387  , 0.340609162301858
       60 ,  1571 ,     1 ,    1 ,   1571 , 0.9208928          , 0.9637396100471164 ,0.042846810047116435  , 4.652746774338603
       61 ,   780 ,     1 ,    1 ,    780 , 0.9125535          , 0.9437923456731504 ,0.031238845673150384  , 3.4232344375590453
       62 ,     1 ,     4 ,    1 ,      4 , 0.8464465000000001 , 0.8596176370945089 ,0.013171137094508789  , 1.5560507479809753
       63 ,     2 ,     3 ,    3 ,     18 , 0.9224285          , 0.9078762351176379 ,0.014552264882362054  , 1.5776035630254328
       64 ,686171 ,     1 ,    1 , 686171 ,13.056589400000002  ,12.513755694156062  ,0.5428337058439396    , 4.157545965594504
       65 ,     4 ,  5337 ,    1 ,  21348 , 1.5781338000000005 , 1.499107738508605  ,0.07902606149139557   , 5.0075640919290585
       66 ,     3 ,    77 ,    2 ,    462 , 0.9485803          , 0.9433767017054474 ,0.005203598294552636  , 0.5485669789423875
       67 ,486705 ,     1 ,    1 , 486705 , 9.6145891          , 9.38744211068537   ,0.22714698931462962   , 2.362524149000082
