shape_idx,dim_0,dim_1,dim_2,size,actual_latency,predicted_latency,absolute_error,relative_error_pct
0,137,1,1,137,0.8728391999999999,0.854209976306646,0.018629223693353958,2.1343248210385095
1,11,109,63,75537,2.0475623,2.4329565183945205,0.3853942183945205,18.822099742436187
2,5890,1,1,5890,0.9841607,0.9618659091824686,0.022294790817531385,2.2653608112507833
3,5,20,41,4100,1.1077412000000002,1.1692771733324094,0.06153597333240923,5.555085730530672
4,1,46077,1,46077,4.5558751,4.6701106093842295,0.11423550938422977,2.5074328614546473
5,2,2,5,20,0.9018748,0.8932242933764022,0.008650506623597787,0.9591693462992632
6,12,17,50,10200,1.3350089,1.3894015631283674,0.054392663128367325,4.0743296264442375
7,26,2,1,52,0.8355803999999999,0.8504383286335139,0.014857928633513984,1.7781566721184445
8,3,3,3,27,0.9136873,0.9096895201107439,0.003997779889256092,0.4375435544804106
9,1,37111,1,37111,3.8230357,4.222603859203289,0.39956815920328914,10.451593721797813
10,363,2,3,2178,1.0091249999999998,1.014306841759252,0.0051818417592521815,0.513498502093614
11,61,5,1,305,0.8520087999999999,0.8751350326639513,0.023126232663951418,2.7143185215870327
12,10,2,1,20,0.8338570000000001,0.8473707178230218,0.013513717823021687,1.6206277362931156
13,825,1,1,825,0.8635805,0.8532655351045066,0.010314964895493328,1.1944416178333495
14,277,1,1,277,0.8644282999999999,0.8510925994241407,0.0133357005758592,1.542719109943439
15,134,1,1,134,0.8347051000000001,0.8530252514901288,0.018320151490128667,2.1948052659710195
16,676,1,1,676,0.8517144,0.8553961310254145,0.0036817310254144697,0.4322729573921105
17,4,4,7,112,0.9259821,0.9475219139277855,0.02153981392778548,2.326158780799918
18,4606,2,4,36848,1.6559911,2.291155194096715,0.6351640940967149,38.3555258296204
19,3,3,13,117,0.9254107,0.9211802473838098,0.004230452616190261,0.45714325717114157
20,90,20,6,10800,1.1203125000000005,1.2417976530444912,0.1214851530444907,10.843863033259975
21,299,1,1,299,0.8594109999999999,0.8520051516671532,0.007405848332846743,0.8617353434906865
22,12,3,6,216,0.9445357,0.9418801733841393,0.0026555266158606594,0.2811462410431559
23,218,57,1,12426,1.1117321,1.1145856254587945,0.0028535254587944703,0.25667383884970757
24,2,3,2,12,0.9063928,0.8837802371708301,0.022612562829169902,2.494786237177734
25,10,2585,1,25850,1.4194195,1.4344666495419303,0.015047149541930205,1.0600917869544701
26,1303,137,1,178511,3.4577055000000003,3.6873024243708814,0.22959692437088108,6.640152678441848
27,27,4,9,972,0.9992948,1.0171097593385905,0.017814959338590453,1.7827531313672855
28,566,17,1,9622,1.1187143000000002,1.0286449199682752,0.09006938003172493,8.051151221694845
29,7,227,1,1589,0.9118573,0.8951657218260467,0.01669157817395328,1.8305033226090621
30,3,1,1,3,0.8505533999999999,0.8406033771494155,0.009950022850584439,1.169829295913042
31,71,13,1,923,0.8889997,0.9186588603125105,0.02965916031251059,3.3362396311844194
32,3,105186,1,315558,9.061134,9.376661095261833,0.3155270952618334,3.482203168630256
33,752870,1,1,752870,8.9130086,8.83666283123037,0.07634576876962917,0.8565656356443904
34,2,5,2,20,0.8741428999999998,0.8919694173817363,0.017826517381736462,2.0393138675308653
35,11,1,1,11,0.8342858999999999,0.8457762791078156,0.011490379107815696,1.3772711618182325
36,1538,1,1,1538,0.9378932,0.9043294083816856,0.033563791618314354,3.5786368446124097
37,6630,1,1,6630,0.9842589,0.9868343174342371,0.0025754174342370595,0.26166056860009695
38,208,1,1,208,0.8339911999999998,0.8526486088727588,0.018657408872759018,2.237122990357575
39,8,1,1,8,0.8492678,0.8452772999471603,0.0039905000528397405,0.4698753506066921
40,755,1,1,755,0.8507411999999999,0.8571811921391241,0.006439992139124273,0.7569860421858344
41,101,9,6,5454,1.0022946,1.020911494821137,0.018616894821137153,1.857427429134823
42,30075,1,1,30075,1.2786962,1.2864434852668762,0.0077472852668762915,0.6058738007414343
43,1,321158,1,321158,24.6471517,24.7698077613978,0.12265606139780161,0.4976480158468031
44,58011,1,1,58011,1.6598480000000002,1.6554105000849386,0.0044374999150615935,0.26734375166048896
45,870643,1,1,870643,10.0146874,10.104114604223756,0.08942720422375672,0.8929605154101636
46,3,5,3,45,0.9147409,0.9303112500738391,0.015570350073839112,1.7021596032099486
47,122546,1,1,122546,2.4980003,2.452308224946646,0.04569207505335404,1.8291460995162427
48,8863,6,1,53178,1.7767319999999998,1.7881024215828256,0.011370421582825863,0.6399626720758034
