operation_name,input_dim_0,input_dim_1,input_dim_2,size,computation_mean
add,12926688,1,1,12926688,159.6004553
add,14112041,1,1,14112041,174.06573229999998
add,1358431,1,1,1358431,24.906571200000002
add,8687805,1,1,8687805,108.0244105
add,16305028,1,1,16305028,201.3157053
add,13587335,1,1,13587335,167.67112479999997
add,10177487,1,1,10177487,126.27299090000001
add,15991941,1,1,15991941,196.62258060000002
add,12014144,1,1,12014144,148.60943740000002
add,7329722,1,1,7329722,91.3738748
add,4673251,1,1,4673251,59.128294700000005
add,9456909,1,1,9456909,117.35113390000001
add,4689091,1,1,4689091,59.436991
add,3181993,1,1,3181993,40.973401499999994
add,8405598,1,1,8405598,104.80100890000001
add,4931207,1,1,4931207,62.2051429
add,10406826,1,1,10406826,128.7899641
add,3313948,1,1,3313948,42.6714644
add,2474386,1,1,2474386,32.2804287
add,11079581,1,1,11079581,136.9972857
add,15842481,1,1,15842481,195.135268
add,3378972,1,1,3378972,43.3595803
add,11871268,1,1,11871268,146.6998838
add,14568390,1,1,14568390,179.6902591
add,10609801,1,1,10609801,131.7401697
add,6861135,1,1,6861135,85.6767324
add,16005793,1,1,16005793,198.0832678
add,14854325,1,1,14854325,183.54500000000002
add,8740672,1,1,8740672,108.72785709999998
add,2089757,1,1,2089757,27.7262859
add,471162,1,1,471162,9.307883799999999
add,3129685,1,1,3129685,40.2642768
add,13382298,1,1,13382298,165.20157160000002
add,38347,1,1,38347,1.6611430000000003
add,16561725,1,1,16561725,204.4035892
add,11178161,1,1,11178161,138.15145540000003
add,8184291,1,1,8184291,101.90584809999999
add,10912048,1,1,10912048,134.97582129999998
add,2113402,1,1,2113402,27.8664108
add,6411148,1,1,6411148,80.49540190000002
add,7439149,1,1,7439149,93.08597329999998
add,8006622,1,1,8006622,100.1597233
add,4781319,1,1,4781319,60.396133899999995
add,15031365,1,1,15031365,185.4952768
add,3060700,1,1,3060700,39.375571199999996
add,2699314,1,1,2699314,34.9522858
add,10739251,1,1,10739251,132.7643214
add,16417741,1,1,16417741,202.52999110000002
add,3659375,1,1,3659375,46.751884000000004
add,10114876,1,1,10114876,125.45858010000002
add,9767383,1,1,9767383,121.3161697
add,4187953,1,1,4187953,53.1968661
add,11165255,1,1,11165255,138.12966989999998
add,6818323,1,1,6818323,85.51471419999999
add,9652177,1,1,9652177,119.9460089
add,14931355,1,1,14931355,183.63740180000002
add,3074663,1,1,3074663,39.70545549999999
add,12915140,1,1,12915140,159.56187490000002
add,10638327,1,1,10638327,131.87444630000002
add,8123769,1,1,8123769,100.95058040000002
add,9741842,1,1,9741842,120.6400177
add,6169611,1,1,6169611,77.4728393
add,6354919,1,1,6354919,80.0212856
add,6265604,1,1,6265604,78.62214300000001
add,1106371,1,1,1106371,20.4640357
add,8726039,1,1,8726039,108.7274108
add,15989727,1,1,15989727,196.4091519
add,2318117,1,1,2318117,30.4218483
add,3014006,1,1,3014006,38.874258899999994
add,4369608,1,1,4369608,55.48616080000001
add,5018077,1,1,5018077,63.24999099999999
add,1296596,1,1,1296596,23.842830499999998
add,2692687,1,1,2692687,34.902437400000004
add,13129717,1,1,13129717,162.05389280000003
add,9248747,1,1,9248747,115.0761694
add,7902127,1,1,7902127,98.6454019
add,7220958,1,1,7220958,89.9508482
add,14073509,1,1,14073509,173.49371440000002
add,9234543,1,1,9234543,114.6411339
add,15118390,1,1,15118390,186.6426964
add,16530772,1,1,16530772,204.3411429
add,11991266,1,1,11991266,148.57744660000003
add,2763979,1,1,2763979,35.7490001
add,10882536,1,1,10882536,135.010723
add,3870496,1,1,3870496,49.36345529999999
add,16322359,1,1,16322359,201.31270519999998
add,11249811,1,1,11249811,138.98428559999996
add,6388055,1,1,6388055,80.0349909
add,8154923,1,1,8154923,101.79461610000001
add,543885,1,1,543885,10.5195716
add,9094525,1,1,9094525,112.93858029999998
add,3930375,1,1,3930375,49.9744198
add,7397429,1,1,7397429,92.488527
add,12484269,1,1,12484269,153.60774109999997
add,5720420,1,1,5720420,71.8117051
add,11158062,1,1,11158062,138.1352678
add,14298589,1,1,14298589,176.07483050000002
add,2086833,1,1,2086833,27.647732100000002
add,3375829,1,1,3375829,43.405839099999994
add,4910976,1,1,4910976,62.294990999999996
add,7340823,1,1,7340823,91.66225000000001
add,1517804,1,1,1517804,27.6968662
add,2482924,1,1,2482924,32.502008800000006
add,895796,1,1,895796,16.716865899999995
add,4175639,1,1,4175639,53.16341980000001
add,6325703,1,1,6325703,79.2887321
add,4016314,1,1,4016314,51.238142900000014
add,13126810,1,1,13126810,162.00169640000001
add,3071300,1,1,3071300,39.2651431
add,12419836,1,1,12419836,153.8885983
add,3893863,1,1,3893863,49.6353126
add,1221115,1,1,1221115,22.4138752
add,726001,1,1,726001,13.6941787
add,6529389,1,1,6529389,81.8037233
add,6206629,1,1,6206629,78.06542859999999
add,4157232,1,1,4157232,52.8072766
add,16080414,1,1,16080414,198.1807144
add,7065776,1,1,7065776,88.2385712
add,2049669,1,1,2049669,27.266455199999996
add,764457,1,1,764457,14.4108485
add,14281399,1,1,14281399,176.09800009999998
add,3405783,1,1,3405783,43.632277099999996
add,8721465,1,1,8721465,108.76630370000002
add,2348955,1,1,2348955,30.8177409
add,7409801,1,1,7409801,92.53429460000001
add,2414970,1,1,2414970,31.5142857
add,10101949,1,1,10101949,125.4614374
add,11753916,1,1,11753916,145.49753579999998
add,14632036,1,1,14632036,180.4081342
add,6050465,1,1,6050465,76.00827670000001
add,2048245,1,1,2048245,27.214705600000002
add,15674324,1,1,15674324,193.06938399999999
add,1321331,1,1,1321331,24.166714199999998
add,3386355,1,1,3386355,43.613705100000004
add,13129051,1,1,13129051,162.0844284
add,6689271,1,1,6689271,83.6934284
add,8728624,1,1,8728624,108.72872300000002
add,12031120,1,1,12031120,148.6716963
add,15777837,1,1,15777837,194.85597330000002
add,5684947,1,1,5684947,71.7258482
add,6825465,1,1,6825465,85.43642880000002
add,1947867,1,1,1947867,35.249615799999994
add,5308601,1,1,5308601,66.95715170000001
add,5434277,1,1,5434277,68.5832678
add,11486103,1,1,11486103,142.15858020000002
add,8411672,1,1,8411672,104.8407054
add,3933011,1,1,3933011,50.3375805
add,14841597,1,1,14841597,182.7895269
add,5865969,1,1,5865969,73.7980266
add,443045,1,1,443045,8.759294700000002
add,15825123,1,1,15825123,195.0338305
add,13754143,1,1,13754143,169.71825029999997
add,10450394,1,1,10450394,129.52356249999997
add,11984022,1,1,11984022,148.4707054
add,13040670,1,1,13040670,161.27357109999997
add,8419904,1,1,8419904,104.82730390000002
add,5147679,1,1,5147679,64.8817053
add,417294,1,1,417294,8.2538481
add,15366394,1,1,15366394,189.8617141
add,2653277,1,1,2653277,34.4866875
add,11271490,1,1,11271490,138.8267052
add,1533320,1,1,1533320,27.9911249
add,9424876,1,1,9424876,116.8024107
add,4524400,1,1,4524400,57.3087142
add,8057440,1,1,8057440,100.2135623
add,16167435,1,1,16167435,199.48275
add,11818729,1,1,11818729,146.2835983
add,9659580,1,1,9659580,119.95740179999999
add,12052793,1,1,12052793,148.71099099999998
add,4440738,1,1,4440738,56.330999899999995
add,10411860,1,1,10411860,128.44713380000002
add,13019698,1,1,13019698,161.21656280000002
add,13905561,1,1,13905561,171.4531248
add,2708619,1,1,2708619,35.24428580000001
add,51145,1,1,51145,1.8908574000000002
add,6452838,1,1,6452838,81.203295
add,11220659,1,1,11220659,138.9924377
add,5371387,1,1,5371387,67.634277
add,8033467,1,1,8033467,100.1518748
add,7485921,1,1,7485921,93.8154196
add,15036927,1,1,15036927,185.5249642
