operation_name,input_dim_0,input_dim_1,input_dim_2,size,computation_mean
relu,12926688,1,1,12926688,116.73186620000001
relu,14112041,1,1,14112041,127.40241980000003
relu,1358431,1,1,1358431,15.060151700000002
relu,8687805,1,1,8687805,80.79556260000001
relu,16305028,1,1,16305028,145.90528580000003
relu,13587335,1,1,13587335,122.66086580000001
relu,10177487,1,1,10177487,94.33199110000001
relu,15991941,1,1,15991941,143.13425900000001
relu,12014144,1,1,12014144,109.64700889999999
relu,7329722,1,1,7329722,68.2863124
relu,4673251,1,1,4673251,44.89041100000001
relu,9456909,1,1,9456909,87.76071449999999
relu,4689091,1,1,4689091,45.0030001
relu,3181993,1,1,3181993,31.7708482
relu,8405598,1,1,8405598,78.14700010000001
relu,4931207,1,1,4931207,47.239410899999996
relu,10406826,1,1,10406826,95.15452680000001
relu,3313948,1,1,3313948,33.082151599999996
relu,2474386,1,1,2474386,25.0180267
relu,11079581,1,1,11079581,101.2285622
relu,15842481,1,1,15842481,141.62425
relu,3378972,1,1,3378972,33.7644374
relu,11871268,1,1,11871268,108.4335446
relu,14568390,1,1,14568390,131.47772319999999
relu,10609801,1,1,10609801,97.0182677
relu,6861135,1,1,6861135,65.2837144
relu,16005793,1,1,16005793,143.19270519999998
relu,14854325,1,1,14854325,133.02469630000002
relu,8740672,1,1,8740672,81.1754286
relu,2089757,1,1,2089757,22.648678600000004
relu,471162,1,1,471162,6.714874999999999
relu,3129685,1,1,3129685,31.3784376
relu,13382298,1,1,13382298,120.82326780000001
relu,38347,1,1,38347,1.3799909999999997
relu,16561725,1,1,16561725,148.13869619999997
relu,11178161,1,1,11178161,102.1592679
relu,8184291,1,1,8184291,76.12686629999999
relu,10912048,1,1,10912048,99.82600880000001
relu,2113402,1,1,2113402,21.483589200000004
relu,6411148,1,1,6411148,61.1219644
relu,7439149,1,1,7439149,69.29983039999999
relu,8006622,1,1,8006622,74.5097056
relu,4781319,1,1,4781319,45.8305804
relu,15031365,1,1,15031365,134.60485690000002
relu,3060700,1,1,3060700,30.819875000000003
relu,2699314,1,1,2699314,27.2468483
relu,10739251,1,1,10739251,98.07597329999999
relu,16417741,1,1,16417741,146.9579911
relu,3659375,1,1,3659375,36.4895714
relu,10114876,1,1,10114876,93.7739911
relu,9767383,1,1,9767383,90.6026963
relu,4187953,1,1,4187953,41.6531606
relu,11165255,1,1,11165255,102.06097319999999
relu,6818323,1,1,6818323,63.6928573
relu,9652177,1,1,9652177,89.5623036
relu,14931355,1,1,14931355,133.7138572
relu,3074663,1,1,3074663,30.7692679
relu,12915140,1,1,12915140,116.63128569999999
relu,10638327,1,1,10638327,97.26384799999998
relu,8123769,1,1,8123769,75.59456249999998
relu,9741842,1,1,9741842,90.33085720000001
relu,6169611,1,1,6169611,58.9182768
relu,6354919,1,1,6354919,60.5510179
relu,6265604,1,1,6265604,59.759008900000005
relu,1106371,1,1,1106371,12.447705300000003
relu,8726039,1,1,8726039,81.10315169999998
relu,15989727,1,1,15989727,143.01140170000002
relu,2318117,1,1,2318117,23.646009
relu,3014006,1,1,3014006,30.2681339
relu,4369608,1,1,4369608,42.0126878
relu,5018077,1,1,5018077,48.102009
relu,1296596,1,1,1296596,14.499402
relu,2692687,1,1,2692687,27.065303600000004
relu,13129717,1,1,13129717,118.56214279999999
relu,9248747,1,1,9248747,85.88297329999997
relu,7902127,1,1,7902127,73.5673929
relu,7220958,1,1,7220958,68.632982
relu,14073509,1,1,14073509,126.96917859999999
relu,9234543,1,1,9234543,85.7207143
relu,15118390,1,1,15118390,135.3415802
relu,16530772,1,1,16530772,147.74686619999997
relu,11991266,1,1,11991266,109.4264553
relu,2763979,1,1,2763979,27.8372768
relu,10882536,1,1,10882536,99.42715159999999
relu,3870496,1,1,3870496,38.522009000000004
relu,16322359,1,1,16322359,146.0682766
relu,11249811,1,1,11249811,102.77601769999998
relu,6388055,1,1,6388055,60.8392588
relu,8154923,1,1,8154923,75.9234375
relu,543885,1,1,543885,7.6478751
relu,9094525,1,1,9094525,84.4882946
relu,3930375,1,1,3930375,39.0185625
relu,7397429,1,1,7397429,68.9750088
relu,12484269,1,1,12484269,113.74829459999998
relu,5720420,1,1,5720420,54.699169399999995
relu,11158062,1,1,11158062,101.96699100000001
relu,14298589,1,1,14298589,129.01369640000001
relu,2086833,1,1,2086833,22.594875100000003
relu,3375829,1,1,3375829,33.8003035
relu,4910976,1,1,4910976,47.0671695
relu,7340823,1,1,7340823,68.390134
relu,1517804,1,1,1517804,16.6895714
relu,2482924,1,1,2482924,25.1661338
relu,895796,1,1,895796,10.2348394
relu,4175639,1,1,4175639,41.4878839
relu,6325703,1,1,6325703,60.301285899999996
relu,4016314,1,1,4016314,39.946285599999996
relu,13126810,1,1,13126810,118.54812510000002
relu,3071300,1,1,3071300,30.7000177
relu,12419836,1,1,12419836,113.32957119999999
relu,3893863,1,1,3893863,38.7365893
relu,1221115,1,1,1221115,13.660580199999998
relu,726001,1,1,726001,8.5207588
relu,6529389,1,1,6529389,62.19741979999999
relu,6206629,1,1,6206629,59.1401515
relu,4157232,1,1,4157232,41.377732
relu,16080414,1,1,16080414,143.90269629999997
relu,7065776,1,1,7065776,67.1701429
relu,2049669,1,1,2049669,22.227124800000002
relu,764457,1,1,764457,9.011116099999999
relu,14281399,1,1,14281399,128.8881429
relu,3405783,1,1,3405783,33.9788304
relu,8721465,1,1,8721465,81.0047053
relu,2348955,1,1,2348955,23.8714016
relu,7409801,1,1,7409801,69.0549908
relu,2414970,1,1,2414970,24.4514375
relu,10101949,1,1,10101949,93.703277
relu,11753916,1,1,11753916,107.3304017
relu,14632036,1,1,14632036,132.0195802
relu,6050465,1,1,6050465,57.6994374
relu,2048245,1,1,2048245,22.1393035
relu,15674324,1,1,15674324,140.30514289999996
relu,1321331,1,1,1321331,14.668544800000001
relu,3386355,1,1,3386355,33.8522589
relu,13129051,1,1,13129051,118.57685729999999
relu,6689271,1,1,6689271,63.6842766
relu,8728624,1,1,8728624,81.08755349999998
relu,12031120,1,1,12031120,109.8429821
relu,15777837,1,1,15777837,141.3104107
relu,5684947,1,1,5684947,54.2842767
relu,6825465,1,1,6825465,63.723124999999996
relu,1947867,1,1,1947867,21.121455400000002
relu,5308601,1,1,5308601,50.78700919999999
relu,5434277,1,1,5434277,51.967267699999994
relu,11486103,1,1,11486103,104.90243759999998
relu,8411672,1,1,8411672,78.2043927
relu,3933011,1,1,3933011,39.17699970000001
relu,14841597,1,1,14841597,132.8569822
relu,5865969,1,1,5865969,56.0452588
relu,443045,1,1,443045,6.401294699999999
relu,15825123,1,1,15825123,141.5923304
relu,13754143,1,1,13754143,124.1354464
relu,10450394,1,1,10450394,96.85512490000002
relu,11984022,1,1,11984022,109.3805357
relu,13040670,1,1,13040670,117.72427679999998
relu,8419904,1,1,8419904,78.3366874
relu,5147679,1,1,5147679,49.2590089
relu,417294,1,1,417294,6.052259
relu,15366394,1,1,15366394,137.51086589999997
relu,2653277,1,1,2653277,26.648026800000004
relu,11271490,1,1,11271490,103.00185719999999
relu,1533320,1,1,1533320,16.8517053
relu,9424876,1,1,9424876,87.45926800000002
relu,4524400,1,1,4524400,43.4894642
relu,8057440,1,1,8057440,74.9235536
relu,16167435,1,1,16167435,144.652125
relu,11818729,1,1,11818729,107.92170529999999
relu,9659580,1,1,9659580,89.5841339
relu,12052793,1,1,12052793,109.99203580000001
relu,4440738,1,1,4440738,44.0273838
relu,10411860,1,1,10411860,96.47486610000001
relu,13019698,1,1,13019698,117.60270519999999
relu,13905561,1,1,13905561,125.3661517
relu,2708619,1,1,2708619,27.4059732
relu,51145,1,1,51145,1.5295984999999999
relu,6452838,1,1,6452838,61.486687700000004
relu,11220659,1,1,11220659,102.53798220000002
relu,5371387,1,1,5371387,51.3501338
relu,8033467,1,1,8033467,74.6934285
relu,7485921,1,1,7485921,71.0708569
relu,15036927,1,1,15036927,134.6390088
relu,12705321,1,1,12705321,114.85029460000001
relu,13905172,1,1,13905172,125.40927669999999
relu,1058491,1,1,1058491,11.964125
relu,13497844,1,1,13497844,121.84485709999998
relu,14033355,1,1,14033355,126.60486610000001
relu,1569666,1,1,1569666,17.2601698
relu,5559130,1,1,5559130,53.0942859
relu,14943540,1,1,14943540,133.8851251
relu,2143669,1,1,2143669,21.7881518
relu,8698213,1,1,8698213,80.8178571
relu,5291084,1,1,5291084,50.5596786
relu,14977515,1,1,14977515,134.1738929
relu,16349921,1,1,16349921,146.2435891
relu,2321,1,1,2321,0.9298930000000002
relu,1305610,1,1,1305610,14.453544599999997
relu,16595441,1,1,16595441,148.42174110000002
relu,10936863,1,1,10936863,99.9687232
relu,10470938,1,1,10470938,97.04300889999999
relu,15666304,1,1,15666304,140.2649909
relu,1672924,1,1,1672924,18.2356785
relu,13929701,1,1,13929701,125.71912499999999
relu,6308277,1,1,6308277,60.1911427
relu,2800690,1,1,2800690,28.182982100000004
relu,4379584,1,1,4379584,42.18115149999999
relu,494233,1,1,494233,7.017714199999999
relu,13482736,1,1,13482736,121.74830360000001
relu,14008475,1,1,14008475,126.4645802
relu,10609145,1,1,10609145,96.998
relu,113844,1,1,113844,2.3835804
relu,7164699,1,1,7164699,66.80241959999998
relu,479537,1,1,479537,6.932955199999999
relu,79107,1,1,79107,1.883848
relu,3281099,1,1,3281099,32.9103126
relu,6390775,1,1,6390775,60.8948482
relu,3989753,1,1,3989753,39.7377231
relu,6661105,1,1,6661105,63.38543759999999
relu,10147399,1,1,10147399,94.06058909999999
relu,9394662,1,1,9394662,87.17643759999999
relu,6114328,1,1,6114328,58.326285899999995
relu,3361507,1,1,3361507,33.6009822
relu,15958672,1,1,15958672,142.87474079999998
relu,13310915,1,1,13310915,120.1949909
relu,2729500,1,1,2729500,27.469187500000004
relu,733014,1,1,733014,8.542116
relu,9217867,1,1,9217867,85.6318928
relu,15199426,1,1,15199426,136.0345536
relu,3884912,1,1,3884912,38.7302499
relu,8606336,1,1,8606336,80.03727699999999
relu,4476851,1,1,4476851,43.062393
relu,11645167,1,1,11645167,106.3354554
relu,3862429,1,1,3862429,38.4837232
relu,5182152,1,1,5182152,49.54500889999999
relu,9341884,1,1,9341884,86.76269620000002
relu,623252,1,1,623252,8.5874553
relu,1419273,1,1,1419273,15.615705300000002
relu,1364434,1,1,1364434,15.184294799999998
relu,6903346,1,1,6903346,65.6481427
relu,8713059,1,1,8713059,80.96573219999999
relu,10560024,1,1,10560024,96.58030319999997
relu,12310913,1,1,12310913,112.3668394
relu,1409439,1,1,1409439,15.5699999
relu,16592186,1,1,16592186,148.4532768
relu,15390223,1,1,15390223,137.7129911
relu,14610963,1,1,14610963,131.8773928
relu,12497324,1,1,12497324,114.08314299999999
relu,5982364,1,1,5982364,57.173722999999995
relu,6974091,1,1,6974091,66.3456964
relu,12602338,1,1,12602338,113.8796875
relu,9765531,1,1,9765531,90.64191950000001
relu,298537,1,1,298537,4.6588481999999996
relu,4645845,1,1,4645845,44.5884197
relu,5067497,1,1,5067497,48.5345715
relu,9105782,1,1,9105782,84.5613123
relu,11187330,1,1,11187330,102.25555349999999
relu,11324993,1,1,11324993,103.428991
relu,12321237,1,1,12321237,112.49785709999999
relu,3144303,1,1,3144303,31.5284374
relu,11349987,1,1,11349987,103.60497340000002
relu,1196735,1,1,1196735,13.4248392
relu,1382542,1,1,1382542,15.336178600000002
relu,9047018,1,1,9047018,84.0778573
relu,5498248,1,1,5498248,52.542017699999995
relu,5013571,1,1,5013571,48.068401800000004
relu,9715044,1,1,9715044,90.10825890000001
relu,12110017,1,1,12110017,110.48816079999999
relu,13247021,1,1,13247021,119.68286600000002
relu,4350029,1,1,4350029,41.8567144
relu,9845106,1,1,9845106,91.26558940000001
relu,3855284,1,1,3855284,38.374133799999996
relu,16041189,1,1,16041189,143.53569650000003
relu,8043202,1,1,8043202,74.87611590000002
relu,1619215,1,1,1619215,17.701286
relu,10330731,1,1,10330731,95.7586785
relu,6025935,1,1,6025935,57.500294800000006
relu,2377764,1,1,2377764,24.2435805
relu,10155943,1,1,10155943,94.101259
relu,13528112,1,1,13528112,122.1068305
relu,11023326,1,1,11023326,100.8089553
relu,10040342,1,1,10040342,93.11885699999999
relu,13915749,1,1,13915749,125.6049822
relu,3645737,1,1,3645737,36.4252946
relu,3335322,1,1,3335322,33.363294599999996
relu,16145464,1,1,16145464,144.45512490000002
relu,15904957,1,1,15904957,142.31602700000002
relu,11310547,1,1,11310547,103.3764551
relu,11531035,1,1,11531035,105.3260003
relu,4171649,1,1,4171649,41.4315894
relu,16075477,1,1,16075477,143.85758919999998
relu,3892585,1,1,3892585,38.8154555
relu,16701200,1,1,16701200,149.42641079999999
relu,14312151,1,1,14312151,129.15515169999998
relu,1269176,1,1,1269176,14.115857200000002
relu,10130188,1,1,10130188,93.9514463
relu,11243484,1,1,11243484,102.63329449999999
relu,5223221,1,1,5223221,49.9194375
